ROC_AUC_SCOREweighted,F1_SCOREweighted,DatasetName,MemberFunction,LossFunction,Realistic
0.5,0.0,bpic2011_f1,Bell,BCE,Random
0.9624929773449108,0.8667231492091989,bpic2011_f1,Bell,CrossEntropy,Trained
0.5,0.0035089434253978,bpic2011_f1,Bell,L1,Random
0.5,0.0051717504970031,bpic2011_f1,Bell,SmoothL1,Random
0.8988655513612444,0.8333523316398996,bpic2011_f1,DSigmoid,CrossEntropy,Trained
0.5,0.0143136310023727,bpic2011_f1,DSigmoid,L1,Random
0.5,0.0,bpic2011_f1,DSigmoid,SmoothL1,Random
0.5,0.0,bpic2011_f1,Gauss,BCE,Random
0.9677207358496792,0.9109387216882568,bpic2011_f1,Gauss,CrossEntropy,Trained
0.5,0.0035787436793559,bpic2011_f1,Gauss,L1,Random
0.5,0.0,bpic2011_f1,Gauss,SmoothL1,Random
0.5,0.0,bpic2011_f1,Sigmoid,BCE,Random
0.975086014602809,0.9236178263771356,bpic2011_f1,Sigmoid,CrossEntropy,Trained
0.5,0.0034728784706393,bpic2011_f1,Sigmoid,L1,Random
0.5,0.0,bpic2011_f1,Sigmoid,SmoothL1,Random
0.5,0.0,bpic2011_f1,Triangular,BCE,Random
0.5608798881027904,0.1821655583274245,bpic2011_f1,Triangular,CrossEntropy,Trained
0.5,0.0,bpic2011_f1,Triangular,L1,Random
0.5,0.0,bpic2011_f1,Triangular,SmoothL1,Random
0.5,0.0,bpic2011_f2,Bell,BCE,Random
0.9016175959498433,0.8939449429542812,bpic2011_f2,Bell,CrossEntropy,Trained
0.5,0.0193986875063297,bpic2011_f2,Bell,L1,Random
0.5,0.0,bpic2011_f2,Bell,SmoothL1,Random
0.5,0.0,bpic2011_f2,DSigmoid,BCE,Random
0.8102207679264952,0.8372607821643351,bpic2011_f2,DSigmoid,CrossEntropy,Trained
0.5,0.0936940760311723,bpic2011_f2,DSigmoid,L1,Random
0.5,0.0366867092367456,bpic2011_f2,DSigmoid,SmoothL1,Random
0.5,0.0,bpic2011_f2,Gauss,BCE,Random
0.9154220626375617,0.908967562555585,bpic2011_f2,Gauss,CrossEntropy,Trained
0.5,0.0134535596169194,bpic2011_f2,Gauss,L1,Random
0.5,0.0,bpic2011_f2,Gauss,SmoothL1,Random
0.5,0.0,bpic2011_f2,Sigmoid,BCE,Random
0.8960289160528984,0.9081287854434376,bpic2011_f2,Sigmoid,CrossEntropy,Trained
