LENGHT,NUMBEROFSAMPLES,ROC_AUC_SCORE,DatasetName,MemberFunction,LossFunction,Realistic
1,228.0,0.5,bpic2011_f1,Bell,BCE,Random
2,225.0,0.5,bpic2011_f1,Bell,BCE,Random
3,216.0,0.5,bpic2011_f1,Bell,BCE,Random
4,211.0,0.5,bpic2011_f1,Bell,BCE,Random
5,205.0,0.5,bpic2011_f1,Bell,BCE,Random
6,199.0,0.5,bpic2011_f1,Bell,BCE,Random
7,198.0,0.5,bpic2011_f1,Bell,BCE,Random
8,196.0,0.5,bpic2011_f1,Bell,BCE,Random
9,195.0,0.5,bpic2011_f1,Bell,BCE,Random
10,195.0,0.5,bpic2011_f1,Bell,BCE,Random
11,193.0,0.5,bpic2011_f1,Bell,BCE,Random
12,193.0,0.5,bpic2011_f1,Bell,BCE,Random
13,192.0,0.5,bpic2011_f1,Bell,BCE,Random
14,191.0,0.5,bpic2011_f1,Bell,BCE,Random
15,191.0,0.5,bpic2011_f1,Bell,BCE,Random
16,191.0,0.5,bpic2011_f1,Bell,BCE,Random
17,190.0,0.5,bpic2011_f1,Bell,BCE,Random
18,190.0,0.5,bpic2011_f1,Bell,BCE,Random
19,189.0,0.5,bpic2011_f1,Bell,BCE,Random
20,187.0,0.5,bpic2011_f1,Bell,BCE,Random
21,185.0,0.5,bpic2011_f1,Bell,BCE,Random
22,179.0,0.5,bpic2011_f1,Bell,BCE,Random
23,176.0,0.5,bpic2011_f1,Bell,BCE,Random
24,173.0,0.5,bpic2011_f1,Bell,BCE,Random
25,155.0,0.5,bpic2011_f1,Bell,BCE,Random
26,134.0,0.5,bpic2011_f1,Bell,BCE,Random
27,112.0,0.5,bpic2011_f1,Bell,BCE,Random
28,106.0,0.5,bpic2011_f1,Bell,BCE,Random
29,97.0,0.5,bpic2011_f1,Bell,BCE,Random
30,92.0,0.5,bpic2011_f1,Bell,BCE,Random
31,90.0,0.5,bpic2011_f1,Bell,BCE,Random
32,86.0,0.5,bpic2011_f1,Bell,BCE,Random
33,86.0,0.5,bpic2011_f1,Bell,BCE,Random
34,83.0,0.5,bpic2011_f1,Bell,BCE,Random
35,81.0,0.5,bpic2011_f1,Bell,BCE,Random
36,79.0,0.5,bpic2011_f1,Bell,BCE,Random
1,228.0,0.8943026751985198,bpic2011_f1,Bell,CrossEntropy,Trained
2,225.0,0.9007603358149848,bpic2011_f1,Bell,CrossEntropy,Trained
3,216.0,0.9031124067564092,bpic2011_f1,Bell,CrossEntropy,Trained
4,211.0,0.8988138030194104,bpic2011_f1,Bell,CrossEntropy,Trained
5,205.0,0.901964524127408,bpic2011_f1,Bell,CrossEntropy,Trained
6,199.0,0.8956724908573751,bpic2011_f1,Bell,CrossEntropy,Trained
7,198.0,0.8978671041837573,bpic2011_f1,Bell,CrossEntropy,Trained
8,196.0,0.9374213836477988,bpic2011_f1,Bell,CrossEntropy,Trained
9,195.0,0.965925925925926,bpic2011_f1,Bell,CrossEntropy,Trained
10,195.0,0.9708994708994708,bpic2011_f1,Bell,CrossEntropy,Trained
11,193.0,0.9753246753246751,bpic2011_f1,Bell,CrossEntropy,Trained
12,193.0,0.976948051948052,bpic2011_f1,Bell,CrossEntropy,Trained
13,192.0,0.9811713191023536,bpic2011_f1,Bell,CrossEntropy,Trained
14,191.0,0.9846068660022148,bpic2011_f1,Bell,CrossEntropy,Trained
15,191.0,0.9846068660022148,bpic2011_f1,Bell,CrossEntropy,Trained
16,191.0,0.987153931339978,bpic2011_f1,Bell,CrossEntropy,Trained
17,190.0,0.987030411449016,bpic2011_f1,Bell,CrossEntropy,Trained
18,190.0,0.9903846153846154,bpic2011_f1,Bell,CrossEntropy,Trained
19,189.0,0.9911764705882352,bpic2011_f1,Bell,CrossEntropy,Trained
20,187.0,0.9910034602076124,bpic2011_f1,Bell,CrossEntropy,Trained
21,185.0,0.9908235294117648,bpic2011_f1,Bell,CrossEntropy,Trained
22,179.0,0.9909774436090224,bpic2011_f1,Bell,CrossEntropy,Trained
