LENGHT,NUMBEROFSAMPLES,ROC_AUC_SCORE,DatasetName,MemberFunction,LossFunction
1,228.0,0.1296738879037854,bpic2011_f1,Bell,BCE
2,225.0,0.1278710597180421,bpic2011_f1,Bell,BCE
3,216.0,0.124110434708051,bpic2011_f1,Bell,BCE
4,211.0,0.1181254493170381,bpic2011_f1,Bell,BCE
5,205.0,0.1317470913599084,bpic2011_f1,Bell,BCE
6,199.0,0.1207334416903697,bpic2011_f1,Bell,BCE
7,198.0,0.1248974569319113,bpic2011_f1,Bell,BCE
8,196.0,0.1438679245283018,bpic2011_f1,Bell,BCE
9,195.0,0.1372486772486772,bpic2011_f1,Bell,BCE
10,195.0,0.1443915343915344,bpic2011_f1,Bell,BCE
11,193.0,0.1189393939393939,bpic2011_f1,Bell,BCE
12,193.0,0.1250541125541125,bpic2011_f1,Bell,BCE
13,192.0,0.1255062944718117,bpic2011_f1,Bell,BCE
14,191.0,0.1103543743078626,bpic2011_f1,Bell,BCE
15,191.0,0.105813953488372,bpic2011_f1,Bell,BCE
16,191.0,0.1309523809523809,bpic2011_f1,Bell,BCE
17,190.0,0.1164467799642218,bpic2011_f1,Bell,BCE
18,190.0,0.1328264758497316,bpic2011_f1,Bell,BCE
19,189.0,0.1037895927601809,bpic2011_f1,Bell,BCE
20,187.0,0.1142445213379469,bpic2011_f1,Bell,BCE
21,185.0,0.0994705882352941,bpic2011_f1,Bell,BCE
22,179.0,0.1035087719298245,bpic2011_f1,Bell,BCE
23,176.0,0.1259057971014492,bpic2011_f1,Bell,BCE
24,173.0,0.100521669341894,bpic2011_f1,Bell,BCE
25,155.0,0.1314553990610328,bpic2011_f1,Bell,BCE
26,134.0,0.1370238095238095,bpic2011_f1,Bell,BCE
27,112.0,0.1246364769422517,bpic2011_f1,Bell,BCE
28,106.0,0.1049288617886178,bpic2011_f1,Bell,BCE
29,97.0,0.1369598765432099,bpic2011_f1,Bell,BCE
30,92.0,0.1195286195286195,bpic2011_f1,Bell,BCE
31,90.0,0.113125,bpic2011_f1,Bell,BCE
32,86.0,0.1515151515151515,bpic2011_f1,Bell,BCE
33,86.0,0.0663780663780663,bpic2011_f1,Bell,BCE
34,83.0,0.244360902255639,bpic2011_f1,Bell,BCE
35,81.0,0.1513157894736842,bpic2011_f1,Bell,BCE
36,79.0,0.1405405405405405,bpic2011_f1,Bell,BCE
1,228.0,0.8943026751985198,bpic2011_f1,Bell,CrossEntropy
2,225.0,0.9007603358149848,bpic2011_f1,Bell,CrossEntropy
3,216.0,0.9031124067564092,bpic2011_f1,Bell,CrossEntropy
4,211.0,0.8988138030194104,bpic2011_f1,Bell,CrossEntropy
5,205.0,0.901964524127408,bpic2011_f1,Bell,CrossEntropy
6,199.0,0.8956724908573751,bpic2011_f1,Bell,CrossEntropy
7,198.0,0.8978671041837573,bpic2011_f1,Bell,CrossEntropy
8,196.0,0.9374213836477988,bpic2011_f1,Bell,CrossEntropy
9,195.0,0.965925925925926,bpic2011_f1,Bell,CrossEntropy
10,195.0,0.9708994708994708,bpic2011_f1,Bell,CrossEntropy
11,193.0,0.9753246753246751,bpic2011_f1,Bell,CrossEntropy
12,193.0,0.976948051948052,bpic2011_f1,Bell,CrossEntropy
13,192.0,0.9811713191023536,bpic2011_f1,Bell,CrossEntropy
14,191.0,0.9846068660022148,bpic2011_f1,Bell,CrossEntropy
15,191.0,0.9846068660022148,bpic2011_f1,Bell,CrossEntropy
16,191.0,0.987153931339978,bpic2011_f1,Bell,CrossEntropy
17,190.0,0.987030411449016,bpic2011_f1,Bell,CrossEntropy
18,190.0,0.9903846153846154,bpic2011_f1,Bell,CrossEntropy
19,189.0,0.9911764705882352,bpic2011_f1,Bell,CrossEntropy
20,187.0,0.9910034602076124,bpic2011_f1,Bell,CrossEntropy
21,185.0,0.9908235294117648,bpic2011_f1,Bell,CrossEntropy
22,179.0,0.9909774436090224,bpic2011_f1,Bell,CrossEntropy
23,176.0,0.9906832298136644,bpic2011_f1,Bell,CrossEntropy
24,173.0,0.9954521134296416,bpic2011_f1,Bell,CrossEntropy
25,155.0,0.9942991281019452,bpic2011_f1,Bell,CrossEntropy
26,134.0,0.9952380952380953,bpic2011_f1,Bell,CrossEntropy
27,112.0,0.9929372663066058,bpic2011_f1,Bell,CrossEntropy
28,106.0,0.9928861788617886,bpic2011_f1,Bell,CrossEntropy
29,97.0,0.9915123456790124,bpic2011_f1,Bell,CrossEntropy
30,92.0,0.9876543209876544,bpic2011_f1,Bell,CrossEntropy
31,90.0,0.9875,bpic2011_f1,Bell,CrossEntropy
32,86.0,0.9898989898989898,bpic2011_f1,Bell,CrossEntropy
33,86.0,0.9898989898989898,bpic2011_f1,Bell,CrossEntropy
34,83.0,0.986842105263158,bpic2011_f1,Bell,CrossEntropy
35,81.0,0.9815789473684212,bpic2011_f1,Bell,CrossEntropy
36,79.0,0.981081081081081,bpic2011_f1,Bell,CrossEntropy
1,228.0,0.8983116182252717,bpic2011_f1,Bell,L1
2,225.0,0.9011563440519562,bpic2011_f1,Bell,L1
3,216.0,0.9023407356597788,bpic2011_f1,Bell,L1
4,211.0,0.898274622573688,bpic2011_f1,Bell,L1
5,205.0,0.9013923326339882,bpic2011_f1,Bell,L1
6,199.0,0.89496139780577,bpic2011_f1,Bell,L1
7,198.0,0.8972518457752257,bpic2011_f1,Bell,L1
8,196.0,0.9346960167714884,bpic2011_f1,Bell,L1
9,195.0,0.9651851851851851,bpic2011_f1,Bell,L1
10,195.0,0.97005291005291,bpic2011_f1,Bell,L1
11,193.0,0.9747835497835498,bpic2011_f1,Bell,L1
12,193.0,0.9762987012987012,bpic2011_f1,Bell,L1
13,192.0,0.9809523809523808,bpic2011_f1,Bell,L1
14,191.0,0.9844961240310076,bpic2011_f1,Bell,L1
15,191.0,0.9844961240310076,bpic2011_f1,Bell,L1
16,191.0,0.9870431893687708,bpic2011_f1,Bell,L1
17,190.0,0.9869186046511628,bpic2011_f1,Bell,L1
18,190.0,0.990272808586762,bpic2011_f1,Bell,L1
19,189.0,0.9911764705882352,bpic2011_f1,Bell,L1
20,187.0,0.9910034602076124,bpic2011_f1,Bell,L1
21,185.0,0.9908235294117648,bpic2011_f1,Bell,L1
22,179.0,0.9909774436090224,bpic2011_f1,Bell,L1
23,176.0,0.9906832298136644,bpic2011_f1,Bell,L1
24,173.0,0.9957196361690744,bpic2011_f1,Bell,L1
25,155.0,0.994634473507713,bpic2011_f1,Bell,L1
26,134.0,0.9947619047619048,bpic2011_f1,Bell,L1
27,112.0,0.992106356460324,bpic2011_f1,Bell,L1
28,106.0,0.991869918699187,bpic2011_f1,Bell,L1
29,97.0,0.9915123456790124,bpic2011_f1,Bell,L1
30,92.0,0.9876543209876544,bpic2011_f1,Bell,L1
31,90.0,0.9875,bpic2011_f1,Bell,L1
32,86.0,0.9898989898989898,bpic2011_f1,Bell,L1
