LENGHT,NUMBEROFSAMPLES,ROC_AUC_SCORE,Testsize,DatasetName,MemberFunction,LossFunction
1,157.0,0.4396482813749001,0.9,1,Gauss,L1
2,157.0,0.4584332533972822,0.9,1,Gauss,L1
3,157.0,0.4356514788169464,0.9,1,Gauss,L1
4,157.0,0.413269384492406,0.9,1,Gauss,L1
5,157.0,0.3864908073541166,0.9,1,Gauss,L1
6,157.0,0.4088729016786571,0.9,1,Gauss,L1
7,157.0,0.4588329336530775,0.9,1,Gauss,L1
8,157.0,0.4628297362110312,0.9,1,Gauss,L1
9,154.0,0.4722222222222222,0.9,1,Gauss,L1
10,152.0,0.486318407960199,0.9,1,Gauss,L1
11,141.0,0.5145,0.9,1,Gauss,L1
12,129.0,0.4968944099378881,0.9,1,Gauss,L1
13,109.0,0.5030303030303029,0.9,1,Gauss,L1
14,90.0,0.4984756097560975,0.9,1,Gauss,L1
15,78.0,0.4857142857142857,0.9,1,Gauss,L1
16,60.0,0.4722222222222223,0.9,1,Gauss,L1
17,49.0,0.5363636363636364,0.9,1,Gauss,L1
18,38.0,0.4861111111111111,0.9,1,Gauss,L1
19,36.0,0.4852941176470588,0.9,1,Gauss,L1
20,32.0,0.5,0.9,1,Gauss,L1
21,28.0,0.4615384615384615,0.9,1,Gauss,L1
22,24.0,0.409090909090909,0.9,1,Gauss,L1
23,21.0,0.4210526315789473,0.9,1,Gauss,L1
24,19.0,0.5,0.9,1,Gauss,L1
25,17.0,0.5,0.9,1,Gauss,L1
26,16.0,0.5,0.9,1,Gauss,L1
27,16.0,0.5,0.9,1,Gauss,L1
28,15.0,0.4615384615384615,0.9,1,Gauss,L1
29,13.0,0.4545454545454546,0.9,1,Gauss,L1
1,157.0,0.4248601119104715,0.8,1,Gauss,L1
2,157.0,0.4108713029576338,0.8,1,Gauss,L1
3,157.0,0.3733013589128697,0.8,1,Gauss,L1
4,157.0,0.3541167066346922,0.8,1,Gauss,L1
5,157.0,0.391286970423661,0.8,1,Gauss,L1
6,157.0,0.4188649080735412,0.8,1,Gauss,L1
7,157.0,0.4612310151878497,0.8,1,Gauss,L1
8,157.0,0.4680255795363709,0.8,1,Gauss,L1
9,154.0,0.4701797385620915,0.8,1,Gauss,L1
10,152.0,0.4693200663349917,0.8,1,Gauss,L1
11,141.0,0.4845,0.8,1,Gauss,L1
12,129.0,0.4440993788819875,0.8,1,Gauss,L1
13,109.0,0.5242424242424243,0.8,1,Gauss,L1
14,90.0,0.5442073170731707,0.8,1,Gauss,L1
15,78.0,0.5428571428571428,0.8,1,Gauss,L1
16,60.0,0.5493827160493827,0.8,1,Gauss,L1
17,49.0,0.6181818181818182,0.8,1,Gauss,L1
