Epoch 001: | Train Loss: 0.6908 | Val Loss: 0.6885 | Train Acc: 0.8184 | Val Acc: 0.8288 | Train Prec: 0.8624 | Val Prec: 0.8652 | Train Rec: 0.7242 | Val Rec: 0.7672 | Train F1: 0.7865 | Val F1: 0.8131 | Train AUC: 0.9014 | Val AUC: 0.9033
Epoch 002: | Train Loss: 0.6858 | Val Loss: 0.6835 | Train Acc: 0.8430 | Val Acc: 0.8380 | Train Prec: 0.8619 | Val Prec: 0.8389 | Train Rec: 0.8051 | Val Rec: 0.8257 | Train F1: 0.8318 | Val F1: 0.8319 | Train AUC: 0.9117 | Val AUC: 0.9074
Epoch 003: | Train Loss: 0.6807 | Val Loss: 0.6784 | Train Acc: 0.8399 | Val Acc: 0.8288 | Train Prec: 0.8322 | Val Prec: 0.8110 | Train Rec: 0.8386 | Val Rec: 0.8458 | Train F1: 0.8348 | Val F1: 0.8277 | Train AUC: 0.9127 | Val AUC: 0.9084
Epoch 004: | Train Loss: 0.6756 | Val Loss: 0.6733 | Train Acc: 0.8305 | Val Acc: 0.8212 | Train Prec: 0.8132 | Val Prec: 0.7968 | Train Rec: 0.8443 | Val Rec: 0.8494 | Train F1: 0.8279 | Val F1: 0.8219 | Train AUC: 0.9144 | Val AUC: 0.9112
Epoch 005: | Train Loss: 0.6704 | Val Loss: 0.6683 | Train Acc: 0.8247 | Val Acc: 0.8190 | Train Prec: 0.8014 | Val Prec: 0.7925 | Train Rec: 0.8487 | Val Rec: 0.8513 | Train F1: 0.8238 | Val F1: 0.8205 | Train AUC: 0.9155 | Val AUC: 0.9123
Epoch 006: | Train Loss: 0.6654 | Val Loss: 0.6633 | Train Acc: 0.8257 | Val Acc: 0.8207 | Train Prec: 0.7998 | Val Prec: 0.7933 | Train Rec: 0.8541 | Val Rec: 0.8547 | Train F1: 0.8255 | Val F1: 0.8224 | Train AUC: 0.9165 | Val AUC: 0.9131
Epoch 007: | Train Loss: 0.6601 | Val Loss: 0.6579 | Train Acc: 0.8259 | Val Acc: 0.8210 | Train Prec: 0.7997 | Val Prec: 0.7934 | Train Rec: 0.8549 | Val Rec: 0.8553 | Train F1: 0.8258 | Val F1: 0.8228 | Train AUC: 0.9164 | Val AUC: 0.9130
Epoch 008: | Train Loss: 0.6544 | Val Loss: 0.6518 | Train Acc: 0.8274 | Val Acc: 0.8207 | Train Prec: 0.7998 | Val Prec: 0.7917 | Train Rec: 0.8588 | Val Rec: 0.8576 | Train F1: 0.8277 | Val F1: 0.8229 | Train AUC: 0.9158 | Val AUC: 0.9123
Epoch 009: | Train Loss: 0.6472 | Val Loss: 0.6433 | Train Acc: 0.8259 | Val Acc: 0.8196 | Train Prec: 0.7967 | Val Prec: 0.7890 | Train Rec: 0.8601 | Val Rec: 0.8593 | Train F1: 0.8266 | Val F1: 0.8224 | Train AUC: 0.9143 | Val AUC: 0.9091
Epoch 010: | Train Loss: 0.6361 | Val Loss: 0.6303 | Train Acc: 0.8237 | Val Acc: 0.8187 | Train Prec: 0.7931 | Val Prec: 0.7878 | Train Rec: 0.8607 | Val Rec: 0.8593 | Train F1: 0.8250 | Val F1: 0.8217 | Train AUC: 0.9015 | Val AUC: 0.8799
Epoch 011: | Train Loss: 0.6257 | Val Loss: 0.6229 | Train Acc: 0.8232 | Val Acc: 0.8193 | Train Prec: 0.7924 | Val Prec: 0.7886 | Train Rec: 0.8607 | Val Rec: 0.8593 | Train F1: 0.8246 | Val F1: 0.8221 | Train AUC: 0.8793 | Val AUC: 0.8747
Epoch 012: | Train Loss: 0.6190 | Val Loss: 0.6168 | Train Acc: 0.8236 | Val Acc: 0.8196 | Train Prec: 0.7930 | Val Prec: 0.7890 | Train Rec: 0.8607 | Val Rec: 0.8593 | Train F1: 0.8249 | Val F1: 0.8224 | Train AUC: 0.8779 | Val AUC: 0.8752
Epoch 013: | Train Loss: 0.6131 | Val Loss: 0.6114 | Train Acc: 0.8234 | Val Acc: 0.8190 | Train Prec: 0.7926 | Val Prec: 0.7882 | Train Rec: 0.8607 | Val Rec: 0.8593 | Train F1: 0.8247 | Val F1: 0.8219 | Train AUC: 0.8792 | Val AUC: 0.8767
Epoch 014: | Train Loss: 0.6078 | Val Loss: 0.6063 | Train Acc: 0.8224 | Val Acc: 0.8187 | Train Prec: 0.7912 | Val Prec: 0.7878 | Train Rec: 0.8607 | Val Rec: 0.8593 | Train F1: 0.8239 | Val F1: 0.8217 | Train AUC: 0.8802 | Val AUC: 0.8776
Epoch 015: | Train Loss: 0.6028 | Val Loss: 0.6016 | Train Acc: 0.8222 | Val Acc: 0.8187 | Train Prec: 0.7909 | Val Prec: 0.7878 | Train Rec: 0.8607 | Val Rec: 0.8593 | Train F1: 0.8237 | Val F1: 0.8217 | Train AUC: 0.8814 | Val AUC: 0.8792
Epoch 016: | Train Loss: 0.5982 | Val Loss: 0.5970 | Train Acc: 0.8223 | Val Acc: 0.8187 | Train Prec: 0.7909 | Val Prec: 0.7878 | Train Rec: 0.8610 | Val Rec: 0.8593 | Train F1: 0.8239 | Val F1: 0.8217 | Train AUC: 0.8828 | Val AUC: 0.8799
Epoch 017: | Train Loss: 0.5937 | Val Loss: 0.5928 | Train Acc: 0.8229 | Val Acc: 0.8204 | Train Prec: 0.7911 | Val Prec: 0.7885 | Train Rec: 0.8622 | Val Rec: 0.8628 | Train F1: 0.8246 | Val F1: 0.8236 | Train AUC: 0.8832 | Val AUC: 0.8809
Epoch 018: | Train Loss: 0.5894 | Val Loss: 0.5883 | Train Acc: 0.8245 | Val Acc: 0.8204 | Train Prec: 0.7918 | Val Prec: 0.7885 | Train Rec: 0.8655 | Val Rec: 0.8627 | Train F1: 0.8265 | Val F1: 0.8236 | Train AUC: 0.8844 | Val AUC: 0.8814
Epoch 019: | Train Loss: 0.5846 | Val Loss: 0.5821 | Train Acc: 0.8228 | Val Acc: 0.8196 | Train Prec: 0.7913 | Val Prec: 0.7886 | Train Rec: 0.8615 | Val Rec: 0.8598 | Train F1: 0.8244 | Val F1: 0.8223 | Train AUC: 0.8875 | Val AUC: 0.8950
Epoch 020: | Train Loss: 0.5784 | Val Loss: 0.5761 | Train Acc: 0.8209 | Val Acc: 0.8183 | Train Prec: 0.7891 | Val Prec: 0.7867 | Train Rec: 0.8598 | Val Rec: 0.8598 | Train F1: 0.8224 | Val F1: 0.8212 | Train AUC: 0.8969 | Val AUC: 0.8951
Epoch 021: | Train Loss: 0.5725 | Val Loss: 0.5708 | Train Acc: 0.8196 | Val Acc: 0.8183 | Train Prec: 0.7879 | Val Prec: 0.7867 | Train Rec: 0.8587 | Val Rec: 0.8598 | Train F1: 0.8213 | Val F1: 0.8212 | Train AUC: 0.8986 | Val AUC: 0.8950
Epoch 022: | Train Loss: 0.5676 | Val Loss: 0.5662 | Train Acc: 0.8200 | Val Acc: 0.8183 | Train Prec: 0.7880 | Val Prec: 0.7867 | Train Rec: 0.8594 | Val Rec: 0.8598 | Train F1: 0.8217 | Val F1: 0.8212 | Train AUC: 0.8981 | Val AUC: 0.8946
Epoch 023: | Train Loss: 0.5631 | Val Loss: 0.5621 | Train Acc: 0.8204 | Val Acc: 0.8199 | Train Prec: 0.7882 | Val Prec: 0.7874 | Train Rec: 0.8604 | Val Rec: 0.8632 | Train F1: 0.8222 | Val F1: 0.8232 | Train AUC: 0.8981 | Val AUC: 0.8926
Epoch 024: | Train Loss: 0.5591 | Val Loss: 0.5581 | Train Acc: 0.8218 | Val Acc: 0.8199 | Train Prec: 0.7887 | Val Prec: 0.7874 | Train Rec: 0.8632 | Val Rec: 0.8632 | Train F1: 0.8238 | Val F1: 0.8232 | Train AUC: 0.8976 | Val AUC: 0.8934
