Epoch 001: | Train Loss: 0.6063 | Val Loss: 0.5356 | Train Acc: 0.7384 | Val Acc: 0.7522 | Train Prec: 0.4202 | Val Prec: 0.8711 | Train Rec: 0.0178 | Val Rec: 0.0836 | Train F1: 0.0335 | Val F1: 0.1506 | Train AUC: 0.8686 | Val AUC: 0.8820
Epoch 002: | Train Loss: 0.4933 | Val Loss: 0.4535 | Train Acc: 0.7843 | Val Acc: 0.8317 | Train Prec: 0.8235 | Val Prec: 0.8650 | Train Rec: 0.2298 | Val Rec: 0.4377 | Train F1: 0.3480 | Val F1: 0.5790 | Train AUC: 0.8840 | Val AUC: 0.8892
Epoch 003: | Train Loss: 0.4237 | Val Loss: 0.3924 | Train Acc: 0.8313 | Val Acc: 0.8563 | Train Prec: 0.8073 | Val Prec: 0.8271 | Train Rec: 0.4735 | Val Rec: 0.5837 | Train F1: 0.5928 | Val F1: 0.6824 | Train AUC: 0.8954 | Val AUC: 0.8977
Epoch 004: | Train Loss: 0.3695 | Val Loss: 0.3494 | Train Acc: 0.8566 | Val Acc: 0.8677 | Train Prec: 0.8113 | Val Prec: 0.8171 | Train Rec: 0.5968 | Val Rec: 0.6528 | Train F1: 0.6842 | Val F1: 0.7244 | Train AUC: 0.9056 | Val AUC: 0.9028
Epoch 005: | Train Loss: 0.3342 | Val Loss: 0.3236 | Train Acc: 0.8664 | Val Acc: 0.8761 | Train Prec: 0.8050 | Val Prec: 0.8273 | Train Rec: 0.6504 | Val Rec: 0.6802 | Train F1: 0.7172 | Val F1: 0.7450 | Train AUC: 0.9124 | Val AUC: 0.9082
Epoch 006: | Train Loss: 0.3125 | Val Loss: 0.3070 | Train Acc: 0.8771 | Val Acc: 0.8866 | Train Prec: 0.8213 | Val Prec: 0.8469 | Train Rec: 0.6824 | Val Rec: 0.7050 | Train F1: 0.7434 | Val F1: 0.7680 | Train AUC: 0.9176 | Val AUC: 0.9123
Epoch 007: | Train Loss: 0.2989 | Val Loss: 0.2974 | Train Acc: 0.8847 | Val Acc: 0.8902 | Train Prec: 0.8308 | Val Prec: 0.8431 | Train Rec: 0.7064 | Val Rec: 0.7253 | Train F1: 0.7618 | Val F1: 0.7781 | Train AUC: 0.9214 | Val AUC: 0.9157
Epoch 008: | Train Loss: 0.2906 | Val Loss: 0.2914 | Train Acc: 0.8892 | Val Acc: 0.8899 | Train Prec: 0.8368 | Val Prec: 0.8412 | Train Rec: 0.7208 | Val Rec: 0.7267 | Train F1: 0.7728 | Val F1: 0.7782 | Train AUC: 0.9249 | Val AUC: 0.9181
Epoch 009: | Train Loss: 0.2847 | Val Loss: 0.2865 | Train Acc: 0.8920 | Val Acc: 0.8919 | Train Prec: 0.8423 | Val Prec: 0.8436 | Train Rec: 0.7264 | Val Rec: 0.7322 | Train F1: 0.7786 | Val F1: 0.7821 | Train AUC: 0.9275 | Val AUC: 0.9205
Epoch 010: | Train Loss: 0.2796 | Val Loss: 0.2822 | Train Acc: 0.8963 | Val Acc: 0.8961 | Train Prec: 0.8511 | Val Prec: 0.8562 | Train Rec: 0.7349 | Val Rec: 0.7357 | Train F1: 0.7874 | Val F1: 0.7897 | Train AUC: 0.9298 | Val AUC: 0.9225
Epoch 011: | Train Loss: 0.2752 | Val Loss: 0.2783 | Train Acc: 0.8994 | Val Acc: 0.8997 | Train Prec: 0.8588 | Val Prec: 0.8653 | Train Rec: 0.7401 | Val Rec: 0.7409 | Train F1: 0.7938 | Val F1: 0.7969 | Train AUC: 0.9317 | Val AUC: 0.9243
Epoch 012: | Train Loss: 0.2712 | Val Loss: 0.2748 | Train Acc: 0.9015 | Val Acc: 0.9008 | Train Prec: 0.8628 | Val Prec: 0.8691 | Train Rec: 0.7448 | Val Rec: 0.7407 | Train F1: 0.7982 | Val F1: 0.7986 | Train AUC: 0.9333 | Val AUC: 0.9260
Epoch 013: | Train Loss: 0.2676 | Val Loss: 0.2717 | Train Acc: 0.9028 | Val Acc: 0.8994 | Train Prec: 0.8668 | Val Prec: 0.8640 | Train Rec: 0.7461 | Val Rec: 0.7407 | Train F1: 0.8008 | Val F1: 0.7965 | Train AUC: 0.9347 | Val AUC: 0.9275
Epoch 014: | Train Loss: 0.2643 | Val Loss: 0.2687 | Train Acc: 0.9025 | Val Acc: 0.9004 | Train Prec: 0.8671 | Val Prec: 0.8684 | Train Rec: 0.7446 | Val Rec: 0.7391 | Train F1: 0.8000 | Val F1: 0.7974 | Train AUC: 0.9361 | Val AUC: 0.9291
Epoch 015: | Train Loss: 0.2612 | Val Loss: 0.2654 | Train Acc: 0.9036 | Val Acc: 0.9010 | Train Prec: 0.8712 | Val Prec: 0.8703 | Train Rec: 0.7445 | Val Rec: 0.7403 | Train F1: 0.8016 | Val F1: 0.7990 | Train AUC: 0.9377 | Val AUC: 0.9308
Epoch 016: | Train Loss: 0.2566 | Val Loss: 0.2528 | Train Acc: 0.9055 | Val Acc: 0.9067 | Train Prec: 0.8794 | Val Prec: 0.8970 | Train Rec: 0.7436 | Val Rec: 0.7339 | Train F1: 0.8046 | Val F1: 0.8065 | Train AUC: 0.9402 | Val AUC: 0.9379
Epoch 017: | Train Loss: 0.2504 | Val Loss: 0.2466 | Train Acc: 0.9048 | Val Acc: 0.9072 | Train Prec: 0.8833 | Val Prec: 0.8908 | Train Rec: 0.7362 | Val Rec: 0.7444 | Train F1: 0.8019 | Val F1: 0.8101 | Train AUC: 0.9437 | Val AUC: 0.9407
Epoch 018: | Train Loss: 0.2382 | Val Loss: 0.2330 | Train Acc: 0.9059 | Val Acc: 0.9056 | Train Prec: 0.8898 | Val Prec: 0.8812 | Train Rec: 0.7344 | Val Rec: 0.7434 | Train F1: 0.8032 | Val F1: 0.8056 | Train AUC: 0.9490 | Val AUC: 0.9480
Epoch 019: | Train Loss: 0.2297 | Val Loss: 0.2273 | Train Acc: 0.9085 | Val Acc: 0.9066 | Train Prec: 0.8914 | Val Prec: 0.8772 | Train Rec: 0.7443 | Val Rec: 0.7524 | Train F1: 0.8098 | Val F1: 0.8092 | Train AUC: 0.9536 | Val AUC: 0.9511
Epoch 020: | Train Loss: 0.2250 | Val Loss: 0.2234 | Train Acc: 0.9089 | Val Acc: 0.9082 | Train Prec: 0.8889 | Val Prec: 0.8734 | Train Rec: 0.7490 | Val Rec: 0.7637 | Train F1: 0.8115 | Val F1: 0.8141 | Train AUC: 0.9559 | Val AUC: 0.9535
Epoch 021: | Train Loss: 0.2207 | Val Loss: 0.2203 | Train Acc: 0.9102 | Val Acc: 0.9089 | Train Prec: 0.8869 | Val Prec: 0.8733 | Train Rec: 0.7569 | Val Rec: 0.7684 | Train F1: 0.8155 | Val F1: 0.8167 | Train AUC: 0.9580 | Val AUC: 0.9550
Epoch 022: | Train Loss: 0.2180 | Val Loss: 0.2177 | Train Acc: 0.9109 | Val Acc: 0.9099 | Train Prec: 0.8877 | Val Prec: 0.8726 | Train Rec: 0.7592 | Val Rec: 0.7736 | Train F1: 0.8172 | Val F1: 0.8194 | Train AUC: 0.9591 | Val AUC: 0.9566
Epoch 023: | Train Loss: 0.2153 | Val Loss: 0.2156 | Train Acc: 0.9116 | Val Acc: 0.9122 | Train Prec: 0.8855 | Val Prec: 0.8771 | Train Rec: 0.7647 | Val Rec: 0.7784 | Train F1: 0.8195 | Val F1: 0.8240 | Train AUC: 0.9603 | Val AUC: 0.9576
Epoch 024: | Train Loss: 0.2132 | Val Loss: 0.2135 | Train Acc: 0.9136 | Val Acc: 0.9132 | Train Prec: 0.8892 | Val Prec: 0.8776 | Train Rec: 0.7695 | Val Rec: 0.7830 | Train F1: 0.8239 | Val F1: 0.8268 | Train AUC: 0.9611 | Val AUC: 0.9588
Epoch 025: | Train Loss: 0.2110 | Val Loss: 0.2118 | Train Acc: 0.9148 | Val Acc: 0.9152 | Train Prec: 0.8904 | Val Prec: 0.8788 | Train Rec: 0.7728 | Val Rec: 0.7909 | Train F1: 0.8265 | Val F1: 0.8317 | Train AUC: 0.9620 | Val AUC: 0.9596
Epoch 026: | Train Loss: 0.2091 | Val Loss: 0.2101 | Train Acc: 0.9154 | Val Acc: 0.9152 | Train Prec: 0.8905 | Val Prec: 0.8775 | Train Rec: 0.7752 | Val Rec: 0.7919 | Train F1: 0.8279 | Val F1: 0.8318 | Train AUC: 0.9629 | Val AUC: 0.9606
Epoch 027: | Train Loss: 0.2074 | Val Loss: 0.2085 | Train Acc: 0.9156 | Val Acc: 0.9142 | Train Prec: 0.8891 | Val Prec: 0.8726 | Train Rec: 0.7784 | Val Rec: 0.7931 | Train F1: 0.8291 | Val F1: 0.8301 | Train AUC: 0.9636 | Val AUC: 0.9612
Epoch 028: | Train Loss: 0.2058 | Val Loss: 0.2070 | Train Acc: 0.9154 | Val Acc: 0.9132 | Train Prec: 0.8875 | Val Prec: 0.8683 | Train Rec: 0.7797 | Val Rec: 0.7943 | Train F1: 0.8291 | Val F1: 0.8290 | Train AUC: 0.9642 | Val AUC: 0.9620
Epoch 029: | Train Loss: 0.2043 | Val Loss: 0.2055 | Train Acc: 0.9154 | Val Acc: 0.9139 | Train Prec: 0.8861 | Val Prec: 0.8700 | Train Rec: 0.7813 | Val Rec: 0.7950 | Train F1: 0.8293 | Val F1: 0.8302 | Train AUC: 0.9648 | Val AUC: 0.9625
Epoch 030: | Train Loss: 0.2029 | Val Loss: 0.2042 | Train Acc: 0.9157 | Val Acc: 0.9142 | Train Prec: 0.8851 | Val Prec: 0.8702 | Train Rec: 0.7834 | Val Rec: 0.7961 | Train F1: 0.8301 | Val F1: 0.8309 | Train AUC: 0.9653 | Val AUC: 0.9632
Epoch 031: | Train Loss: 0.2017 | Val Loss: 0.2029 | Train Acc: 0.9161 | Val Acc: 0.9142 | Train Prec: 0.8849 | Val Prec: 0.8714 | Train Rec: 0.7858 | Val Rec: 0.7946 | Train F1: 0.8314 | Val F1: 0.8307 | Train AUC: 0.9658 | Val AUC: 0.9638
Epoch 032: | Train Loss: 0.2005 | Val Loss: 0.2017 | Train Acc: 0.9164 | Val Acc: 0.9149 | Train Prec: 0.8847 | Val Prec: 0.8710 | Train Rec: 0.7872 | Val Rec: 0.7978 | Train F1: 0.8321 | Val F1: 0.8323 | Train AUC: 0.9662 | Val AUC: 0.9643
Epoch 033: | Train Loss: 0.1994 | Val Loss: 0.2005 | Train Acc: 0.9165 | Val Acc: 0.9162 | Train Prec: 0.8843 | Val Prec: 0.8730 | Train Rec: 0.7881 | Val Rec: 0.8011 | Train F1: 0.8324 | Val F1: 0.8350 | Train AUC: 0.9666 | Val AUC: 0.9647
Epoch 034: | Train Loss: 0.1983 | Val Loss: 0.1994 | Train Acc: 0.9165 | Val Acc: 0.9158 | Train Prec: 0.8838 | Val Prec: 0.8707 | Train Rec: 0.7892 | Val Rec: 0.8021 | Train F1: 0.8327 | Val F1: 0.8345 | Train AUC: 0.9670 | Val AUC: 0.9652
