Epoch 001: | Train Loss: 0.6717 | Val Loss: 0.6580 | Train Acc: 0.7366 | Val Acc: 0.7340 | Train Prec: 0.0217 | Val Prec: 0.0000 | Train Rec: 0.0003 | Val Rec: 0.0000 | Train F1: 0.0006 | Val F1: 0.0000 | Train AUC: 0.5913 | Val AUC: 0.5826
Epoch 002: | Train Loss: 0.6419 | Val Loss: 0.6401 | Train Acc: 0.7368 | Val Acc: 0.7340 | Train Prec: 0.0652 | Val Prec: 0.0000 | Train Rec: 0.0010 | Val Rec: 0.0000 | Train F1: 0.0019 | Val F1: 0.0000 | Train AUC: 0.5959 | Val AUC: 0.5824
Epoch 003: | Train Loss: 0.6266 | Val Loss: 0.6307 | Train Acc: 0.7368 | Val Acc: 0.7340 | Train Prec: 0.0652 | Val Prec: 0.0000 | Train Rec: 0.0010 | Val Rec: 0.0000 | Train F1: 0.0019 | Val F1: 0.0000 | Train AUC: 0.5958 | Val AUC: 0.5822
Epoch 004: | Train Loss: 0.6182 | Val Loss: 0.6253 | Train Acc: 0.7368 | Val Acc: 0.7340 | Train Prec: 0.0652 | Val Prec: 0.0000 | Train Rec: 0.0010 | Val Rec: 0.0000 | Train F1: 0.0019 | Val F1: 0.0000 | Train AUC: 0.5957 | Val AUC: 0.5822
Epoch 005: | Train Loss: 0.6127 | Val Loss: 0.6218 | Train Acc: 0.7368 | Val Acc: 0.7340 | Train Prec: 0.0652 | Val Prec: 0.0000 | Train Rec: 0.0010 | Val Rec: 0.0000 | Train F1: 0.0019 | Val F1: 0.0000 | Train AUC: 0.5961 | Val AUC: 0.5825
Epoch 006: | Train Loss: 0.6093 | Val Loss: 0.6192 | Train Acc: 0.7368 | Val Acc: 0.7340 | Train Prec: 0.0652 | Val Prec: 0.0000 | Train Rec: 0.0010 | Val Rec: 0.0000 | Train F1: 0.0019 | Val F1: 0.0000 | Train AUC: 0.5963 | Val AUC: 0.5829
Epoch 007: | Train Loss: 0.6064 | Val Loss: 0.6179 | Train Acc: 0.7368 | Val Acc: 0.7340 | Train Prec: 0.0652 | Val Prec: 0.0000 | Train Rec: 0.0010 | Val Rec: 0.0000 | Train F1: 0.0019 | Val F1: 0.0000 | Train AUC: 0.5968 | Val AUC: 0.5825
Epoch 008: | Train Loss: 0.6047 | Val Loss: 0.6170 | Train Acc: 0.7368 | Val Acc: 0.7340 | Train Prec: 0.0652 | Val Prec: 0.0000 | Train Rec: 0.0010 | Val Rec: 0.0000 | Train F1: 0.0019 | Val F1: 0.0000 | Train AUC: 0.5969 | Val AUC: 0.5823
Epoch 009: | Train Loss: 0.6035 | Val Loss: 0.6160 | Train Acc: 0.7368 | Val Acc: 0.7340 | Train Prec: 0.0652 | Val Prec: 0.0000 | Train Rec: 0.0010 | Val Rec: 0.0000 | Train F1: 0.0019 | Val F1: 0.0000 | Train AUC: 0.5969 | Val AUC: 0.5825
Epoch 010: | Train Loss: 0.6026 | Val Loss: 0.6155 | Train Acc: 0.7368 | Val Acc: 0.7340 | Train Prec: 0.0652 | Val Prec: 0.0000 | Train Rec: 0.0010 | Val Rec: 0.0000 | Train F1: 0.0019 | Val F1: 0.0000 | Train AUC: 0.5969 | Val AUC: 0.5825
Epoch 011: | Train Loss: 0.6018 | Val Loss: 0.6150 | Train Acc: 0.7368 | Val Acc: 0.7340 | Train Prec: 0.0652 | Val Prec: 0.0000 | Train Rec: 0.0010 | Val Rec: 0.0000 | Train F1: 0.0019 | Val F1: 0.0000 | Train AUC: 0.5969 | Val AUC: 0.5825
Epoch 012: | Train Loss: 0.6012 | Val Loss: 0.6147 | Train Acc: 0.7368 | Val Acc: 0.7340 | Train Prec: 0.0652 | Val Prec: 0.0000 | Train Rec: 0.0010 | Val Rec: 0.0000 | Train F1: 0.0019 | Val F1: 0.0000 | Train AUC: 0.5969 | Val AUC: 0.5825
Epoch 013: | Train Loss: 0.6007 | Val Loss: 0.6144 | Train Acc: 0.7368 | Val Acc: 0.7340 | Train Prec: 0.0652 | Val Prec: 0.0000 | Train Rec: 0.0010 | Val Rec: 0.0000 | Train F1: 0.0019 | Val F1: 0.0000 | Train AUC: 0.5969 | Val AUC: 0.5825
Epoch 014: | Train Loss: 0.6003 | Val Loss: 0.6142 | Train Acc: 0.7368 | Val Acc: 0.7340 | Train Prec: 0.0652 | Val Prec: 0.0000 | Train Rec: 0.0010 | Val Rec: 0.0000 | Train F1: 0.0019 | Val F1: 0.0000 | Train AUC: 0.5969 | Val AUC: 0.5825
Epoch 015: | Train Loss: 0.5999 | Val Loss: 0.6140 | Train Acc: 0.7368 | Val Acc: 0.7340 | Train Prec: 0.0652 | Val Prec: 0.0000 | Train Rec: 0.0010 | Val Rec: 0.0000 | Train F1: 0.0019 | Val F1: 0.0000 | Train AUC: 0.5970 | Val AUC: 0.5825
Epoch 016: | Train Loss: 0.5996 | Val Loss: 0.6139 | Train Acc: 0.7368 | Val Acc: 0.7340 | Train Prec: 0.0652 | Val Prec: 0.0000 | Train Rec: 0.0010 | Val Rec: 0.0000 | Train F1: 0.0019 | Val F1: 0.0000 | Train AUC: 0.5970 | Val AUC: 0.5825
Epoch 017: | Train Loss: 0.5994 | Val Loss: 0.6138 | Train Acc: 0.7368 | Val Acc: 0.7340 | Train Prec: 0.0652 | Val Prec: 0.0000 | Train Rec: 0.0010 | Val Rec: 0.0000 | Train F1: 0.0019 | Val F1: 0.0000 | Train AUC: 0.5970 | Val AUC: 0.5825
Epoch 018: | Train Loss: 0.5992 | Val Loss: 0.6137 | Train Acc: 0.7368 | Val Acc: 0.7340 | Train Prec: 0.0652 | Val Prec: 0.0000 | Train Rec: 0.0010 | Val Rec: 0.0000 | Train F1: 0.0019 | Val F1: 0.0000 | Train AUC: 0.5970 | Val AUC: 0.5825
Epoch 019: | Train Loss: 0.5990 | Val Loss: 0.6137 | Train Acc: 0.7368 | Val Acc: 0.7340 | Train Prec: 0.0652 | Val Prec: 0.0000 | Train Rec: 0.0010 | Val Rec: 0.0000 | Train F1: 0.0019 | Val F1: 0.0000 | Train AUC: 0.5970 | Val AUC: 0.5825
Epoch 020: | Train Loss: 0.5988 | Val Loss: 0.6136 | Train Acc: 0.7368 | Val Acc: 0.7340 | Train Prec: 0.0652 | Val Prec: 0.0000 | Train Rec: 0.0010 | Val Rec: 0.0000 | Train F1: 0.0019 | Val F1: 0.0000 | Train AUC: 0.5970 | Val AUC: 0.5825
Epoch 021: | Train Loss: 0.5987 | Val Loss: 0.6136 | Train Acc: 0.7368 | Val Acc: 0.7340 | Train Prec: 0.0652 | Val Prec: 0.0000 | Train Rec: 0.0010 | Val Rec: 0.0000 | Train F1: 0.0019 | Val F1: 0.0000 | Train AUC: 0.5970 | Val AUC: 0.5825
Epoch 022: | Train Loss: 0.5986 | Val Loss: 0.6135 | Train Acc: 0.7368 | Val Acc: 0.7340 | Train Prec: 0.0652 | Val Prec: 0.0000 | Train Rec: 0.0010 | Val Rec: 0.0000 | Train F1: 0.0019 | Val F1: 0.0000 | Train AUC: 0.5970 | Val AUC: 0.5825
Epoch 023: | Train Loss: 0.5985 | Val Loss: 0.6135 | Train Acc: 0.7368 | Val Acc: 0.7340 | Train Prec: 0.0652 | Val Prec: 0.0000 | Train Rec: 0.0010 | Val Rec: 0.0000 | Train F1: 0.0019 | Val F1: 0.0000 | Train AUC: 0.5970 | Val AUC: 0.5825
Epoch 024: | Train Loss: 0.5984 | Val Loss: 0.6135 | Train Acc: 0.7368 | Val Acc: 0.7340 | Train Prec: 0.0652 | Val Prec: 0.0000 | Train Rec: 0.0010 | Val Rec: 0.0000 | Train F1: 0.0019 | Val F1: 0.0000 | Train AUC: 0.5970 | Val AUC: 0.5825
Epoch 025: | Train Loss: 0.5983 | Val Loss: 0.6135 | Train Acc: 0.7368 | Val Acc: 0.7340 | Train Prec: 0.0652 | Val Prec: 0.0000 | Train Rec: 0.0010 | Val Rec: 0.0000 | Train F1: 0.0019 | Val F1: 0.0000 | Train AUC: 0.5970 | Val AUC: 0.5825
Epoch 026: | Train Loss: 0.5982 | Val Loss: 0.6135 | Train Acc: 0.7368 | Val Acc: 0.7340 | Train Prec: 0.0652 | Val Prec: 0.0000 | Train Rec: 0.0010 | Val Rec: 0.0000 | Train F1: 0.0019 | Val F1: 0.0000 | Train AUC: 0.5970 | Val AUC: 0.5825
Epoch 027: | Train Loss: 0.5981 | Val Loss: 0.6135 | Train Acc: 0.7368 | Val Acc: 0.7340 | Train Prec: 0.0652 | Val Prec: 0.0000 | Train Rec: 0.0010 | Val Rec: 0.0000 | Train F1: 0.0019 | Val F1: 0.0000 | Train AUC: 0.5970 | Val AUC: 0.5825
Epoch 028: | Train Loss: 0.5981 | Val Loss: 0.6135 | Train Acc: 0.7368 | Val Acc: 0.7340 | Train Prec: 0.0652 | Val Prec: 0.0000 | Train Rec: 0.0010 | Val Rec: 0.0000 | Train F1: 0.0019 | Val F1: 0.0000 | Train AUC: 0.5970 | Val AUC: 0.5825
Epoch 029: | Train Loss: 0.5980 | Val Loss: 0.6135 | Train Acc: 0.7368 | Val Acc: 0.7340 | Train Prec: 0.0652 | Val Prec: 0.0000 | Train Rec: 0.0010 | Val Rec: 0.0000 | Train F1: 0.0019 | Val F1: 0.0000 | Train AUC: 0.5970 | Val AUC: 0.5825
Epoch 030: | Train Loss: 0.5979 | Val Loss: 0.6135 | Train Acc: 0.7368 | Val Acc: 0.7340 | Train Prec: 0.0652 | Val Prec: 0.0000 | Train Rec: 0.0010 | Val Rec: 0.0000 | Train F1: 0.0019 | Val F1: 0.0000 | Train AUC: 0.5970 | Val AUC: 0.5825
Epoch 031: | Train Loss: 0.5979 | Val Loss: 0.6135 | Train Acc: 0.7368 | Val Acc: 0.7340 | Train Prec: 0.0652 | Val Prec: 0.0000 | Train Rec: 0.0010 | Val Rec: 0.0000 | Train F1: 0.0019 | Val F1: 0.0000 | Train AUC: 0.5970 | Val AUC: 0.5825
Epoch 032: | Train Loss: 0.5978 | Val Loss: 0.6136 | Train Acc: 0.7368 | Val Acc: 0.7340 | Train Prec: 0.0652 | Val Prec: 0.0000 | Train Rec: 0.0010 | Val Rec: 0.0000 | Train F1: 0.0019 | Val F1: 0.0000 | Train AUC: 0.5970 | Val AUC: 0.5825
Epoch 033: | Train Loss: 0.5978 | Val Loss: 0.6136 | Train Acc: 0.7368 | Val Acc: 0.7340 | Train Prec: 0.0652 | Val Prec: 0.0000 | Train Rec: 0.0010 | Val Rec: 0.0000 | Train F1: 0.0019 | Val F1: 0.0000 | Train AUC: 0.5970 | Val AUC: 0.5825
Epoch 034: | Train Loss: 0.5978 | Val Loss: 0.6136 | Train Acc: 0.7368 | Val Acc: 0.7340 | Train Prec: 0.0652 | Val Prec: 0.0000 | Train Rec: 0.0010 | Val Rec: 0.0000 | Train F1: 0.0019 | Val F1: 0.0000 | Train AUC: 0.5970 | Val AUC: 0.5825
Epoch 035: | Train Loss: 0.5977 | Val Loss: 0.6136 | Train Acc: 0.7368 | Val Acc: 0.7340 | Train Prec: 0.0652 | Val Prec: 0.0000 | Train Rec: 0.0010 | Val Rec: 0.0000 | Train F1: 0.0019 | Val F1: 0.0000 | Train AUC: 0.5970 | Val AUC: 0.5825
Epoch 036: | Train Loss: 0.5977 | Val Loss: 0.6136 | Train Acc: 0.7368 | Val Acc: 0.7340 | Train Prec: 0.0652 | Val Prec: 0.0000 | Train Rec: 0.0010 | Val Rec: 0.0000 | Train F1: 0.0019 | Val F1: 0.0000 | Train AUC: 0.5970 | Val AUC: 0.5825
