Epoch 001: | Train Loss: 0.5892 | Val Loss: 0.5225 | Train Acc: 0.7362 | Val Acc: 0.7680 | Train Prec: 0.6098 | Val Prec: 0.7013 | Train Rec: 0.5526 | Val Rec: 0.7110 | Train F1: 0.5694 | Val F1: 0.7045 | Train AUC: 0.8299 | Val AUC: 0.8285
Epoch 002: | Train Loss: 0.5014 | Val Loss: 0.4976 | Train Acc: 0.7689 | Val Acc: 0.7593 | Train Prec: 0.7103 | Val Prec: 0.6994 | Train Rec: 0.7004 | Val Rec: 0.6815 | Train F1: 0.7029 | Val F1: 0.6884 | Train AUC: 0.8332 | Val AUC: 0.8282
Epoch 003: | Train Loss: 0.4925 | Val Loss: 0.4958 | Train Acc: 0.7670 | Val Acc: 0.7593 | Train Prec: 0.7097 | Val Prec: 0.6994 | Train Rec: 0.6935 | Val Rec: 0.6815 | Train F1: 0.6991 | Val F1: 0.6884 | Train AUC: 0.8334 | Val AUC: 0.8283
Epoch 004: | Train Loss: 0.4913 | Val Loss: 0.4949 | Train Acc: 0.7679 | Val Acc: 0.7611 | Train Prec: 0.7102 | Val Prec: 0.7007 | Train Rec: 0.6958 | Val Rec: 0.6859 | Train F1: 0.7006 | Val F1: 0.6913 | Train AUC: 0.8337 | Val AUC: 0.8285
Epoch 005: | Train Loss: 0.4904 | Val Loss: 0.4940 | Train Acc: 0.7692 | Val Acc: 0.7640 | Train Prec: 0.7110 | Val Prec: 0.7048 | Train Rec: 0.6987 | Val Rec: 0.6885 | Train F1: 0.7024 | Val F1: 0.6947 | Train AUC: 0.8340 | Val AUC: 0.8289
Epoch 006: | Train Loss: 0.4895 | Val Loss: 0.4931 | Train Acc: 0.7688 | Val Acc: 0.7604 | Train Prec: 0.7093 | Val Prec: 0.6977 | Train Rec: 0.7010 | Val Rec: 0.6885 | Train F1: 0.7028 | Val F1: 0.6913 | Train AUC: 0.8345 | Val AUC: 0.8291
Epoch 007: | Train Loss: 0.4887 | Val Loss: 0.4923 | Train Acc: 0.7700 | Val Acc: 0.7637 | Train Prec: 0.7103 | Val Prec: 0.7009 | Train Rec: 0.7036 | Val Rec: 0.6946 | Train F1: 0.7045 | Val F1: 0.6961 | Train AUC: 0.8348 | Val AUC: 0.8294
Epoch 008: | Train Loss: 0.4880 | Val Loss: 0.4916 | Train Acc: 0.7691 | Val Acc: 0.7631 | Train Prec: 0.7089 | Val Prec: 0.6982 | Train Rec: 0.7037 | Val Rec: 0.6988 | Train F1: 0.7038 | Val F1: 0.6967 | Train AUC: 0.8351 | Val AUC: 0.8295
Epoch 009: | Train Loss: 0.4873 | Val Loss: 0.4909 | Train Acc: 0.7701 | Val Acc: 0.7646 | Train Prec: 0.7091 | Val Prec: 0.6996 | Train Rec: 0.7068 | Val Rec: 0.7029 | Train F1: 0.7056 | Val F1: 0.6994 | Train AUC: 0.8358 | Val AUC: 0.8298
Epoch 010: | Train Loss: 0.4866 | Val Loss: 0.4902 | Train Acc: 0.7717 | Val Acc: 0.7648 | Train Prec: 0.7100 | Val Prec: 0.6996 | Train Rec: 0.7111 | Val Rec: 0.7034 | Train F1: 0.7082 | Val F1: 0.6996 | Train AUC: 0.8364 | Val AUC: 0.8307
Epoch 011: | Train Loss: 0.4858 | Val Loss: 0.4893 | Train Acc: 0.7729 | Val Acc: 0.7657 | Train Prec: 0.7105 | Val Prec: 0.7013 | Train Rec: 0.7152 | Val Rec: 0.7034 | Train F1: 0.7105 | Val F1: 0.7004 | Train AUC: 0.8373 | Val AUC: 0.8318
Epoch 012: | Train Loss: 0.4845 | Val Loss: 0.4878 | Train Acc: 0.7728 | Val Acc: 0.7651 | Train Prec: 0.7102 | Val Prec: 0.6977 | Train Rec: 0.7155 | Val Rec: 0.7088 | Train F1: 0.7105 | Val F1: 0.7014 | Train AUC: 0.8385 | Val AUC: 0.8335
Epoch 013: | Train Loss: 0.4817 | Val Loss: 0.4843 | Train Acc: 0.7719 | Val Acc: 0.7673 | Train Prec: 0.7088 | Val Prec: 0.7007 | Train Rec: 0.7156 | Val Rec: 0.7116 | Train F1: 0.7097 | Val F1: 0.7042 | Train AUC: 0.8414 | Val AUC: 0.8381
Epoch 014: | Train Loss: 0.4772 | Val Loss: 0.4805 | Train Acc: 0.7699 | Val Acc: 0.7635 | Train Prec: 0.7080 | Val Prec: 0.6926 | Train Rec: 0.7096 | Val Rec: 0.7184 | Train F1: 0.7063 | Val F1: 0.7029 | Train AUC: 0.8453 | Val AUC: 0.8422
Epoch 015: | Train Loss: 0.4721 | Val Loss: 0.4767 | Train Acc: 0.7714 | Val Acc: 0.7785 | Train Prec: 0.7103 | Val Prec: 0.7056 | Train Rec: 0.7110 | Val Rec: 0.7477 | Train F1: 0.7081 | Val F1: 0.7239 | Train AUC: 0.8501 | Val AUC: 0.8484
Epoch 016: | Train Loss: 0.4669 | Val Loss: 0.4727 | Train Acc: 0.7775 | Val Acc: 0.7785 | Train Prec: 0.7189 | Val Prec: 0.7098 | Train Rec: 0.7178 | Val Rec: 0.7376 | Train F1: 0.7158 | Val F1: 0.7209 | Train AUC: 0.8557 | Val AUC: 0.8538
Epoch 017: | Train Loss: 0.4614 | Val Loss: 0.4674 | Train Acc: 0.7832 | Val Acc: 0.7820 | Train Prec: 0.7284 | Val Prec: 0.7106 | Train Rec: 0.7203 | Val Rec: 0.7518 | Train F1: 0.7217 | Val F1: 0.7280 | Train AUC: 0.8611 | Val AUC: 0.8588
Epoch 018: | Train Loss: 0.4549 | Val Loss: 0.4606 | Train Acc: 0.7871 | Val Acc: 0.7898 | Train Prec: 0.7351 | Val Prec: 0.7170 | Train Rec: 0.7223 | Val Rec: 0.7690 | Train F1: 0.7259 | Val F1: 0.7398 | Train AUC: 0.8661 | Val AUC: 0.8640
Epoch 019: | Train Loss: 0.4480 | Val Loss: 0.4536 | Train Acc: 0.7916 | Val Acc: 0.7922 | Train Prec: 0.7431 | Val Prec: 0.7259 | Train Rec: 0.7227 | Val Rec: 0.7579 | Train F1: 0.7301 | Val F1: 0.7394 | Train AUC: 0.8707 | Val AUC: 0.8690
Epoch 020: | Train Loss: 0.4414 | Val Loss: 0.4471 | Train Acc: 0.7976 | Val Acc: 0.8004 | Train Prec: 0.7500 | Val Prec: 0.7408 | Train Rec: 0.7320 | Val Rec: 0.7592 | Train F1: 0.7383 | Val F1: 0.7476 | Train AUC: 0.8748 | Val AUC: 0.8737
Epoch 021: | Train Loss: 0.4353 | Val Loss: 0.4412 | Train Acc: 0.8031 | Val Acc: 0.7993 | Train Prec: 0.7599 | Val Prec: 0.7437 | Train Rec: 0.7334 | Val Rec: 0.7494 | Train F1: 0.7441 | Val F1: 0.7442 | Train AUC: 0.8789 | Val AUC: 0.8778
Epoch 022: | Train Loss: 0.4300 | Val Loss: 0.4361 | Train Acc: 0.8065 | Val Acc: 0.8024 | Train Prec: 0.7670 | Val Prec: 0.7485 | Train Rec: 0.7330 | Val Rec: 0.7501 | Train F1: 0.7473 | Val F1: 0.7471 | Train AUC: 0.8823 | Val AUC: 0.8810
Epoch 023: | Train Loss: 0.4254 | Val Loss: 0.4317 | Train Acc: 0.8078 | Val Acc: 0.8123 | Train Prec: 0.7714 | Val Prec: 0.7653 | Train Rec: 0.7307 | Val Rec: 0.7546 | Train F1: 0.7481 | Val F1: 0.7575 | Train AUC: 0.8852 | Val AUC: 0.8838
Epoch 024: | Train Loss: 0.4216 | Val Loss: 0.4280 | Train Acc: 0.8122 | Val Acc: 0.8172 | Train Prec: 0.7781 | Val Prec: 0.7719 | Train Rec: 0.7349 | Val Rec: 0.7609 | Train F1: 0.7535 | Val F1: 0.7640 | Train AUC: 0.8876 | Val AUC: 0.8859
Epoch 025: | Train Loss: 0.4183 | Val Loss: 0.4248 | Train Acc: 0.8171 | Val Acc: 0.8152 | Train Prec: 0.7851 | Val Prec: 0.7714 | Train Rec: 0.7398 | Val Rec: 0.7546 | Train F1: 0.7595 | Val F1: 0.7605 | Train AUC: 0.8894 | Val AUC: 0.8877
Epoch 026: | Train Loss: 0.4155 | Val Loss: 0.4220 | Train Acc: 0.8171 | Val Acc: 0.8152 | Train Prec: 0.7856 | Val Prec: 0.7697 | Train Rec: 0.7390 | Val Rec: 0.7582 | Train F1: 0.7593 | Val F1: 0.7614 | Train AUC: 0.8907 | Val AUC: 0.8896
Epoch 027: | Train Loss: 0.4130 | Val Loss: 0.4196 | Train Acc: 0.8185 | Val Acc: 0.8176 | Train Prec: 0.7879 | Val Prec: 0.7746 | Train Rec: 0.7398 | Val Rec: 0.7582 | Train F1: 0.7609 | Val F1: 0.7638 | Train AUC: 0.8920 | Val AUC: 0.8912
Epoch 028: | Train Loss: 0.4109 | Val Loss: 0.4175 | Train Acc: 0.8208 | Val Acc: 0.8203 | Train Prec: 0.7919 | Val Prec: 0.7800 | Train Rec: 0.7413 | Val Rec: 0.7582 | Train F1: 0.7636 | Val F1: 0.7664 | Train AUC: 0.8932 | Val AUC: 0.8924
Epoch 029: | Train Loss: 0.4090 | Val Loss: 0.4156 | Train Acc: 0.8239 | Val Acc: 0.8212 | Train Prec: 0.7960 | Val Prec: 0.7797 | Train Rec: 0.7459 | Val Rec: 0.7615 | Train F1: 0.7680 | Val F1: 0.7680 | Train AUC: 0.8942 | Val AUC: 0.8931
Epoch 030: | Train Loss: 0.4074 | Val Loss: 0.4139 | Train Acc: 0.8255 | Val Acc: 0.8219 | Train Prec: 0.7984 | Val Prec: 0.7815 | Train Rec: 0.7472 | Val Rec: 0.7615 | Train F1: 0.7698 | Val F1: 0.7687 | Train AUC: 0.8951 | Val AUC: 0.8938
Epoch 031: | Train Loss: 0.4058 | Val Loss: 0.4124 | Train Acc: 0.8260 | Val Acc: 0.8274 | Train Prec: 0.7986 | Val Prec: 0.7874 | Train Rec: 0.7483 | Val Rec: 0.7713 | Train F1: 0.7705 | Val F1: 0.7767 | Train AUC: 0.8958 | Val AUC: 0.8946
Epoch 032: | Train Loss: 0.4044 | Val Loss: 0.4110 | Train Acc: 0.8264 | Val Acc: 0.8265 | Train Prec: 0.7993 | Val Prec: 0.7857 | Train Rec: 0.7489 | Val Rec: 0.7713 | Train F1: 0.7711 | Val F1: 0.7759 | Train AUC: 0.8965 | Val AUC: 0.8951
Epoch 033: | Train Loss: 0.4031 | Val Loss: 0.4096 | Train Acc: 0.8271 | Val Acc: 0.8279 | Train Prec: 0.7996 | Val Prec: 0.7854 | Train Rec: 0.7506 | Val Rec: 0.7758 | Train F1: 0.7723 | Val F1: 0.7781 | Train AUC: 0.8971 | Val AUC: 0.8956
Epoch 034: | Train Loss: 0.4019 | Val Loss: 0.4084 | Train Acc: 0.8273 | Val Acc: 0.8290 | Train Prec: 0.7999 | Val Prec: 0.7879 | Train Rec: 0.7509 | Val Rec: 0.7758 | Train F1: 0.7726 | Val F1: 0.7792 | Train AUC: 0.8977 | Val AUC: 0.8961
Epoch 035: | Train Loss: 0.4007 | Val Loss: 0.4072 | Train Acc: 0.8270 | Val Acc: 0.8290 | Train Prec: 0.7997 | Val Prec: 0.7877 | Train Rec: 0.7498 | Val Rec: 0.7758 | Train F1: 0.7720 | Val F1: 0.7792 | Train AUC: 0.8981 | Val AUC: 0.8963
Epoch 036: | Train Loss: 0.3996 | Val Loss: 0.4060 | Train Acc: 0.8270 | Val Acc: 0.8301 | Train Prec: 0.8003 | Val Prec: 0.7901 | Train Rec: 0.7489 | Val Rec: 0.7751 | Train F1: 0.7718 | Val F1: 0.7800 | Train AUC: 0.8984 | Val AUC: 0.8964
Epoch 037: | Train Loss: 0.3986 | Val Loss: 0.4049 | Train Acc: 0.8287 | Val Acc: 0.8335 | Train Prec: 0.8025 | Val Prec: 0.7948 | Train Rec: 0.7508 | Val Rec: 0.7788 | Train F1: 0.7738 | Val F1: 0.7842 | Train AUC: 0.8988 | Val AUC: 0.8970
Epoch 038: | Train Loss: 0.3975 | Val Loss: 0.4039 | Train Acc: 0.8296 | Val Acc: 0.8335 | Train Prec: 0.8033 | Val Prec: 0.7948 | Train Rec: 0.7529 | Val Rec: 0.7788 | Train F1: 0.7752 | Val F1: 0.7842 | Train AUC: 0.8993 | Val AUC: 0.8972
Epoch 039: | Train Loss: 0.3965 | Val Loss: 0.4029 | Train Acc: 0.8298 | Val Acc: 0.8335 | Train Prec: 0.8032 | Val Prec: 0.7948 | Train Rec: 0.7536 | Val Rec: 0.7788 | Train F1: 0.7756 | Val F1: 0.7842 | Train AUC: 0.8996 | Val AUC: 0.8975
Epoch 040: | Train Loss: 0.3956 | Val Loss: 0.4019 | Train Acc: 0.8299 | Val Acc: 0.8335 | Train Prec: 0.8033 | Val Prec: 0.7948 | Train Rec: 0.7538 | Val Rec: 0.7788 | Train F1: 0.7757 | Val F1: 0.7842 | Train AUC: 0.9000 | Val AUC: 0.8981
Epoch 041: | Train Loss: 0.3946 | Val Loss: 0.4009 | Train Acc: 0.8301 | Val Acc: 0.8335 | Train Prec: 0.8037 | Val Prec: 0.7952 | Train Rec: 0.7538 | Val Rec: 0.7782 | Train F1: 0.7759 | Val F1: 0.7842 | Train AUC: 0.9003 | Val AUC: 0.8987
Epoch 042: | Train Loss: 0.3937 | Val Loss: 0.3999 | Train Acc: 0.8306 | Val Acc: 0.8335 | Train Prec: 0.8044 | Val Prec: 0.7952 | Train Rec: 0.7542 | Val Rec: 0.7782 | Train F1: 0.7765 | Val F1: 0.7842 | Train AUC: 0.9007 | Val AUC: 0.8991
Epoch 043: | Train Loss: 0.3929 | Val Loss: 0.3990 | Train Acc: 0.8306 | Val Acc: 0.8335 | Train Prec: 0.8040 | Val Prec: 0.7952 | Train Rec: 0.7547 | Val Rec: 0.7782 | Train F1: 0.7766 | Val F1: 0.7842 | Train AUC: 0.9009 | Val AUC: 0.8995
Epoch 044: | Train Loss: 0.3920 | Val Loss: 0.3982 | Train Acc: 0.8305 | Val Acc: 0.8339 | Train Prec: 0.8038 | Val Prec: 0.7962 | Train Rec: 0.7551 | Val Rec: 0.7782 | Train F1: 0.7766 | Val F1: 0.7847 | Train AUC: 0.9013 | Val AUC: 0.9000
Epoch 045: | Train Loss: 0.3912 | Val Loss: 0.3973 | Train Acc: 0.8306 | Val Acc: 0.8350 | Train Prec: 0.8046 | Val Prec: 0.7982 | Train Rec: 0.7544 | Val Rec: 0.7782 | Train F1: 0.7767 | Val F1: 0.7858 | Train AUC: 0.9017 | Val AUC: 0.9005
Epoch 046: | Train Loss: 0.3905 | Val Loss: 0.3965 | Train Acc: 0.8310 | Val Acc: 0.8339 | Train Prec: 0.8051 | Val Prec: 0.7978 | Train Rec: 0.7547 | Val Rec: 0.7746 | Train F1: 0.7770 | Val F1: 0.7838 | Train AUC: 0.9020 | Val AUC: 0.9007
Epoch 047: | Train Loss: 0.3898 | Val Loss: 0.3957 | Train Acc: 0.8318 | Val Acc: 0.8326 | Train Prec: 0.8068 | Val Prec: 0.7949 | Train Rec: 0.7550 | Val Rec: 0.7746 | Train F1: 0.7779 | Val F1: 0.7823 | Train AUC: 0.9024 | Val AUC: 0.9009
