Epoch 001: | Train Loss: 0.6528 | Val Loss: 0.6294 | Train Acc: 0.5895 | Val Acc: 0.6065 | Train Prec: 0.1043 | Val Prec: 0.4961 | Train Rec: 0.0441 | Val Rec: 0.1913 | Train F1: 0.0595 | Val F1: 0.2720 | Train AUC: 0.6744 | Val AUC: 0.7012
Epoch 002: | Train Loss: 0.6286 | Val Loss: 0.6173 | Train Acc: 0.6109 | Val Acc: 0.6078 | Train Prec: 0.4838 | Val Prec: 0.0000 | Train Rec: 0.2984 | Val Rec: 0.0000 | Train F1: 0.3626 | Val F1: 0.0000 | Train AUC: 0.7018 | Val AUC: 0.7336
Epoch 003: | Train Loss: 0.6161 | Val Loss: 0.6162 | Train Acc: 0.6347 | Val Acc: 0.6078 | Train Prec: 0.5440 | Val Prec: 0.0000 | Train Rec: 0.3729 | Val Rec: 0.0000 | Train F1: 0.4345 | Val F1: 0.0000 | Train AUC: 0.7272 | Val AUC: 0.7508
Epoch 004: | Train Loss: 0.6072 | Val Loss: 0.5900 | Train Acc: 0.6493 | Val Acc: 0.6676 | Train Prec: 0.5790 | Val Prec: 0.6098 | Train Rec: 0.3925 | Val Rec: 0.4220 | Train F1: 0.4548 | Val F1: 0.4953 | Train AUC: 0.7460 | Val AUC: 0.7616
Epoch 005: | Train Loss: 0.5991 | Val Loss: 0.5785 | Train Acc: 0.6510 | Val Acc: 0.6909 | Train Prec: 0.5414 | Val Prec: 0.6494 | Train Rec: 0.4051 | Val Rec: 0.4560 | Train F1: 0.4545 | Val F1: 0.5326 | Train AUC: 0.7502 | Val AUC: 0.7775
Epoch 006: | Train Loss: 0.5950 | Val Loss: 0.6100 | Train Acc: 0.6740 | Val Acc: 0.6501 | Train Prec: 0.5908 | Val Prec: 0.5553 | Train Rec: 0.4852 | Val Rec: 0.5248 | Train F1: 0.5246 | Val F1: 0.5370 | Train AUC: 0.7561 | Val AUC: 0.7051
Epoch 007: | Train Loss: 0.5876 | Val Loss: 0.5931 | Train Acc: 0.6782 | Val Acc: 0.6662 | Train Prec: 0.6248 | Val Prec: 0.5777 | Train Rec: 0.4768 | Val Rec: 0.5420 | Train F1: 0.5293 | Val F1: 0.5564 | Train AUC: 0.7653 | Val AUC: 0.7312
Epoch 008: | Train Loss: 0.5770 | Val Loss: 0.5683 | Train Acc: 0.6886 | Val Acc: 0.6916 | Train Prec: 0.6244 | Val Prec: 0.6159 | Train Rec: 0.4862 | Val Rec: 0.5679 | Train F1: 0.5347 | Val F1: 0.5881 | Train AUC: 0.7795 | Val AUC: 0.7747
Epoch 009: | Train Loss: 0.5732 | Val Loss: 0.5547 | Train Acc: 0.6936 | Val Acc: 0.7027 | Train Prec: 0.6368 | Val Prec: 0.6413 | Train Rec: 0.5098 | Val Rec: 0.5529 | Train F1: 0.5543 | Val F1: 0.5905 | Train AUC: 0.7831 | Val AUC: 0.7915
Epoch 010: | Train Loss: 0.5662 | Val Loss: 0.5509 | Train Acc: 0.7068 | Val Acc: 0.6974 | Train Prec: 0.6433 | Val Prec: 0.6399 | Train Rec: 0.5549 | Val Rec: 0.5159 | Train F1: 0.5880 | Val F1: 0.5683 | Train AUC: 0.7871 | Val AUC: 0.7927
Epoch 011: | Train Loss: 0.5636 | Val Loss: 0.5506 | Train Acc: 0.7077 | Val Acc: 0.7068 | Train Prec: 0.6596 | Val Prec: 0.6553 | Train Rec: 0.5347 | Val Rec: 0.5271 | Train F1: 0.5829 | Val F1: 0.5814 | Train AUC: 0.7942 | Val AUC: 0.7945
Epoch 012: | Train Loss: 0.5525 | Val Loss: 0.5447 | Train Acc: 0.7196 | Val Acc: 0.7108 | Train Prec: 0.6774 | Val Prec: 0.6390 | Train Rec: 0.5726 | Val Rec: 0.6039 | Train F1: 0.6113 | Val F1: 0.6183 | Train AUC: 0.8022 | Val AUC: 0.7955
Epoch 013: | Train Loss: 0.5620 | Val Loss: 0.6166 | Train Acc: 0.7127 | Val Acc: 0.6654 | Train Prec: 0.6538 | Val Prec: 0.5676 | Train Rec: 0.5907 | Val Rec: 0.6074 | Train F1: 0.6108 | Val F1: 0.5845 | Train AUC: 0.7882 | Val AUC: 0.7036
Epoch 014: | Train Loss: 0.5663 | Val Loss: 0.5363 | Train Acc: 0.6955 | Val Acc: 0.7198 | Train Prec: 0.6431 | Val Prec: 0.6587 | Train Rec: 0.5204 | Val Rec: 0.5920 | Train F1: 0.5637 | Val F1: 0.6211 | Train AUC: 0.7794 | Val AUC: 0.8037
