Epoch 001: | Train Loss: 0.6629 | Val Loss: 0.6531 | Train Acc: 0.6173 | Val Acc: 0.6134 | Train Prec: 0.7689 | Val Prec: 0.7637 | Train Rec: 0.3343 | Val Rec: 0.3290 | Train F1: 0.4652 | Val F1: 0.4589 | Train AUC: 0.6124 | Val AUC: 0.6049
Epoch 002: | Train Loss: 0.6493 | Val Loss: 0.6522 | Train Acc: 0.6180 | Val Acc: 0.6134 | Train Prec: 0.7730 | Val Prec: 0.7636 | Train Rec: 0.3364 | Val Rec: 0.3289 | Train F1: 0.4681 | Val F1: 0.4588 | Train AUC: 0.6088 | Val AUC: 0.6051
Epoch 003: | Train Loss: 0.6481 | Val Loss: 0.6502 | Train Acc: 0.6179 | Val Acc: 0.6135 | Train Prec: 0.7730 | Val Prec: 0.7656 | Train Rec: 0.3363 | Val Rec: 0.3277 | Train F1: 0.4679 | Val F1: 0.4579 | Train AUC: 0.6095 | Val AUC: 0.6152
Epoch 004: | Train Loss: 0.6461 | Val Loss: 0.6496 | Train Acc: 0.6182 | Val Acc: 0.6135 | Train Prec: 0.7761 | Val Prec: 0.7656 | Train Rec: 0.3347 | Val Rec: 0.3277 | Train F1: 0.4669 | Val F1: 0.4579 | Train AUC: 0.6421 | Val AUC: 0.6338
Epoch 005: | Train Loss: 0.6457 | Val Loss: 0.6494 | Train Acc: 0.6182 | Val Acc: 0.6135 | Train Prec: 0.7759 | Val Prec: 0.7656 | Train Rec: 0.3347 | Val Rec: 0.3277 | Train F1: 0.4669 | Val F1: 0.4579 | Train AUC: 0.6418 | Val AUC: 0.6390
Epoch 006: | Train Loss: 0.6455 | Val Loss: 0.6493 | Train Acc: 0.6182 | Val Acc: 0.6135 | Train Prec: 0.7761 | Val Prec: 0.7656 | Train Rec: 0.3346 | Val Rec: 0.3277 | Train F1: 0.4669 | Val F1: 0.4579 | Train AUC: 0.6439 | Val AUC: 0.6379
Epoch 007: | Train Loss: 0.6454 | Val Loss: 0.6492 | Train Acc: 0.6182 | Val Acc: 0.6139 | Train Prec: 0.7765 | Val Prec: 0.7690 | Train Rec: 0.3344 | Val Rec: 0.3261 | Train F1: 0.4667 | Val F1: 0.4570 | Train AUC: 0.6446 | Val AUC: 0.6392
Epoch 008: | Train Loss: 0.6454 | Val Loss: 0.6491 | Train Acc: 0.6183 | Val Acc: 0.6137 | Train Prec: 0.7776 | Val Prec: 0.7687 | Train Rec: 0.3339 | Val Rec: 0.3256 | Train F1: 0.4664 | Val F1: 0.4565 | Train AUC: 0.6459 | Val AUC: 0.6403
Epoch 009: | Train Loss: 0.6453 | Val Loss: 0.6491 | Train Acc: 0.6185 | Val Acc: 0.6137 | Train Prec: 0.7784 | Val Prec: 0.7687 | Train Rec: 0.3336 | Val Rec: 0.3256 | Train F1: 0.4662 | Val F1: 0.4565 | Train AUC: 0.6452 | Val AUC: 0.6401
Epoch 010: | Train Loss: 0.6452 | Val Loss: 0.6489 | Train Acc: 0.6185 | Val Acc: 0.6137 | Train Prec: 0.7788 | Val Prec: 0.7687 | Train Rec: 0.3335 | Val Rec: 0.3256 | Train F1: 0.4662 | Val F1: 0.4565 | Train AUC: 0.6460 | Val AUC: 0.6418
Epoch 011: | Train Loss: 0.6451 | Val Loss: 0.6488 | Train Acc: 0.6185 | Val Acc: 0.6137 | Train Prec: 0.7788 | Val Prec: 0.7688 | Train Rec: 0.3335 | Val Rec: 0.3256 | Train F1: 0.4662 | Val F1: 0.4565 | Train AUC: 0.6464 | Val AUC: 0.6400
