Epoch 001: | Train Loss: 0.6633 | Val Loss: 0.6523 | Train Acc: 0.6148 | Val Acc: 0.6127 | Train Prec: 0.7628 | Val Prec: 0.7611 | Train Rec: 0.3383 | Val Rec: 0.3292 | Train F1: 0.4662 | Val F1: 0.4586 | Train AUC: 0.6219 | Val AUC: 0.6215
Epoch 002: | Train Loss: 0.6479 | Val Loss: 0.6510 | Train Acc: 0.6177 | Val Acc: 0.6127 | Train Prec: 0.7712 | Val Prec: 0.7611 | Train Rec: 0.3370 | Val Rec: 0.3292 | Train F1: 0.4683 | Val F1: 0.4586 | Train AUC: 0.6266 | Val AUC: 0.6216
Epoch 003: | Train Loss: 0.6473 | Val Loss: 0.6508 | Train Acc: 0.6177 | Val Acc: 0.6127 | Train Prec: 0.7712 | Val Prec: 0.7611 | Train Rec: 0.3370 | Val Rec: 0.3292 | Train F1: 0.4683 | Val F1: 0.4586 | Train AUC: 0.6266 | Val AUC: 0.6216
Epoch 004: | Train Loss: 0.6472 | Val Loss: 0.6508 | Train Acc: 0.6177 | Val Acc: 0.6127 | Train Prec: 0.7712 | Val Prec: 0.7611 | Train Rec: 0.3370 | Val Rec: 0.3292 | Train F1: 0.4683 | Val F1: 0.4586 | Train AUC: 0.6266 | Val AUC: 0.6216
Epoch 005: | Train Loss: 0.6472 | Val Loss: 0.6507 | Train Acc: 0.6177 | Val Acc: 0.6127 | Train Prec: 0.7712 | Val Prec: 0.7611 | Train Rec: 0.3370 | Val Rec: 0.3292 | Train F1: 0.4683 | Val F1: 0.4586 | Train AUC: 0.6266 | Val AUC: 0.6216
Epoch 006: | Train Loss: 0.6471 | Val Loss: 0.6507 | Train Acc: 0.6177 | Val Acc: 0.6127 | Train Prec: 0.7712 | Val Prec: 0.7611 | Train Rec: 0.3370 | Val Rec: 0.3292 | Train F1: 0.4683 | Val F1: 0.4586 | Train AUC: 0.6266 | Val AUC: 0.6216
Epoch 007: | Train Loss: 0.6471 | Val Loss: 0.6507 | Train Acc: 0.6177 | Val Acc: 0.6127 | Train Prec: 0.7712 | Val Prec: 0.7611 | Train Rec: 0.3370 | Val Rec: 0.3292 | Train F1: 0.4683 | Val F1: 0.4586 | Train AUC: 0.6266 | Val AUC: 0.6216
Epoch 008: | Train Loss: 0.6471 | Val Loss: 0.6506 | Train Acc: 0.6177 | Val Acc: 0.6127 | Train Prec: 0.7712 | Val Prec: 0.7611 | Train Rec: 0.3370 | Val Rec: 0.3292 | Train F1: 0.4683 | Val F1: 0.4586 | Train AUC: 0.6266 | Val AUC: 0.6216
Epoch 009: | Train Loss: 0.6470 | Val Loss: 0.6506 | Train Acc: 0.6178 | Val Acc: 0.6127 | Train Prec: 0.7716 | Val Prec: 0.7611 | Train Rec: 0.3370 | Val Rec: 0.3292 | Train F1: 0.4684 | Val F1: 0.4586 | Train AUC: 0.6264 | Val AUC: 0.6228
Epoch 010: | Train Loss: 0.6470 | Val Loss: 0.6506 | Train Acc: 0.6180 | Val Acc: 0.6132 | Train Prec: 0.7724 | Val Prec: 0.7629 | Train Rec: 0.3370 | Val Rec: 0.3292 | Train F1: 0.4685 | Val F1: 0.4589 | Train AUC: 0.6275 | Val AUC: 0.6228
Epoch 011: | Train Loss: 0.6470 | Val Loss: 0.6506 | Train Acc: 0.6181 | Val Acc: 0.6132 | Train Prec: 0.7729 | Val Prec: 0.7629 | Train Rec: 0.3370 | Val Rec: 0.3292 | Train F1: 0.4686 | Val F1: 0.4589 | Train AUC: 0.6275 | Val AUC: 0.6228
Epoch 012: | Train Loss: 0.6470 | Val Loss: 0.6505 | Train Acc: 0.6182 | Val Acc: 0.6132 | Train Prec: 0.7729 | Val Prec: 0.7629 | Train Rec: 0.3370 | Val Rec: 0.3292 | Train F1: 0.4686 | Val F1: 0.4589 | Train AUC: 0.6276 | Val AUC: 0.6233
Epoch 013: | Train Loss: 0.6472 | Val Loss: 0.6506 | Train Acc: 0.6181 | Val Acc: 0.6133 | Train Prec: 0.7729 | Val Prec: 0.7636 | Train Rec: 0.3369 | Val Rec: 0.3288 | Train F1: 0.4685 | Val F1: 0.4587 | Train AUC: 0.6272 | Val AUC: 0.6214
