Epoch 001: | Train Loss: 0.6638 | Val Loss: 0.6540 | Train Acc: 0.6172 | Val Acc: 0.6134 | Train Prec: 0.7689 | Val Prec: 0.7637 | Train Rec: 0.3341 | Val Rec: 0.3290 | Train F1: 0.4651 | Val F1: 0.4589 | Train AUC: 0.6089 | Val AUC: 0.6051
Epoch 002: | Train Loss: 0.6497 | Val Loss: 0.6524 | Train Acc: 0.6180 | Val Acc: 0.6134 | Train Prec: 0.7730 | Val Prec: 0.7637 | Train Rec: 0.3364 | Val Rec: 0.3290 | Train F1: 0.4681 | Val F1: 0.4589 | Train AUC: 0.6095 | Val AUC: 0.6133
Epoch 003: | Train Loss: 0.6484 | Val Loss: 0.6510 | Train Acc: 0.6180 | Val Acc: 0.6134 | Train Prec: 0.7730 | Val Prec: 0.7637 | Train Rec: 0.3364 | Val Rec: 0.3290 | Train F1: 0.4681 | Val F1: 0.4589 | Train AUC: 0.6363 | Val AUC: 0.6392
Epoch 004: | Train Loss: 0.6475 | Val Loss: 0.6505 | Train Acc: 0.6180 | Val Acc: 0.6134 | Train Prec: 0.7730 | Val Prec: 0.7637 | Train Rec: 0.3364 | Val Rec: 0.3290 | Train F1: 0.4681 | Val F1: 0.4589 | Train AUC: 0.6453 | Val AUC: 0.6394
Epoch 005: | Train Loss: 0.6472 | Val Loss: 0.6503 | Train Acc: 0.6180 | Val Acc: 0.6133 | Train Prec: 0.7730 | Val Prec: 0.7636 | Train Rec: 0.3364 | Val Rec: 0.3288 | Train F1: 0.4680 | Val F1: 0.4587 | Train AUC: 0.6441 | Val AUC: 0.6396
Epoch 006: | Train Loss: 0.6470 | Val Loss: 0.6501 | Train Acc: 0.6179 | Val Acc: 0.6133 | Train Prec: 0.7730 | Val Prec: 0.7636 | Train Rec: 0.3364 | Val Rec: 0.3288 | Train F1: 0.4680 | Val F1: 0.4587 | Train AUC: 0.6450 | Val AUC: 0.6393
Epoch 007: | Train Loss: 0.6468 | Val Loss: 0.6499 | Train Acc: 0.6179 | Val Acc: 0.6133 | Train Prec: 0.7730 | Val Prec: 0.7636 | Train Rec: 0.3364 | Val Rec: 0.3288 | Train F1: 0.4680 | Val F1: 0.4587 | Train AUC: 0.6450 | Val AUC: 0.6396
Epoch 008: | Train Loss: 0.6467 | Val Loss: 0.6498 | Train Acc: 0.6180 | Val Acc: 0.6133 | Train Prec: 0.7731 | Val Prec: 0.7636 | Train Rec: 0.3364 | Val Rec: 0.3288 | Train F1: 0.4680 | Val F1: 0.4587 | Train AUC: 0.6452 | Val AUC: 0.6400
Epoch 009: | Train Loss: 0.6466 | Val Loss: 0.6497 | Train Acc: 0.6180 | Val Acc: 0.6133 | Train Prec: 0.7732 | Val Prec: 0.7636 | Train Rec: 0.3364 | Val Rec: 0.3288 | Train F1: 0.4680 | Val F1: 0.4587 | Train AUC: 0.6455 | Val AUC: 0.6402
Epoch 010: | Train Loss: 0.6465 | Val Loss: 0.6496 | Train Acc: 0.6180 | Val Acc: 0.6133 | Train Prec: 0.7733 | Val Prec: 0.7636 | Train Rec: 0.3364 | Val Rec: 0.3288 | Train F1: 0.4681 | Val F1: 0.4587 | Train AUC: 0.6458 | Val AUC: 0.6404
Epoch 011: | Train Loss: 0.6465 | Val Loss: 0.6496 | Train Acc: 0.6180 | Val Acc: 0.6133 | Train Prec: 0.7733 | Val Prec: 0.7636 | Train Rec: 0.3364 | Val Rec: 0.3288 | Train F1: 0.4681 | Val F1: 0.4587 | Train AUC: 0.6460 | Val AUC: 0.6406
Epoch 012: | Train Loss: 0.6464 | Val Loss: 0.6495 | Train Acc: 0.6180 | Val Acc: 0.6133 | Train Prec: 0.7733 | Val Prec: 0.7636 | Train Rec: 0.3364 | Val Rec: 0.3288 | Train F1: 0.4681 | Val F1: 0.4587 | Train AUC: 0.6462 | Val AUC: 0.6408
Epoch 013: | Train Loss: 0.6463 | Val Loss: 0.6495 | Train Acc: 0.6180 | Val Acc: 0.6133 | Train Prec: 0.7733 | Val Prec: 0.7636 | Train Rec: 0.3364 | Val Rec: 0.3288 | Train F1: 0.4681 | Val F1: 0.4587 | Train AUC: 0.6465 | Val AUC: 0.6411
Epoch 014: | Train Loss: 0.6463 | Val Loss: 0.6494 | Train Acc: 0.6180 | Val Acc: 0.6133 | Train Prec: 0.7733 | Val Prec: 0.7636 | Train Rec: 0.3363 | Val Rec: 0.3288 | Train F1: 0.4680 | Val F1: 0.4587 | Train AUC: 0.6467 | Val AUC: 0.6412
Epoch 015: | Train Loss: 0.6462 | Val Loss: 0.6494 | Train Acc: 0.6180 | Val Acc: 0.6133 | Train Prec: 0.7733 | Val Prec: 0.7636 | Train Rec: 0.3363 | Val Rec: 0.3288 | Train F1: 0.4680 | Val F1: 0.4587 | Train AUC: 0.6469 | Val AUC: 0.6414
Epoch 016: | Train Loss: 0.6462 | Val Loss: 0.6493 | Train Acc: 0.6180 | Val Acc: 0.6133 | Train Prec: 0.7733 | Val Prec: 0.7636 | Train Rec: 0.3363 | Val Rec: 0.3288 | Train F1: 0.4680 | Val F1: 0.4587 | Train AUC: 0.6471 | Val AUC: 0.6415
Epoch 017: | Train Loss: 0.6462 | Val Loss: 0.6493 | Train Acc: 0.6180 | Val Acc: 0.6133 | Train Prec: 0.7732 | Val Prec: 0.7636 | Train Rec: 0.3363 | Val Rec: 0.3288 | Train F1: 0.4680 | Val F1: 0.4587 | Train AUC: 0.6472 | Val AUC: 0.6416
