Epoch 001: | Train Loss: 0.6698 | Val Loss: 0.6537 | Train Acc: 0.6159 | Val Acc: 0.6134 | Train Prec: 0.7720 | Val Prec: 0.7637 | Train Rec: 0.3293 | Val Rec: 0.3290 | Train F1: 0.4597 | Val F1: 0.4589 | Train AUC: 0.6273 | Val AUC: 0.6234
Epoch 002: | Train Loss: 0.6476 | Val Loss: 0.6502 | Train Acc: 0.6180 | Val Acc: 0.6134 | Train Prec: 0.7731 | Val Prec: 0.7642 | Train Rec: 0.3364 | Val Rec: 0.3284 | Train F1: 0.4680 | Val F1: 0.4584 | Train AUC: 0.6281 | Val AUC: 0.6229
Epoch 003: | Train Loss: 0.6463 | Val Loss: 0.6499 | Train Acc: 0.6180 | Val Acc: 0.6134 | Train Prec: 0.7737 | Val Prec: 0.7642 | Train Rec: 0.3360 | Val Rec: 0.3284 | Train F1: 0.4678 | Val F1: 0.4584 | Train AUC: 0.6281 | Val AUC: 0.6229
Epoch 004: | Train Loss: 0.6460 | Val Loss: 0.6497 | Train Acc: 0.6180 | Val Acc: 0.6134 | Train Prec: 0.7737 | Val Prec: 0.7642 | Train Rec: 0.3360 | Val Rec: 0.3284 | Train F1: 0.4678 | Val F1: 0.4584 | Train AUC: 0.6281 | Val AUC: 0.6227
Epoch 005: | Train Loss: 0.6459 | Val Loss: 0.6496 | Train Acc: 0.6180 | Val Acc: 0.6135 | Train Prec: 0.7739 | Val Prec: 0.7656 | Train Rec: 0.3357 | Val Rec: 0.3278 | Train F1: 0.4676 | Val F1: 0.4581 | Train AUC: 0.6281 | Val AUC: 0.6228
Epoch 006: | Train Loss: 0.6457 | Val Loss: 0.6495 | Train Acc: 0.6180 | Val Acc: 0.6135 | Train Prec: 0.7742 | Val Prec: 0.7656 | Train Rec: 0.3355 | Val Rec: 0.3278 | Train F1: 0.4674 | Val F1: 0.4581 | Train AUC: 0.6282 | Val AUC: 0.6228
Epoch 007: | Train Loss: 0.6457 | Val Loss: 0.6495 | Train Acc: 0.6180 | Val Acc: 0.6135 | Train Prec: 0.7748 | Val Prec: 0.7656 | Train Rec: 0.3352 | Val Rec: 0.3278 | Train F1: 0.4672 | Val F1: 0.4581 | Train AUC: 0.6285 | Val AUC: 0.6233
Epoch 008: | Train Loss: 0.6456 | Val Loss: 0.6494 | Train Acc: 0.6180 | Val Acc: 0.6135 | Train Prec: 0.7748 | Val Prec: 0.7656 | Train Rec: 0.3352 | Val Rec: 0.3278 | Train F1: 0.4672 | Val F1: 0.4581 | Train AUC: 0.6281 | Val AUC: 0.6228
Epoch 009: | Train Loss: 0.6455 | Val Loss: 0.6494 | Train Acc: 0.6180 | Val Acc: 0.6135 | Train Prec: 0.7749 | Val Prec: 0.7656 | Train Rec: 0.3351 | Val Rec: 0.3278 | Train F1: 0.4672 | Val F1: 0.4581 | Train AUC: 0.6281 | Val AUC: 0.6228
Epoch 010: | Train Loss: 0.6455 | Val Loss: 0.6494 | Train Acc: 0.6181 | Val Acc: 0.6135 | Train Prec: 0.7751 | Val Prec: 0.7656 | Train Rec: 0.3350 | Val Rec: 0.3278 | Train F1: 0.4671 | Val F1: 0.4581 | Train AUC: 0.6281 | Val AUC: 0.6228
Epoch 011: | Train Loss: 0.6455 | Val Loss: 0.6493 | Train Acc: 0.6181 | Val Acc: 0.6135 | Train Prec: 0.7752 | Val Prec: 0.7656 | Train Rec: 0.3350 | Val Rec: 0.3278 | Train F1: 0.4671 | Val F1: 0.4581 | Train AUC: 0.6284 | Val AUC: 0.6228
Epoch 012: | Train Loss: 0.6454 | Val Loss: 0.6493 | Train Acc: 0.6181 | Val Acc: 0.6135 | Train Prec: 0.7755 | Val Prec: 0.7656 | Train Rec: 0.3349 | Val Rec: 0.3278 | Train F1: 0.4670 | Val F1: 0.4581 | Train AUC: 0.6284 | Val AUC: 0.6228
Epoch 013: | Train Loss: 0.6454 | Val Loss: 0.6493 | Train Acc: 0.6183 | Val Acc: 0.6137 | Train Prec: 0.7764 | Val Prec: 0.7687 | Train Rec: 0.3347 | Val Rec: 0.3258 | Train F1: 0.4670 | Val F1: 0.4566 | Train AUC: 0.6284 | Val AUC: 0.6228
Epoch 014: | Train Loss: 0.6454 | Val Loss: 0.6493 | Train Acc: 0.6183 | Val Acc: 0.6136 | Train Prec: 0.7768 | Val Prec: 0.7679 | Train Rec: 0.3344 | Val Rec: 0.3261 | Train F1: 0.4667 | Val F1: 0.4568 | Train AUC: 0.6284 | Val AUC: 0.6228
Epoch 015: | Train Loss: 0.6454 | Val Loss: 0.6493 | Train Acc: 0.6184 | Val Acc: 0.6136 | Train Prec: 0.7766 | Val Prec: 0.7679 | Train Rec: 0.3347 | Val Rec: 0.3261 | Train F1: 0.4671 | Val F1: 0.4568 | Train AUC: 0.6284 | Val AUC: 0.6228
Epoch 016: | Train Loss: 0.6454 | Val Loss: 0.6493 | Train Acc: 0.6185 | Val Acc: 0.6136 | Train Prec: 0.7774 | Val Prec: 0.7679 | Train Rec: 0.3344 | Val Rec: 0.3261 | Train F1: 0.4669 | Val F1: 0.4568 | Train AUC: 0.6282 | Val AUC: 0.6229
Epoch 017: | Train Loss: 0.6454 | Val Loss: 0.6493 | Train Acc: 0.6186 | Val Acc: 0.6136 | Train Prec: 0.7778 | Val Prec: 0.7679 | Train Rec: 0.3344 | Val Rec: 0.3261 | Train F1: 0.4669 | Val F1: 0.4568 | Train AUC: 0.6283 | Val AUC: 0.6229
Epoch 018: | Train Loss: 0.6453 | Val Loss: 0.6493 | Train Acc: 0.6187 | Val Acc: 0.6136 | Train Prec: 0.7782 | Val Prec: 0.7679 | Train Rec: 0.3343 | Val Rec: 0.3261 | Train F1: 0.4670 | Val F1: 0.4568 | Train AUC: 0.6282 | Val AUC: 0.6229
