Epoch 001: | Train Loss: 0.5063 | Val Loss: 0.4258 | Train Acc: 0.8466 | Val Acc: 0.8483 | Train Prec: 0.9946 | Val Prec: 0.9787 | Train Rec: 0.0569 | Val Rec: 0.0565 | Train F1: 0.1065 | Val F1: 0.1056 | Train AUC: 0.5499 | Val AUC: 0.5377
Epoch 002: | Train Loss: 0.4267 | Val Loss: 0.4240 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5626 | Val AUC: 0.5458
Epoch 003: | Train Loss: 0.4255 | Val Loss: 0.4235 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5687 | Val AUC: 0.5504
Epoch 004: | Train Loss: 0.4249 | Val Loss: 0.4231 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5711 | Val AUC: 0.5536
Epoch 005: | Train Loss: 0.4241 | Val Loss: 0.4225 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5757 | Val AUC: 0.5599
Epoch 006: | Train Loss: 0.4236 | Val Loss: 0.4223 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5796 | Val AUC: 0.5608
Epoch 007: | Train Loss: 0.4234 | Val Loss: 0.4222 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5807 | Val AUC: 0.5620
Epoch 008: | Train Loss: 0.4233 | Val Loss: 0.4221 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5818 | Val AUC: 0.5635
Epoch 009: | Train Loss: 0.4232 | Val Loss: 0.4220 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5827 | Val AUC: 0.5653
Epoch 010: | Train Loss: 0.4231 | Val Loss: 0.4219 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5836 | Val AUC: 0.5664
Epoch 011: | Train Loss: 0.4230 | Val Loss: 0.4218 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5844 | Val AUC: 0.5678
Epoch 012: | Train Loss: 0.4230 | Val Loss: 0.4217 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5850 | Val AUC: 0.5689
Epoch 013: | Train Loss: 0.4229 | Val Loss: 0.4216 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5855 | Val AUC: 0.5695
Epoch 014: | Train Loss: 0.4229 | Val Loss: 0.4216 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5858 | Val AUC: 0.5703
Epoch 015: | Train Loss: 0.4229 | Val Loss: 0.4216 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5862 | Val AUC: 0.5706
Epoch 016: | Train Loss: 0.4228 | Val Loss: 0.4216 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5864 | Val AUC: 0.5709
Epoch 017: | Train Loss: 0.4228 | Val Loss: 0.4215 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5866 | Val AUC: 0.5714
Epoch 018: | Train Loss: 0.4228 | Val Loss: 0.4215 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5867 | Val AUC: 0.5717
Epoch 019: | Train Loss: 0.4228 | Val Loss: 0.4215 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5868 | Val AUC: 0.5720
Epoch 020: | Train Loss: 0.4228 | Val Loss: 0.4215 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5870 | Val AUC: 0.5721
Epoch 021: | Train Loss: 0.4228 | Val Loss: 0.4215 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5871 | Val AUC: 0.5723
Epoch 022: | Train Loss: 0.4228 | Val Loss: 0.4215 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5871 | Val AUC: 0.5723
Epoch 023: | Train Loss: 0.4228 | Val Loss: 0.4215 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5872 | Val AUC: 0.5724
Epoch 024: | Train Loss: 0.4227 | Val Loss: 0.4215 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5873 | Val AUC: 0.5721
Epoch 025: | Train Loss: 0.4227 | Val Loss: 0.4215 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5873 | Val AUC: 0.5722
Epoch 026: | Train Loss: 0.4227 | Val Loss: 0.4214 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5874 | Val AUC: 0.5722
Epoch 027: | Train Loss: 0.4227 | Val Loss: 0.4214 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5874 | Val AUC: 0.5723
Epoch 028: | Train Loss: 0.4227 | Val Loss: 0.4214 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5875 | Val AUC: 0.5724
