Epoch 001: | Train Loss: 0.5048 | Val Loss: 0.4249 | Train Acc: 0.8438 | Val Acc: 0.8476 | Train Prec: 0.8999 | Val Prec: 0.9132 | Train Rec: 0.0641 | Val Rec: 0.0563 | Train F1: 0.1135 | Val F1: 0.1047 | Train AUC: 0.5566 | Val AUC: 0.5507
Epoch 002: | Train Loss: 0.4258 | Val Loss: 0.4244 | Train Acc: 0.8462 | Val Acc: 0.8476 | Train Prec: 0.9432 | Val Prec: 0.9132 | Train Rec: 0.0576 | Val Rec: 0.0563 | Train F1: 0.1076 | Val F1: 0.1047 | Train AUC: 0.5786 | Val AUC: 0.5590
Epoch 003: | Train Loss: 0.4254 | Val Loss: 0.4240 | Train Acc: 0.8462 | Val Acc: 0.8476 | Train Prec: 0.9446 | Val Prec: 0.9132 | Train Rec: 0.0574 | Val Rec: 0.0563 | Train F1: 0.1072 | Val F1: 0.1047 | Train AUC: 0.5804 | Val AUC: 0.5599
Epoch 004: | Train Loss: 0.4251 | Val Loss: 0.4239 | Train Acc: 0.8462 | Val Acc: 0.8476 | Train Prec: 0.9446 | Val Prec: 0.9132 | Train Rec: 0.0574 | Val Rec: 0.0563 | Train F1: 0.1072 | Val F1: 0.1047 | Train AUC: 0.5809 | Val AUC: 0.5600
Epoch 005: | Train Loss: 0.4250 | Val Loss: 0.4238 | Train Acc: 0.8462 | Val Acc: 0.8476 | Train Prec: 0.9446 | Val Prec: 0.9132 | Train Rec: 0.0574 | Val Rec: 0.0563 | Train F1: 0.1072 | Val F1: 0.1047 | Train AUC: 0.5810 | Val AUC: 0.5599
Epoch 006: | Train Loss: 0.4265 | Val Loss: 0.4265 | Train Acc: 0.8455 | Val Acc: 0.8462 | Train Prec: 0.9090 | Val Prec: 0.7616 | Train Rec: 0.0591 | Val Rec: 0.0600 | Train F1: 0.1094 | Val F1: 0.1100 | Train AUC: 0.5772 | Val AUC: 0.5601
Epoch 007: | Train Loss: 0.4273 | Val Loss: 0.4260 | Train Acc: 0.8451 | Val Acc: 0.8462 | Train Prec: 0.8302 | Val Prec: 0.7616 | Train Rec: 0.0607 | Val Rec: 0.0600 | Train F1: 0.1121 | Val F1: 0.1100 | Train AUC: 0.5663 | Val AUC: 0.5630
Epoch 008: | Train Loss: 0.4264 | Val Loss: 0.4252 | Train Acc: 0.8455 | Val Acc: 0.8466 | Train Prec: 0.8612 | Val Prec: 0.8086 | Train Rec: 0.0603 | Val Rec: 0.0573 | Train F1: 0.1116 | Val F1: 0.1058 | Train AUC: 0.5639 | Val AUC: 0.5392
Epoch 009: | Train Loss: 0.4260 | Val Loss: 0.4255 | Train Acc: 0.8455 | Val Acc: 0.8465 | Train Prec: 0.8704 | Val Prec: 0.7868 | Train Rec: 0.0598 | Val Rec: 0.0598 | Train F1: 0.1108 | Val F1: 0.1098 | Train AUC: 0.5626 | Val AUC: 0.5408
Epoch 010: | Train Loss: 0.4259 | Val Loss: 0.4253 | Train Acc: 0.8455 | Val Acc: 0.8463 | Train Prec: 0.8671 | Val Prec: 0.7738 | Train Rec: 0.0600 | Val Rec: 0.0600 | Train F1: 0.1112 | Val F1: 0.1101 | Train AUC: 0.5727 | Val AUC: 0.5596
Epoch 011: | Train Loss: 0.4258 | Val Loss: 0.4236 | Train Acc: 0.8456 | Val Acc: 0.8476 | Train Prec: 0.8925 | Val Prec: 0.9132 | Train Rec: 0.0585 | Val Rec: 0.0563 | Train F1: 0.1089 | Val F1: 0.1047 | Train AUC: 0.5807 | Val AUC: 0.5596
