Epoch 001: | Train Loss: 0.5067 | Val Loss: 0.4261 | Train Acc: 0.8466 | Val Acc: 0.8483 | Train Prec: 0.9946 | Val Prec: 0.9787 | Train Rec: 0.0571 | Val Rec: 0.0565 | Train F1: 0.1070 | Val F1: 0.1056 | Train AUC: 0.5435 | Val AUC: 0.5309
Epoch 002: | Train Loss: 0.4272 | Val Loss: 0.4243 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5518 | Val AUC: 0.5364
Epoch 003: | Train Loss: 0.4262 | Val Loss: 0.4239 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5578 | Val AUC: 0.5394
Epoch 004: | Train Loss: 0.4257 | Val Loss: 0.4236 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5625 | Val AUC: 0.5435
Epoch 005: | Train Loss: 0.4253 | Val Loss: 0.4235 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5661 | Val AUC: 0.5465
Epoch 006: | Train Loss: 0.4251 | Val Loss: 0.4234 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5686 | Val AUC: 0.5493
Epoch 007: | Train Loss: 0.4250 | Val Loss: 0.4233 | Train Acc: 0.8467 | Val Acc: 0.8479 | Train Prec: 0.9948 | Val Prec: 0.9386 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1053 | Train AUC: 0.5706 | Val AUC: 0.5513
Epoch 008: | Train Loss: 0.4249 | Val Loss: 0.4233 | Train Acc: 0.8464 | Val Acc: 0.8479 | Train Prec: 0.9695 | Val Prec: 0.9386 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1075 | Val F1: 0.1053 | Train AUC: 0.5722 | Val AUC: 0.5529
Epoch 009: | Train Loss: 0.4248 | Val Loss: 0.4232 | Train Acc: 0.8464 | Val Acc: 0.8479 | Train Prec: 0.9695 | Val Prec: 0.9386 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1075 | Val F1: 0.1053 | Train AUC: 0.5734 | Val AUC: 0.5547
Epoch 010: | Train Loss: 0.4247 | Val Loss: 0.4232 | Train Acc: 0.8464 | Val Acc: 0.8479 | Train Prec: 0.9695 | Val Prec: 0.9386 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1075 | Val F1: 0.1053 | Train AUC: 0.5747 | Val AUC: 0.5558
Epoch 011: | Train Loss: 0.4247 | Val Loss: 0.4232 | Train Acc: 0.8464 | Val Acc: 0.8479 | Train Prec: 0.9695 | Val Prec: 0.9386 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1075 | Val F1: 0.1053 | Train AUC: 0.5755 | Val AUC: 0.5568
