Epoch 001: | Train Loss: 0.5228 | Val Loss: 0.4298 | Train Acc: 0.8440 | Val Acc: 0.8483 | Train Prec: 0.7027 | Val Prec: 0.9787 | Train Rec: 0.0409 | Val Rec: 0.0565 | Train F1: 0.0765 | Val F1: 0.1056 | Train AUC: 0.5554 | Val AUC: 0.5488
Epoch 002: | Train Loss: 0.4279 | Val Loss: 0.4247 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5480 | Val AUC: 0.5421
Epoch 003: | Train Loss: 0.4262 | Val Loss: 0.4241 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5500 | Val AUC: 0.5459
Epoch 004: | Train Loss: 0.4257 | Val Loss: 0.4236 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0574 | Val Rec: 0.0565 | Train F1: 0.1076 | Val F1: 0.1056 | Train AUC: 0.5482 | Val AUC: 0.5364
Epoch 005: | Train Loss: 0.4256 | Val Loss: 0.4235 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0574 | Val Rec: 0.0565 | Train F1: 0.1076 | Val F1: 0.1056 | Train AUC: 0.5485 | Val AUC: 0.5382
Epoch 006: | Train Loss: 0.4253 | Val Loss: 0.4236 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5506 | Val AUC: 0.5477
Epoch 007: | Train Loss: 0.4252 | Val Loss: 0.4233 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5486 | Val AUC: 0.5347
Epoch 008: | Train Loss: 0.4252 | Val Loss: 0.4233 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 0.9969 | Val Prec: 0.9787 | Train Rec: 0.0578 | Val Rec: 0.0565 | Train F1: 0.1081 | Val F1: 0.1056 | Train AUC: 0.5465 | Val AUC: 0.5405
Epoch 009: | Train Loss: 0.4251 | Val Loss: 0.4232 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5493 | Val AUC: 0.5420
Epoch 010: | Train Loss: 0.4252 | Val Loss: 0.4232 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 0.9969 | Val Prec: 0.9787 | Train Rec: 0.0578 | Val Rec: 0.0565 | Train F1: 0.1081 | Val F1: 0.1056 | Train AUC: 0.5477 | Val AUC: 0.5351
Epoch 011: | Train Loss: 0.4251 | Val Loss: 0.4232 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 0.9959 | Val Prec: 0.9787 | Train Rec: 0.0578 | Val Rec: 0.0565 | Train F1: 0.1082 | Val F1: 0.1056 | Train AUC: 0.5470 | Val AUC: 0.5377
Epoch 012: | Train Loss: 0.4251 | Val Loss: 0.4232 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 0.9926 | Val Prec: 0.9787 | Train Rec: 0.0578 | Val Rec: 0.0565 | Train F1: 0.1082 | Val F1: 0.1056 | Train AUC: 0.5484 | Val AUC: 0.5371
Epoch 013: | Train Loss: 0.4250 | Val Loss: 0.4233 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5516 | Val AUC: 0.5423
Epoch 014: | Train Loss: 0.4250 | Val Loss: 0.4231 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5472 | Val AUC: 0.5480
Epoch 015: | Train Loss: 0.4249 | Val Loss: 0.4230 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5475 | Val AUC: 0.5351
Epoch 016: | Train Loss: 0.4251 | Val Loss: 0.4230 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5486 | Val AUC: 0.5394
Epoch 017: | Train Loss: 0.4249 | Val Loss: 0.4231 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5491 | Val AUC: 0.5381
Epoch 018: | Train Loss: 0.4249 | Val Loss: 0.4232 | Train Acc: 0.8467 | Val Acc: 0.8483 | Train Prec: 1.0000 | Val Prec: 0.9787 | Train Rec: 0.0575 | Val Rec: 0.0565 | Train F1: 0.1077 | Val F1: 0.1056 | Train AUC: 0.5513 | Val AUC: 0.5395
