Epoch 001: | Train Loss: 0.6516 | Val Loss: 0.6310 | Train Acc: 0.8395 | Val Acc: 0.8416 | Train Prec: 0.6596 | Val Prec: 0.7021 | Train Rec: 0.0151 | Val Rec: 0.0149 | Train F1: 0.0293 | Val F1: 0.0291 | Train AUC: 0.4941 | Val AUC: 0.4901
Epoch 002: | Train Loss: 0.6260 | Val Loss: 0.6246 | Train Acc: 0.8396 | Val Acc: 0.8416 | Train Prec: 0.6757 | Val Prec: 0.7021 | Train Rec: 0.0140 | Val Rec: 0.0149 | Train F1: 0.0274 | Val F1: 0.0291 | Train AUC: 0.4960 | Val AUC: 0.4904
Epoch 003: | Train Loss: 0.6232 | Val Loss: 0.6239 | Train Acc: 0.8396 | Val Acc: 0.8416 | Train Prec: 0.6757 | Val Prec: 0.7021 | Train Rec: 0.0140 | Val Rec: 0.0149 | Train F1: 0.0274 | Val F1: 0.0291 | Train AUC: 0.4962 | Val AUC: 0.4905
Epoch 004: | Train Loss: 0.6228 | Val Loss: 0.6237 | Train Acc: 0.8396 | Val Acc: 0.8416 | Train Prec: 0.6757 | Val Prec: 0.7021 | Train Rec: 0.0140 | Val Rec: 0.0149 | Train F1: 0.0274 | Val F1: 0.0291 | Train AUC: 0.4964 | Val AUC: 0.4907
Epoch 005: | Train Loss: 0.6226 | Val Loss: 0.6236 | Train Acc: 0.8396 | Val Acc: 0.8416 | Train Prec: 0.6757 | Val Prec: 0.7021 | Train Rec: 0.0140 | Val Rec: 0.0149 | Train F1: 0.0274 | Val F1: 0.0291 | Train AUC: 0.4965 | Val AUC: 0.4908
Epoch 006: | Train Loss: 0.6226 | Val Loss: 0.6235 | Train Acc: 0.8396 | Val Acc: 0.8416 | Train Prec: 0.6757 | Val Prec: 0.7021 | Train Rec: 0.0140 | Val Rec: 0.0149 | Train F1: 0.0274 | Val F1: 0.0291 | Train AUC: 0.4965 | Val AUC: 0.4911
Epoch 007: | Train Loss: 0.6225 | Val Loss: 0.6235 | Train Acc: 0.8396 | Val Acc: 0.8416 | Train Prec: 0.6757 | Val Prec: 0.7021 | Train Rec: 0.0140 | Val Rec: 0.0149 | Train F1: 0.0274 | Val F1: 0.0291 | Train AUC: 0.4965 | Val AUC: 0.4914
Epoch 008: | Train Loss: 0.6225 | Val Loss: 0.6235 | Train Acc: 0.8396 | Val Acc: 0.8416 | Train Prec: 0.6757 | Val Prec: 0.7021 | Train Rec: 0.0140 | Val Rec: 0.0149 | Train F1: 0.0274 | Val F1: 0.0291 | Train AUC: 0.4965 | Val AUC: 0.4914
Epoch 009: | Train Loss: 0.6224 | Val Loss: 0.6234 | Train Acc: 0.8396 | Val Acc: 0.8416 | Train Prec: 0.6757 | Val Prec: 0.7021 | Train Rec: 0.0140 | Val Rec: 0.0149 | Train F1: 0.0274 | Val F1: 0.0291 | Train AUC: 0.4965 | Val AUC: 0.4914
Epoch 010: | Train Loss: 0.6224 | Val Loss: 0.6234 | Train Acc: 0.8396 | Val Acc: 0.8416 | Train Prec: 0.6757 | Val Prec: 0.7021 | Train Rec: 0.0140 | Val Rec: 0.0149 | Train F1: 0.0274 | Val F1: 0.0291 | Train AUC: 0.4965 | Val AUC: 0.4914
Epoch 011: | Train Loss: 0.6224 | Val Loss: 0.6234 | Train Acc: 0.8396 | Val Acc: 0.8416 | Train Prec: 0.6757 | Val Prec: 0.7021 | Train Rec: 0.0140 | Val Rec: 0.0149 | Train F1: 0.0274 | Val F1: 0.0291 | Train AUC: 0.4965 | Val AUC: 0.4914
Epoch 012: | Train Loss: 0.6224 | Val Loss: 0.6234 | Train Acc: 0.8396 | Val Acc: 0.8416 | Train Prec: 0.6757 | Val Prec: 0.7021 | Train Rec: 0.0140 | Val Rec: 0.0149 | Train F1: 0.0274 | Val F1: 0.0291 | Train AUC: 0.4965 | Val AUC: 0.4914
Epoch 013: | Train Loss: 0.6224 | Val Loss: 0.6234 | Train Acc: 0.8396 | Val Acc: 0.8416 | Train Prec: 0.6757 | Val Prec: 0.7021 | Train Rec: 0.0140 | Val Rec: 0.0149 | Train F1: 0.0274 | Val F1: 0.0291 | Train AUC: 0.4965 | Val AUC: 0.4914
Epoch 014: | Train Loss: 0.6224 | Val Loss: 0.6234 | Train Acc: 0.8396 | Val Acc: 0.8416 | Train Prec: 0.6757 | Val Prec: 0.7021 | Train Rec: 0.0140 | Val Rec: 0.0149 | Train F1: 0.0274 | Val F1: 0.0291 | Train AUC: 0.4965 | Val AUC: 0.4913
Epoch 015: | Train Loss: 0.6224 | Val Loss: 0.6234 | Train Acc: 0.8396 | Val Acc: 0.8416 | Train Prec: 0.6757 | Val Prec: 0.7021 | Train Rec: 0.0140 | Val Rec: 0.0149 | Train F1: 0.0274 | Val F1: 0.0291 | Train AUC: 0.4964 | Val AUC: 0.4913
Epoch 016: | Train Loss: 0.6224 | Val Loss: 0.6234 | Train Acc: 0.8396 | Val Acc: 0.8416 | Train Prec: 0.6757 | Val Prec: 0.7021 | Train Rec: 0.0140 | Val Rec: 0.0149 | Train F1: 0.0274 | Val F1: 0.0291 | Train AUC: 0.4964 | Val AUC: 0.4913
Epoch 017: | Train Loss: 0.6224 | Val Loss: 0.6234 | Train Acc: 0.8396 | Val Acc: 0.8416 | Train Prec: 0.6757 | Val Prec: 0.7021 | Train Rec: 0.0140 | Val Rec: 0.0149 | Train F1: 0.0274 | Val F1: 0.0291 | Train AUC: 0.4964 | Val AUC: 0.4913
Epoch 018: | Train Loss: 0.6224 | Val Loss: 0.6234 | Train Acc: 0.8396 | Val Acc: 0.8416 | Train Prec: 0.6757 | Val Prec: 0.7021 | Train Rec: 0.0140 | Val Rec: 0.0149 | Train F1: 0.0274 | Val F1: 0.0291 | Train AUC: 0.4964 | Val AUC: 0.4913
Epoch 019: | Train Loss: 0.6224 | Val Loss: 0.6234 | Train Acc: 0.8396 | Val Acc: 0.8416 | Train Prec: 0.6757 | Val Prec: 0.7021 | Train Rec: 0.0140 | Val Rec: 0.0149 | Train F1: 0.0274 | Val F1: 0.0291 | Train AUC: 0.4964 | Val AUC: 0.4913
Epoch 020: | Train Loss: 0.6224 | Val Loss: 0.6234 | Train Acc: 0.8396 | Val Acc: 0.8416 | Train Prec: 0.6757 | Val Prec: 0.7021 | Train Rec: 0.0140 | Val Rec: 0.0149 | Train F1: 0.0274 | Val F1: 0.0291 | Train AUC: 0.4965 | Val AUC: 0.4913
