Epoch 001: | Train Loss: 0.6929 | Val Loss: 0.6926 | Train Acc: 0.8441 | Val Acc: 0.8443 | Train Prec: 0.4839 | Val Prec: 0.3750 | Train Rec: 0.0242 | Val Rec: 0.0115 | Train F1: 0.0437 | Val F1: 0.0223 | Train AUC: 0.5381 | Val AUC: 0.5153
Epoch 002: | Train Loss: 0.6923 | Val Loss: 0.6920 | Train Acc: 0.8453 | Val Acc: 0.8443 | Train Prec: 0.5941 | Val Prec: 0.3750 | Train Rec: 0.0292 | Val Rec: 0.0115 | Train F1: 0.0533 | Val F1: 0.0223 | Train AUC: 0.5430 | Val AUC: 0.5152
Epoch 003: | Train Loss: 0.6917 | Val Loss: 0.6914 | Train Acc: 0.8453 | Val Acc: 0.8443 | Train Prec: 0.5941 | Val Prec: 0.3750 | Train Rec: 0.0292 | Val Rec: 0.0115 | Train F1: 0.0533 | Val F1: 0.0223 | Train AUC: 0.5433 | Val AUC: 0.5152
Epoch 004: | Train Loss: 0.6911 | Val Loss: 0.6909 | Train Acc: 0.8453 | Val Acc: 0.8443 | Train Prec: 0.5941 | Val Prec: 0.3750 | Train Rec: 0.0292 | Val Rec: 0.0115 | Train F1: 0.0533 | Val F1: 0.0223 | Train AUC: 0.5437 | Val AUC: 0.5162
Epoch 005: | Train Loss: 0.6905 | Val Loss: 0.6903 | Train Acc: 0.8453 | Val Acc: 0.8443 | Train Prec: 0.5941 | Val Prec: 0.3750 | Train Rec: 0.0292 | Val Rec: 0.0115 | Train F1: 0.0533 | Val F1: 0.0223 | Train AUC: 0.5437 | Val AUC: 0.5162
Epoch 006: | Train Loss: 0.6899 | Val Loss: 0.6898 | Train Acc: 0.8453 | Val Acc: 0.8443 | Train Prec: 0.5941 | Val Prec: 0.3750 | Train Rec: 0.0292 | Val Rec: 0.0115 | Train F1: 0.0533 | Val F1: 0.0223 | Train AUC: 0.5438 | Val AUC: 0.5162
Epoch 007: | Train Loss: 0.6893 | Val Loss: 0.6892 | Train Acc: 0.8453 | Val Acc: 0.8443 | Train Prec: 0.5941 | Val Prec: 0.3750 | Train Rec: 0.0292 | Val Rec: 0.0115 | Train F1: 0.0533 | Val F1: 0.0223 | Train AUC: 0.5438 | Val AUC: 0.5162
Epoch 008: | Train Loss: 0.6888 | Val Loss: 0.6887 | Train Acc: 0.8453 | Val Acc: 0.8443 | Train Prec: 0.5941 | Val Prec: 0.3750 | Train Rec: 0.0292 | Val Rec: 0.0115 | Train F1: 0.0533 | Val F1: 0.0223 | Train AUC: 0.5438 | Val AUC: 0.5162
Epoch 009: | Train Loss: 0.6882 | Val Loss: 0.6881 | Train Acc: 0.8453 | Val Acc: 0.8443 | Train Prec: 0.5941 | Val Prec: 0.3750 | Train Rec: 0.0292 | Val Rec: 0.0115 | Train F1: 0.0533 | Val F1: 0.0223 | Train AUC: 0.5438 | Val AUC: 0.5162
Epoch 010: | Train Loss: 0.6876 | Val Loss: 0.6876 | Train Acc: 0.8453 | Val Acc: 0.8443 | Train Prec: 0.5941 | Val Prec: 0.3750 | Train Rec: 0.0292 | Val Rec: 0.0115 | Train F1: 0.0533 | Val F1: 0.0223 | Train AUC: 0.5437 | Val AUC: 0.5162
Epoch 011: | Train Loss: 0.6871 | Val Loss: 0.6871 | Train Acc: 0.8453 | Val Acc: 0.8443 | Train Prec: 0.5941 | Val Prec: 0.3750 | Train Rec: 0.0292 | Val Rec: 0.0115 | Train F1: 0.0533 | Val F1: 0.0223 | Train AUC: 0.5438 | Val AUC: 0.5162
Epoch 012: | Train Loss: 0.6865 | Val Loss: 0.6865 | Train Acc: 0.8453 | Val Acc: 0.8443 | Train Prec: 0.5941 | Val Prec: 0.3750 | Train Rec: 0.0292 | Val Rec: 0.0115 | Train F1: 0.0533 | Val F1: 0.0223 | Train AUC: 0.5438 | Val AUC: 0.5162
Epoch 013: | Train Loss: 0.6860 | Val Loss: 0.6860 | Train Acc: 0.8453 | Val Acc: 0.8443 | Train Prec: 0.5941 | Val Prec: 0.3750 | Train Rec: 0.0292 | Val Rec: 0.0115 | Train F1: 0.0533 | Val F1: 0.0223 | Train AUC: 0.5438 | Val AUC: 0.5162
Epoch 014: | Train Loss: 0.6854 | Val Loss: 0.6855 | Train Acc: 0.8453 | Val Acc: 0.8443 | Train Prec: 0.5941 | Val Prec: 0.3750 | Train Rec: 0.0292 | Val Rec: 0.0115 | Train F1: 0.0533 | Val F1: 0.0223 | Train AUC: 0.5438 | Val AUC: 0.5162
Epoch 015: | Train Loss: 0.6849 | Val Loss: 0.6850 | Train Acc: 0.8453 | Val Acc: 0.8443 | Train Prec: 0.5941 | Val Prec: 0.3750 | Train Rec: 0.0292 | Val Rec: 0.0115 | Train F1: 0.0533 | Val F1: 0.0223 | Train AUC: 0.5438 | Val AUC: 0.5163
Epoch 016: | Train Loss: 0.6843 | Val Loss: 0.6844 | Train Acc: 0.8453 | Val Acc: 0.8443 | Train Prec: 0.5941 | Val Prec: 0.3750 | Train Rec: 0.0292 | Val Rec: 0.0115 | Train F1: 0.0533 | Val F1: 0.0223 | Train AUC: 0.5438 | Val AUC: 0.5163
Epoch 017: | Train Loss: 0.6838 | Val Loss: 0.6839 | Train Acc: 0.8453 | Val Acc: 0.8443 | Train Prec: 0.5941 | Val Prec: 0.3750 | Train Rec: 0.0292 | Val Rec: 0.0115 | Train F1: 0.0533 | Val F1: 0.0223 | Train AUC: 0.5438 | Val AUC: 0.5162
Epoch 018: | Train Loss: 0.6832 | Val Loss: 0.6834 | Train Acc: 0.8453 | Val Acc: 0.8443 | Train Prec: 0.5941 | Val Prec: 0.3750 | Train Rec: 0.0292 | Val Rec: 0.0115 | Train F1: 0.0533 | Val F1: 0.0223 | Train AUC: 0.5438 | Val AUC: 0.5162
Epoch 019: | Train Loss: 0.6827 | Val Loss: 0.6829 | Train Acc: 0.8453 | Val Acc: 0.8443 | Train Prec: 0.5941 | Val Prec: 0.3750 | Train Rec: 0.0292 | Val Rec: 0.0115 | Train F1: 0.0533 | Val F1: 0.0223 | Train AUC: 0.5438 | Val AUC: 0.5162
Epoch 020: | Train Loss: 0.6821 | Val Loss: 0.6824 | Train Acc: 0.8453 | Val Acc: 0.8443 | Train Prec: 0.5941 | Val Prec: 0.3750 | Train Rec: 0.0292 | Val Rec: 0.0115 | Train F1: 0.0533 | Val F1: 0.0223 | Train AUC: 0.5438 | Val AUC: 0.5162
Epoch 021: | Train Loss: 0.6816 | Val Loss: 0.6819 | Train Acc: 0.8453 | Val Acc: 0.8443 | Train Prec: 0.5941 | Val Prec: 0.3750 | Train Rec: 0.0292 | Val Rec: 0.0115 | Train F1: 0.0533 | Val F1: 0.0223 | Train AUC: 0.5439 | Val AUC: 0.5162
Epoch 022: | Train Loss: 0.6811 | Val Loss: 0.6813 | Train Acc: 0.8453 | Val Acc: 0.8443 | Train Prec: 0.5941 | Val Prec: 0.3750 | Train Rec: 0.0292 | Val Rec: 0.0115 | Train F1: 0.0533 | Val F1: 0.0223 | Train AUC: 0.5439 | Val AUC: 0.5162
Epoch 023: | Train Loss: 0.6805 | Val Loss: 0.6808 | Train Acc: 0.8453 | Val Acc: 0.8443 | Train Prec: 0.5941 | Val Prec: 0.3750 | Train Rec: 0.0292 | Val Rec: 0.0115 | Train F1: 0.0533 | Val F1: 0.0223 | Train AUC: 0.5439 | Val AUC: 0.5163
Epoch 024: | Train Loss: 0.6800 | Val Loss: 0.6803 | Train Acc: 0.8453 | Val Acc: 0.8443 | Train Prec: 0.5941 | Val Prec: 0.3750 | Train Rec: 0.0292 | Val Rec: 0.0115 | Train F1: 0.0533 | Val F1: 0.0223 | Train AUC: 0.5439 | Val AUC: 0.5163
Epoch 025: | Train Loss: 0.6795 | Val Loss: 0.6798 | Train Acc: 0.8453 | Val Acc: 0.8443 | Train Prec: 0.5941 | Val Prec: 0.3750 | Train Rec: 0.0292 | Val Rec: 0.0115 | Train F1: 0.0533 | Val F1: 0.0223 | Train AUC: 0.5439 | Val AUC: 0.5163
Epoch 026: | Train Loss: 0.6790 | Val Loss: 0.6793 | Train Acc: 0.8453 | Val Acc: 0.8443 | Train Prec: 0.5941 | Val Prec: 0.3750 | Train Rec: 0.0292 | Val Rec: 0.0115 | Train F1: 0.0533 | Val F1: 0.0223 | Train AUC: 0.5439 | Val AUC: 0.5163
Epoch 027: | Train Loss: 0.6784 | Val Loss: 0.6788 | Train Acc: 0.8453 | Val Acc: 0.8443 | Train Prec: 0.5941 | Val Prec: 0.3750 | Train Rec: 0.0292 | Val Rec: 0.0115 | Train F1: 0.0533 | Val F1: 0.0223 | Train AUC: 0.5439 | Val AUC: 0.5163
Epoch 028: | Train Loss: 0.6779 | Val Loss: 0.6784 | Train Acc: 0.8453 | Val Acc: 0.8443 | Train Prec: 0.5941 | Val Prec: 0.3750 | Train Rec: 0.0292 | Val Rec: 0.0115 | Train F1: 0.0533 | Val F1: 0.0223 | Train AUC: 0.5439 | Val AUC: 0.5163
Epoch 029: | Train Loss: 0.6774 | Val Loss: 0.6779 | Train Acc: 0.8453 | Val Acc: 0.8443 | Train Prec: 0.5941 | Val Prec: 0.3750 | Train Rec: 0.0292 | Val Rec: 0.0115 | Train F1: 0.0533 | Val F1: 0.0223 | Train AUC: 0.5439 | Val AUC: 0.5163
