Epoch 001: | Train Loss: 0.6145 | Val Loss: 0.5388 | Train Acc: 0.8986 | Val Acc: 0.8965 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5967 | Val AUC: 0.5912
Epoch 002: | Train Loss: 0.4790 | Val Loss: 0.4137 | Train Acc: 0.8986 | Val Acc: 0.8965 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.6003 | Val AUC: 0.6952
Epoch 003: | Train Loss: 0.3722 | Val Loss: 0.3423 | Train Acc: 0.8986 | Val Acc: 0.8985 | Train Prec: 0.0000 | Val Prec: 0.5000 | Train Rec: 0.0000 | Val Rec: 0.0206 | Train F1: 0.0000 | Val F1: 0.0395 | Train AUC: 0.6438 | Val AUC: 0.6910
Epoch 004: | Train Loss: 0.3251 | Val Loss: 0.3133 | Train Acc: 0.9000 | Val Acc: 0.8991 | Train Prec: 0.3043 | Val Prec: 0.6667 | Train Rec: 0.0140 | Val Rec: 0.0265 | Train F1: 0.0266 | Val F1: 0.0510 | Train AUC: 0.6780 | Val AUC: 0.6970
Epoch 005: | Train Loss: 0.3060 | Val Loss: 0.3009 | Train Acc: 0.9032 | Val Acc: 0.8998 | Train Prec: 0.6957 | Val Prec: 0.6667 | Train Rec: 0.0435 | Val Rec: 0.0332 | Train F1: 0.0808 | Val F1: 0.0629 | Train AUC: 0.6875 | Val AUC: 0.7039
Epoch 006: | Train Loss: 0.2971 | Val Loss: 0.2943 | Train Acc: 0.9036 | Val Acc: 0.8985 | Train Prec: 0.6594 | Val Prec: 0.6389 | Train Rec: 0.0615 | Val Rec: 0.0404 | Train F1: 0.1108 | Val F1: 0.0754 | Train AUC: 0.6967 | Val AUC: 0.7138
Epoch 007: | Train Loss: 0.2917 | Val Loss: 0.2898 | Train Acc: 0.9046 | Val Acc: 0.8998 | Train Prec: 0.6688 | Val Prec: 0.6389 | Train Rec: 0.0718 | Val Rec: 0.0543 | Train F1: 0.1272 | Val F1: 0.0991 | Train AUC: 0.7092 | Val AUC: 0.7277
Epoch 008: | Train Loss: 0.2876 | Val Loss: 0.2862 | Train Acc: 0.9065 | Val Acc: 0.9024 | Train Prec: 0.7449 | Val Prec: 0.6944 | Train Rec: 0.0905 | Val Rec: 0.0811 | Train F1: 0.1587 | Val F1: 0.1431 | Train AUC: 0.7221 | Val AUC: 0.7393
Epoch 009: | Train Loss: 0.2841 | Val Loss: 0.2831 | Train Acc: 0.9087 | Val Acc: 0.9018 | Train Prec: 0.7920 | Val Prec: 0.6778 | Train Rec: 0.1120 | Val Rec: 0.0811 | Train F1: 0.1932 | Val F1: 0.1425 | Train AUC: 0.7321 | Val AUC: 0.7495
Epoch 010: | Train Loss: 0.2810 | Val Loss: 0.2805 | Train Acc: 0.9094 | Val Acc: 0.9037 | Train Prec: 0.8428 | Val Prec: 0.7000 | Train Rec: 0.1188 | Val Rec: 0.1023 | Train F1: 0.2045 | Val F1: 0.1748 | Train AUC: 0.7411 | Val AUC: 0.7555
Epoch 011: | Train Loss: 0.2782 | Val Loss: 0.2782 | Train Acc: 0.9083 | Val Acc: 0.9031 | Train Prec: 0.7638 | Val Prec: 0.6667 | Train Rec: 0.1236 | Val Rec: 0.1023 | Train F1: 0.2091 | Val F1: 0.1732 | Train AUC: 0.7488 | Val AUC: 0.7628
Epoch 012: | Train Loss: 0.2756 | Val Loss: 0.2761 | Train Acc: 0.9085 | Val Acc: 0.9037 | Train Prec: 0.7659 | Val Prec: 0.6833 | Train Rec: 0.1255 | Val Rec: 0.1082 | Train F1: 0.2118 | Val F1: 0.1824 | Train AUC: 0.7563 | Val AUC: 0.7686
Epoch 013: | Train Loss: 0.2733 | Val Loss: 0.2742 | Train Acc: 0.9087 | Val Acc: 0.9057 | Train Prec: 0.7696 | Val Prec: 0.7063 | Train Rec: 0.1273 | Val Rec: 0.1281 | Train F1: 0.2146 | Val F1: 0.2103 | Train AUC: 0.7622 | Val AUC: 0.7714
Epoch 014: | Train Loss: 0.2711 | Val Loss: 0.2724 | Train Acc: 0.9097 | Val Acc: 0.9050 | Train Prec: 0.8083 | Val Prec: 0.6730 | Train Rec: 0.1380 | Val Rec: 0.1281 | Train F1: 0.2316 | Val F1: 0.2086 | Train AUC: 0.7665 | Val AUC: 0.7741
