Epoch 001: | Train Loss: 0.6148 | Val Loss: 0.5382 | Train Acc: 0.8986 | Val Acc: 0.8965 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.6182 | Val AUC: 0.6322
Epoch 002: | Train Loss: 0.4676 | Val Loss: 0.4043 | Train Acc: 0.8991 | Val Acc: 0.8991 | Train Prec: 0.0870 | Val Prec: 0.6667 | Train Rec: 0.0052 | Val Rec: 0.0265 | Train F1: 0.0097 | Val F1: 0.0510 | Train AUC: 0.6373 | Val AUC: 0.6901
Epoch 003: | Train Loss: 0.3666 | Val Loss: 0.3388 | Train Acc: 0.9036 | Val Acc: 0.9011 | Train Prec: 0.5652 | Val Prec: 0.8333 | Train Rec: 0.0465 | Val Rec: 0.0474 | Train F1: 0.0836 | Val F1: 0.0890 | Train AUC: 0.6591 | Val AUC: 0.6999
Epoch 004: | Train Loss: 0.3229 | Val Loss: 0.3128 | Train Acc: 0.9060 | Val Acc: 0.8991 | Train Prec: 0.7283 | Val Prec: 0.5833 | Train Rec: 0.0814 | Val Rec: 0.0610 | Train F1: 0.1439 | Val F1: 0.1086 | Train AUC: 0.6800 | Val AUC: 0.7291
Epoch 005: | Train Loss: 0.3038 | Val Loss: 0.2994 | Train Acc: 0.9046 | Val Acc: 0.8991 | Train Prec: 0.6434 | Val Prec: 0.5833 | Train Rec: 0.0866 | Val Rec: 0.0610 | Train F1: 0.1509 | Val F1: 0.1086 | Train AUC: 0.7231 | Val AUC: 0.7537
Epoch 006: | Train Loss: 0.2930 | Val Loss: 0.2926 | Train Acc: 0.9067 | Val Acc: 0.9092 | Train Prec: 0.6961 | Val Prec: 0.8175 | Train Rec: 0.1300 | Val Rec: 0.1744 | Train F1: 0.2163 | Val F1: 0.2792 | Train AUC: 0.7420 | Val AUC: 0.7533
Epoch 007: | Train Loss: 0.2868 | Val Loss: 0.2869 | Train Acc: 0.9061 | Val Acc: 0.9092 | Train Prec: 0.6598 | Val Prec: 0.8175 | Train Rec: 0.1428 | Val Rec: 0.1744 | Train F1: 0.2314 | Val F1: 0.2792 | Train AUC: 0.7469 | Val AUC: 0.7594
Epoch 008: | Train Loss: 0.2819 | Val Loss: 0.2834 | Train Acc: 0.9063 | Val Acc: 0.9105 | Train Prec: 0.6663 | Val Prec: 0.8290 | Train Rec: 0.1446 | Val Rec: 0.1876 | Train F1: 0.2342 | Val F1: 0.2955 | Train AUC: 0.7553 | Val AUC: 0.7656
Epoch 009: | Train Loss: 0.2785 | Val Loss: 0.2805 | Train Acc: 0.9077 | Val Acc: 0.9105 | Train Prec: 0.6783 | Val Prec: 0.8290 | Train Rec: 0.1618 | Val Rec: 0.1876 | Train F1: 0.2572 | Val F1: 0.2955 | Train AUC: 0.7602 | Val AUC: 0.7718
Epoch 010: | Train Loss: 0.2753 | Val Loss: 0.2778 | Train Acc: 0.9083 | Val Acc: 0.9105 | Train Prec: 0.6809 | Val Prec: 0.8290 | Train Rec: 0.1676 | Val Rec: 0.1876 | Train F1: 0.2650 | Val F1: 0.2955 | Train AUC: 0.7658 | Val AUC: 0.7735
Epoch 011: | Train Loss: 0.2725 | Val Loss: 0.2762 | Train Acc: 0.9078 | Val Acc: 0.9092 | Train Prec: 0.6760 | Val Prec: 0.8175 | Train Rec: 0.1645 | Val Rec: 0.1744 | Train F1: 0.2598 | Val F1: 0.2792 | Train AUC: 0.7699 | Val AUC: 0.7730
