Epoch 001: | Train Loss: 0.6145 | Val Loss: 0.5397 | Train Acc: 0.8986 | Val Acc: 0.8965 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.6214 | Val AUC: 0.5732
Epoch 002: | Train Loss: 0.4800 | Val Loss: 0.4187 | Train Acc: 0.8986 | Val Acc: 0.8965 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.6276 | Val AUC: 0.6834
Epoch 003: | Train Loss: 0.3790 | Val Loss: 0.3500 | Train Acc: 0.8986 | Val Acc: 0.8965 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.6523 | Val AUC: 0.6793
Epoch 004: | Train Loss: 0.3330 | Val Loss: 0.3219 | Train Acc: 0.8986 | Val Acc: 0.8965 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.6561 | Val AUC: 0.6874
Epoch 005: | Train Loss: 0.3144 | Val Loss: 0.3097 | Train Acc: 0.8989 | Val Acc: 0.8985 | Train Prec: 0.0435 | Val Prec: 0.5000 | Train Rec: 0.0033 | Val Rec: 0.0206 | Train F1: 0.0062 | Val F1: 0.0395 | Train AUC: 0.6602 | Val AUC: 0.6886
Epoch 006: | Train Loss: 0.3061 | Val Loss: 0.3036 | Train Acc: 0.9022 | Val Acc: 0.8998 | Train Prec: 0.5217 | Val Prec: 0.8333 | Train Rec: 0.0345 | Val Rec: 0.0338 | Train F1: 0.0638 | Val F1: 0.0649 | Train AUC: 0.6636 | Val AUC: 0.6908
Epoch 007: | Train Loss: 0.3017 | Val Loss: 0.3001 | Train Acc: 0.9048 | Val Acc: 0.9004 | Train Prec: 0.7391 | Val Prec: 0.8333 | Train Rec: 0.0581 | Val Rec: 0.0404 | Train F1: 0.1053 | Val F1: 0.0767 | Train AUC: 0.6674 | Val AUC: 0.6934
Epoch 008: | Train Loss: 0.2990 | Val Loss: 0.2976 | Train Acc: 0.9055 | Val Acc: 0.9011 | Train Prec: 0.7391 | Val Prec: 0.8333 | Train Rec: 0.0645 | Val Rec: 0.0474 | Train F1: 0.1165 | Val F1: 0.0890 | Train AUC: 0.6719 | Val AUC: 0.6975
Epoch 009: | Train Loss: 0.2970 | Val Loss: 0.2957 | Train Acc: 0.9060 | Val Acc: 0.8991 | Train Prec: 0.7138 | Val Prec: 0.6389 | Train Rec: 0.0747 | Val Rec: 0.0474 | Train F1: 0.1330 | Val F1: 0.0878 | Train AUC: 0.6808 | Val AUC: 0.7105
Epoch 010: | Train Loss: 0.2952 | Val Loss: 0.2939 | Train Acc: 0.9049 | Val Acc: 0.8985 | Train Prec: 0.6688 | Val Prec: 0.6250 | Train Rec: 0.0747 | Val Rec: 0.0474 | Train F1: 0.1321 | Val F1: 0.0874 | Train AUC: 0.7019 | Val AUC: 0.7285
Epoch 011: | Train Loss: 0.2935 | Val Loss: 0.2921 | Train Acc: 0.9049 | Val Acc: 0.8978 | Train Prec: 0.6688 | Val Prec: 0.5694 | Train Rec: 0.0747 | Val Rec: 0.0474 | Train F1: 0.1321 | Val F1: 0.0865 | Train AUC: 0.7156 | Val AUC: 0.7333
