Epoch 001: | Train Loss: 0.6145 | Val Loss: 0.5400 | Train Acc: 0.8986 | Val Acc: 0.8965 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.6388 | Val AUC: 0.6272
Epoch 002: | Train Loss: 0.4867 | Val Loss: 0.4407 | Train Acc: 0.8986 | Val Acc: 0.8965 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.6256 | Val AUC: 0.6259
Epoch 003: | Train Loss: 0.4071 | Val Loss: 0.3785 | Train Acc: 0.8986 | Val Acc: 0.8965 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.6367 | Val AUC: 0.6435
Epoch 004: | Train Loss: 0.3507 | Val Loss: 0.3328 | Train Acc: 0.8986 | Val Acc: 0.8965 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.6433 | Val AUC: 0.6083
Epoch 005: | Train Loss: 0.3178 | Val Loss: 0.3129 | Train Acc: 0.8986 | Val Acc: 0.8965 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.6467 | Val AUC: 0.6258
Epoch 006: | Train Loss: 0.3052 | Val Loss: 0.3050 | Train Acc: 0.8986 | Val Acc: 0.8965 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.6490 | Val AUC: 0.6560
Epoch 007: | Train Loss: 0.3002 | Val Loss: 0.3018 | Train Acc: 0.8986 | Val Acc: 0.8965 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.6495 | Val AUC: 0.6670
Epoch 008: | Train Loss: 0.2979 | Val Loss: 0.3002 | Train Acc: 0.8986 | Val Acc: 0.8965 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.6513 | Val AUC: 0.6691
Epoch 009: | Train Loss: 0.2966 | Val Loss: 0.2991 | Train Acc: 0.8986 | Val Acc: 0.8965 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.6539 | Val AUC: 0.6721
Epoch 010: | Train Loss: 0.2956 | Val Loss: 0.2982 | Train Acc: 0.8988 | Val Acc: 0.8965 | Train Prec: 0.0435 | Val Prec: 0.0000 | Train Rec: 0.0024 | Val Rec: 0.0000 | Train F1: 0.0046 | Val F1: 0.0000 | Train AUC: 0.6558 | Val AUC: 0.6740
Epoch 011: | Train Loss: 0.2949 | Val Loss: 0.2975 | Train Acc: 0.8995 | Val Acc: 0.8965 | Train Prec: 0.1739 | Val Prec: 0.0000 | Train Rec: 0.0089 | Val Rec: 0.0000 | Train F1: 0.0168 | Val F1: 0.0000 | Train AUC: 0.6570 | Val AUC: 0.6754
