Epoch 001: | Train Loss: 0.6926 | Val Loss: 0.6918 | Train Acc: 0.8401 | Val Acc: 0.8403 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5102 | Val AUC: 0.5076
Epoch 002: | Train Loss: 0.6913 | Val Loss: 0.6904 | Train Acc: 0.8401 | Val Acc: 0.8403 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5178 | Val AUC: 0.5118
Epoch 003: | Train Loss: 0.6899 | Val Loss: 0.6891 | Train Acc: 0.8401 | Val Acc: 0.8403 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5216 | Val AUC: 0.5149
Epoch 004: | Train Loss: 0.6886 | Val Loss: 0.6877 | Train Acc: 0.8401 | Val Acc: 0.8403 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5231 | Val AUC: 0.5166
Epoch 005: | Train Loss: 0.6872 | Val Loss: 0.6864 | Train Acc: 0.8401 | Val Acc: 0.8403 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5243 | Val AUC: 0.5212
Epoch 006: | Train Loss: 0.6859 | Val Loss: 0.6851 | Train Acc: 0.8401 | Val Acc: 0.8403 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5260 | Val AUC: 0.5233
Epoch 007: | Train Loss: 0.6846 | Val Loss: 0.6837 | Train Acc: 0.8401 | Val Acc: 0.8403 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5270 | Val AUC: 0.5253
Epoch 008: | Train Loss: 0.6832 | Val Loss: 0.6824 | Train Acc: 0.8401 | Val Acc: 0.8403 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5279 | Val AUC: 0.5277
Epoch 009: | Train Loss: 0.6819 | Val Loss: 0.6811 | Train Acc: 0.8401 | Val Acc: 0.8403 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5293 | Val AUC: 0.5285
Epoch 010: | Train Loss: 0.6806 | Val Loss: 0.6798 | Train Acc: 0.8401 | Val Acc: 0.8403 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5302 | Val AUC: 0.5307
Epoch 011: | Train Loss: 0.6793 | Val Loss: 0.6785 | Train Acc: 0.8401 | Val Acc: 0.8403 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5306 | Val AUC: 0.5330
