Epoch 001: | Train Loss: 0.6075 | Val Loss: 0.5347 | Train Acc: 0.8415 | Val Acc: 0.8428 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5222 | Val AUC: 0.5048
Epoch 002: | Train Loss: 0.4961 | Val Loss: 0.4659 | Train Acc: 0.8415 | Val Acc: 0.8428 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5262 | Val AUC: 0.5075
Epoch 003: | Train Loss: 0.4525 | Val Loss: 0.4423 | Train Acc: 0.8422 | Val Acc: 0.8433 | Train Prec: 0.1613 | Val Prec: 0.1250 | Train Rec: 0.0050 | Val Rec: 0.0030 | Train F1: 0.0096 | Val F1: 0.0060 | Train AUC: 0.5380 | Val AUC: 0.5184
Epoch 004: | Train Loss: 0.4380 | Val Loss: 0.4349 | Train Acc: 0.8424 | Val Acc: 0.8433 | Train Prec: 0.1935 | Val Prec: 0.1250 | Train Rec: 0.0058 | Val Rec: 0.0030 | Train F1: 0.0112 | Val F1: 0.0060 | Train AUC: 0.5536 | Val AUC: 0.5320
Epoch 005: | Train Loss: 0.4330 | Val Loss: 0.4320 | Train Acc: 0.8425 | Val Acc: 0.8433 | Train Prec: 0.1935 | Val Prec: 0.1250 | Train Rec: 0.0066 | Val Rec: 0.0030 | Train F1: 0.0127 | Val F1: 0.0060 | Train AUC: 0.5730 | Val AUC: 0.5549
Epoch 006: | Train Loss: 0.4303 | Val Loss: 0.4298 | Train Acc: 0.8425 | Val Acc: 0.8433 | Train Prec: 0.1935 | Val Prec: 0.1250 | Train Rec: 0.0066 | Val Rec: 0.0030 | Train F1: 0.0127 | Val F1: 0.0060 | Train AUC: 0.5985 | Val AUC: 0.5896
Epoch 007: | Train Loss: 0.4279 | Val Loss: 0.4275 | Train Acc: 0.8425 | Val Acc: 0.8433 | Train Prec: 0.1935 | Val Prec: 0.1250 | Train Rec: 0.0066 | Val Rec: 0.0030 | Train F1: 0.0127 | Val F1: 0.0060 | Train AUC: 0.6238 | Val AUC: 0.6198
Epoch 008: | Train Loss: 0.4253 | Val Loss: 0.4248 | Train Acc: 0.8425 | Val Acc: 0.8433 | Train Prec: 0.1935 | Val Prec: 0.1250 | Train Rec: 0.0066 | Val Rec: 0.0030 | Train F1: 0.0127 | Val F1: 0.0060 | Train AUC: 0.6400 | Val AUC: 0.6398
Epoch 009: | Train Loss: 0.4226 | Val Loss: 0.4218 | Train Acc: 0.8425 | Val Acc: 0.8433 | Train Prec: 0.1935 | Val Prec: 0.1250 | Train Rec: 0.0066 | Val Rec: 0.0030 | Train F1: 0.0127 | Val F1: 0.0060 | Train AUC: 0.6499 | Val AUC: 0.6512
Epoch 010: | Train Loss: 0.4199 | Val Loss: 0.4189 | Train Acc: 0.8425 | Val Acc: 0.8433 | Train Prec: 0.1935 | Val Prec: 0.1250 | Train Rec: 0.0066 | Val Rec: 0.0030 | Train F1: 0.0127 | Val F1: 0.0060 | Train AUC: 0.6565 | Val AUC: 0.6582
Epoch 011: | Train Loss: 0.4173 | Val Loss: 0.4162 | Train Acc: 0.8425 | Val Acc: 0.8443 | Train Prec: 0.1935 | Val Prec: 0.3750 | Train Rec: 0.0066 | Val Rec: 0.0085 | Train F1: 0.0127 | Val F1: 0.0166 | Train AUC: 0.6613 | Val AUC: 0.6652
Epoch 012: | Train Loss: 0.4150 | Val Loss: 0.4136 | Train Acc: 0.8435 | Val Acc: 0.8443 | Train Prec: 0.3548 | Val Prec: 0.3750 | Train Rec: 0.0123 | Val Rec: 0.0085 | Train F1: 0.0237 | Val F1: 0.0166 | Train AUC: 0.6665 | Val AUC: 0.6708
Epoch 013: | Train Loss: 0.4130 | Val Loss: 0.4113 | Train Acc: 0.8436 | Val Acc: 0.8443 | Train Prec: 0.3871 | Val Prec: 0.3750 | Train Rec: 0.0130 | Val Rec: 0.0085 | Train F1: 0.0249 | Val F1: 0.0166 | Train AUC: 0.6718 | Val AUC: 0.6764
Epoch 014: | Train Loss: 0.4112 | Val Loss: 0.4092 | Train Acc: 0.8432 | Val Acc: 0.8438 | Train Prec: 0.4086 | Val Prec: 0.3125 | Train Rec: 0.0139 | Val Rec: 0.0085 | Train F1: 0.0268 | Val F1: 0.0165 | Train AUC: 0.6766 | Val AUC: 0.6814
Epoch 015: | Train Loss: 0.4096 | Val Loss: 0.4073 | Train Acc: 0.8430 | Val Acc: 0.8438 | Train Prec: 0.3925 | Val Prec: 0.3125 | Train Rec: 0.0139 | Val Rec: 0.0085 | Train F1: 0.0267 | Val F1: 0.0165 | Train AUC: 0.6811 | Val AUC: 0.6863
Epoch 016: | Train Loss: 0.4081 | Val Loss: 0.4055 | Train Acc: 0.8429 | Val Acc: 0.8438 | Train Prec: 0.3844 | Val Prec: 0.3125 | Train Rec: 0.0139 | Val Rec: 0.0085 | Train F1: 0.0267 | Val F1: 0.0165 | Train AUC: 0.6854 | Val AUC: 0.6912
Epoch 017: | Train Loss: 0.4068 | Val Loss: 0.4039 | Train Acc: 0.8426 | Val Acc: 0.8438 | Train Prec: 0.3629 | Val Prec: 0.3125 | Train Rec: 0.0139 | Val Rec: 0.0085 | Train F1: 0.0266 | Val F1: 0.0165 | Train AUC: 0.6887 | Val AUC: 0.6949
Epoch 018: | Train Loss: 0.4056 | Val Loss: 0.4023 | Train Acc: 0.8429 | Val Acc: 0.8438 | Train Prec: 0.4059 | Val Prec: 0.3125 | Train Rec: 0.0156 | Val Rec: 0.0085 | Train F1: 0.0298 | Val F1: 0.0165 | Train AUC: 0.6920 | Val AUC: 0.6993
Epoch 019: | Train Loss: 0.4044 | Val Loss: 0.4008 | Train Acc: 0.8432 | Val Acc: 0.8443 | Train Prec: 0.4704 | Val Prec: 0.3333 | Train Rec: 0.0183 | Val Rec: 0.0115 | Train F1: 0.0348 | Val F1: 0.0220 | Train AUC: 0.6955 | Val AUC: 0.7030
Epoch 020: | Train Loss: 0.4033 | Val Loss: 0.3994 | Train Acc: 0.8443 | Val Acc: 0.8448 | Train Prec: 0.5419 | Val Prec: 0.3438 | Train Rec: 0.0245 | Val Rec: 0.0146 | Train F1: 0.0463 | Val F1: 0.0273 | Train AUC: 0.6984 | Val AUC: 0.7075
Epoch 021: | Train Loss: 0.4023 | Val Loss: 0.3980 | Train Acc: 0.8449 | Val Acc: 0.8453 | Train Prec: 0.6151 | Val Prec: 0.4688 | Train Rec: 0.0281 | Val Rec: 0.0179 | Train F1: 0.0530 | Val F1: 0.0337 | Train AUC: 0.7011 | Val AUC: 0.7101
Epoch 022: | Train Loss: 0.4013 | Val Loss: 0.3967 | Train Acc: 0.8450 | Val Acc: 0.8453 | Train Prec: 0.6473 | Val Prec: 0.4688 | Train Rec: 0.0288 | Val Rec: 0.0179 | Train F1: 0.0545 | Val F1: 0.0337 | Train AUC: 0.7038 | Val AUC: 0.7122
Epoch 023: | Train Loss: 0.4004 | Val Loss: 0.3955 | Train Acc: 0.8454 | Val Acc: 0.8453 | Train Prec: 0.6796 | Val Prec: 0.4688 | Train Rec: 0.0313 | Val Rec: 0.0179 | Train F1: 0.0592 | Val F1: 0.0337 | Train AUC: 0.7053 | Val AUC: 0.7147
Epoch 024: | Train Loss: 0.3995 | Val Loss: 0.3943 | Train Acc: 0.8455 | Val Acc: 0.8458 | Train Prec: 0.6957 | Val Prec: 0.4688 | Train Rec: 0.0322 | Val Rec: 0.0206 | Train F1: 0.0608 | Val F1: 0.0388 | Train AUC: 0.7072 | Val AUC: 0.7166
Epoch 025: | Train Loss: 0.3986 | Val Loss: 0.3931 | Train Acc: 0.8458 | Val Acc: 0.8467 | Train Prec: 0.6720 | Val Prec: 0.5000 | Train Rec: 0.0360 | Val Rec: 0.0239 | Train F1: 0.0675 | Val F1: 0.0453 | Train AUC: 0.7085 | Val AUC: 0.7175
Epoch 026: | Train Loss: 0.3978 | Val Loss: 0.3920 | Train Acc: 0.8463 | Val Acc: 0.8472 | Train Prec: 0.7000 | Val Prec: 0.6250 | Train Rec: 0.0374 | Val Rec: 0.0271 | Train F1: 0.0701 | Val F1: 0.0515 | Train AUC: 0.7097 | Val AUC: 0.7191
Epoch 027: | Train Loss: 0.3969 | Val Loss: 0.3909 | Train Acc: 0.8468 | Val Acc: 0.8482 | Train Prec: 0.7317 | Val Prec: 0.7500 | Train Rec: 0.0396 | Val Rec: 0.0322 | Train F1: 0.0743 | Val F1: 0.0611 | Train AUC: 0.7113 | Val AUC: 0.7216
Epoch 028: | Train Loss: 0.3961 | Val Loss: 0.3899 | Train Acc: 0.8470 | Val Acc: 0.8487 | Train Prec: 0.7258 | Val Prec: 0.7500 | Train Rec: 0.0421 | Val Rec: 0.0352 | Train F1: 0.0787 | Val F1: 0.0662 | Train AUC: 0.7126 | Val AUC: 0.7234
Epoch 029: | Train Loss: 0.3953 | Val Loss: 0.3888 | Train Acc: 0.8473 | Val Acc: 0.8477 | Train Prec: 0.7478 | Val Prec: 0.6833 | Train Rec: 0.0429 | Val Rec: 0.0352 | Train F1: 0.0800 | Val F1: 0.0654 | Train AUC: 0.7145 | Val AUC: 0.7254
Epoch 030: | Train Loss: 0.3945 | Val Loss: 0.3878 | Train Acc: 0.8472 | Val Acc: 0.8477 | Train Prec: 0.7333 | Val Prec: 0.6833 | Train Rec: 0.0436 | Val Rec: 0.0352 | Train F1: 0.0811 | Val F1: 0.0654 | Train AUC: 0.7158 | Val AUC: 0.7270
Epoch 031: | Train Loss: 0.3937 | Val Loss: 0.3868 | Train Acc: 0.8458 | Val Acc: 0.8458 | Train Prec: 0.7118 | Val Prec: 0.5625 | Train Rec: 0.0444 | Val Rec: 0.0352 | Train F1: 0.0822 | Val F1: 0.0645 | Train AUC: 0.7170 | Val AUC: 0.7285
Epoch 032: | Train Loss: 0.3929 | Val Loss: 0.3858 | Train Acc: 0.8456 | Val Acc: 0.8453 | Train Prec: 0.6956 | Val Prec: 0.5506 | Train Rec: 0.0444 | Val Rec: 0.0352 | Train F1: 0.0821 | Val F1: 0.0641 | Train AUC: 0.7183 | Val AUC: 0.7295
Epoch 033: | Train Loss: 0.3922 | Val Loss: 0.3849 | Train Acc: 0.8453 | Val Acc: 0.8453 | Train Prec: 0.6847 | Val Prec: 0.5506 | Train Rec: 0.0444 | Val Rec: 0.0352 | Train F1: 0.0819 | Val F1: 0.0641 | Train AUC: 0.7193 | Val AUC: 0.7306
Epoch 034: | Train Loss: 0.3914 | Val Loss: 0.3839 | Train Acc: 0.8453 | Val Acc: 0.8453 | Train Prec: 0.6847 | Val Prec: 0.5506 | Train Rec: 0.0444 | Val Rec: 0.0352 | Train F1: 0.0819 | Val F1: 0.0641 | Train AUC: 0.7209 | Val AUC: 0.7319
Epoch 035: | Train Loss: 0.3906 | Val Loss: 0.3830 | Train Acc: 0.8453 | Val Acc: 0.8429 | Train Prec: 0.6847 | Val Prec: 0.4479 | Train Rec: 0.0444 | Val Rec: 0.0352 | Train F1: 0.0819 | Val F1: 0.0632 | Train AUC: 0.7221 | Val AUC: 0.7329
