Epoch 001: | Train Loss: 0.6530 | Val Loss: 0.6783 | Train Acc: 0.7431 | Val Acc: 0.5906 | Train Prec: 0.0569 | Val Prec: 0.1258 | Train Rec: 0.1226 | Val Rec: 0.2699 | Train F1: 0.0771 | Val F1: 0.1694 | Train AUC: 0.5073 | Val AUC: 0.4548
Epoch 002: | Train Loss: 0.5739 | Val Loss: 0.5023 | Train Acc: 0.7694 | Val Acc: 0.8428 | Train Prec: 0.0430 | Val Prec: 0.0000 | Train Rec: 0.0802 | Val Rec: 0.0000 | Train F1: 0.0559 | Val F1: 0.0000 | Train AUC: 0.4933 | Val AUC: 0.4697
Epoch 003: | Train Loss: 0.4758 | Val Loss: 0.4530 | Train Acc: 0.8382 | Val Acc: 0.8433 | Train Prec: 0.2154 | Val Prec: 0.1250 | Train Rec: 0.0144 | Val Rec: 0.0030 | Train F1: 0.0206 | Val F1: 0.0060 | Train AUC: 0.5076 | Val AUC: 0.4688
Epoch 004: | Train Loss: 0.4407 | Val Loss: 0.4402 | Train Acc: 0.8430 | Val Acc: 0.8433 | Train Prec: 0.3387 | Val Prec: 0.1250 | Train Rec: 0.0104 | Val Rec: 0.0030 | Train F1: 0.0201 | Val F1: 0.0060 | Train AUC: 0.5133 | Val AUC: 0.4578
Epoch 005: | Train Loss: 0.4327 | Val Loss: 0.4343 | Train Acc: 0.8429 | Val Acc: 0.8429 | Train Prec: 0.3548 | Val Prec: 0.2500 | Train Rec: 0.0137 | Val Rec: 0.0063 | Train F1: 0.0262 | Val F1: 0.0124 | Train AUC: 0.5223 | Val AUC: 0.4781
Epoch 006: | Train Loss: 0.4275 | Val Loss: 0.4316 | Train Acc: 0.8435 | Val Acc: 0.8434 | Train Prec: 0.4462 | Val Prec: 0.2500 | Train Rec: 0.0203 | Val Rec: 0.0094 | Train F1: 0.0384 | Val F1: 0.0180 | Train AUC: 0.5591 | Val AUC: 0.4938
Epoch 007: | Train Loss: 0.4240 | Val Loss: 0.4298 | Train Acc: 0.8449 | Val Acc: 0.8400 | Train Prec: 0.5672 | Val Prec: 0.2500 | Train Rec: 0.0310 | Val Rec: 0.0168 | Train F1: 0.0579 | Val F1: 0.0310 | Train AUC: 0.5687 | Val AUC: 0.5133
Epoch 008: | Train Loss: 0.4222 | Val Loss: 0.4288 | Train Acc: 0.8461 | Val Acc: 0.8400 | Train Prec: 0.6704 | Val Prec: 0.2500 | Train Rec: 0.0412 | Val Rec: 0.0168 | Train F1: 0.0766 | Val F1: 0.0310 | Train AUC: 0.5757 | Val AUC: 0.5039
Epoch 009: | Train Loss: 0.4203 | Val Loss: 0.4280 | Train Acc: 0.8463 | Val Acc: 0.8410 | Train Prec: 0.7027 | Val Prec: 0.3333 | Train Rec: 0.0422 | Val Rec: 0.0223 | Train F1: 0.0784 | Val F1: 0.0412 | Train AUC: 0.5679 | Val AUC: 0.5212
Epoch 010: | Train Loss: 0.4181 | Val Loss: 0.4272 | Train Acc: 0.8474 | Val Acc: 0.8410 | Train Prec: 0.7172 | Val Prec: 0.3333 | Train Rec: 0.0495 | Val Rec: 0.0223 | Train F1: 0.0910 | Val F1: 0.0412 | Train AUC: 0.5748 | Val AUC: 0.5256
Epoch 011: | Train Loss: 0.4169 | Val Loss: 0.4260 | Train Acc: 0.8483 | Val Acc: 0.8410 | Train Prec: 0.7495 | Val Prec: 0.3333 | Train Rec: 0.0549 | Val Rec: 0.0223 | Train F1: 0.1007 | Val F1: 0.0412 | Train AUC: 0.5805 | Val AUC: 0.5411
