Epoch 001: | Train Loss: 0.4701 | Val Loss: 0.4723 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.1092 | Val AUC: 0.0017
Epoch 002: | Train Loss: 0.4696 | Val Loss: 0.4718 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0140 | Val AUC: 0.0017
Epoch 003: | Train Loss: 0.4691 | Val Loss: 0.4713 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0140 | Val AUC: 0.0017
Epoch 004: | Train Loss: 0.4686 | Val Loss: 0.4708 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0140 | Val AUC: 0.0017
Epoch 005: | Train Loss: 0.4681 | Val Loss: 0.4703 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0140 | Val AUC: 0.0015
Epoch 006: | Train Loss: 0.4676 | Val Loss: 0.4698 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0139 | Val AUC: 0.0015
Epoch 007: | Train Loss: 0.4671 | Val Loss: 0.4693 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0139 | Val AUC: 0.0010
Epoch 008: | Train Loss: 0.4666 | Val Loss: 0.4688 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0135 | Val AUC: 0.0010
Epoch 009: | Train Loss: 0.4661 | Val Loss: 0.4683 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0135 | Val AUC: 0.0010
Epoch 010: | Train Loss: 0.4656 | Val Loss: 0.4678 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0135 | Val AUC: 0.0010
Epoch 011: | Train Loss: 0.4651 | Val Loss: 0.4673 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0135 | Val AUC: 0.0010
Epoch 012: | Train Loss: 0.4646 | Val Loss: 0.4668 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0136 | Val AUC: 0.0010
Epoch 013: | Train Loss: 0.4641 | Val Loss: 0.4663 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0131 | Val AUC: 0.0010
Epoch 014: | Train Loss: 0.4636 | Val Loss: 0.4658 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0135 | Val AUC: 0.0010
Epoch 015: | Train Loss: 0.4631 | Val Loss: 0.4653 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0135 | Val AUC: 0.0010
Epoch 016: | Train Loss: 0.4626 | Val Loss: 0.4648 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0137 | Val AUC: 0.0010
Epoch 017: | Train Loss: 0.4621 | Val Loss: 0.4643 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0137 | Val AUC: 0.0010
Epoch 018: | Train Loss: 0.4616 | Val Loss: 0.4638 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0131 | Val AUC: 0.0010
Epoch 019: | Train Loss: 0.4611 | Val Loss: 0.4633 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0138 | Val AUC: 0.0010
Epoch 020: | Train Loss: 0.4606 | Val Loss: 0.4628 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0137 | Val AUC: 0.0010
Epoch 021: | Train Loss: 0.4601 | Val Loss: 0.4623 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0130 | Val AUC: 0.0010
Epoch 022: | Train Loss: 0.4596 | Val Loss: 0.4618 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0133 | Val AUC: 0.0010
Epoch 023: | Train Loss: 0.4591 | Val Loss: 0.4613 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0133 | Val AUC: 0.0010
Epoch 024: | Train Loss: 0.4586 | Val Loss: 0.4608 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0132 | Val AUC: 0.0010
Epoch 025: | Train Loss: 0.4581 | Val Loss: 0.4603 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0130 | Val AUC: 0.0010
Epoch 026: | Train Loss: 0.4576 | Val Loss: 0.4598 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0136 | Val AUC: 0.0010
Epoch 027: | Train Loss: 0.4571 | Val Loss: 0.4593 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0136 | Val AUC: 0.0010
Epoch 028: | Train Loss: 0.4566 | Val Loss: 0.4588 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0131 | Val AUC: 0.0010
Epoch 029: | Train Loss: 0.4561 | Val Loss: 0.4582 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0136 | Val AUC: 0.0010
Epoch 030: | Train Loss: 0.4555 | Val Loss: 0.4577 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0137 | Val AUC: 0.0010
Epoch 031: | Train Loss: 0.4550 | Val Loss: 0.4572 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0134 | Val AUC: 0.0010
Epoch 032: | Train Loss: 0.4545 | Val Loss: 0.4567 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0129 | Val AUC: 0.0010
Epoch 033: | Train Loss: 0.4540 | Val Loss: 0.4562 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0129 | Val AUC: 0.0010
Epoch 034: | Train Loss: 0.4535 | Val Loss: 0.4556 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0134 | Val AUC: 0.0010
Epoch 035: | Train Loss: 0.4529 | Val Loss: 0.4551 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0138 | Val AUC: 0.0010
Epoch 036: | Train Loss: 0.4524 | Val Loss: 0.4546 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0140 | Val AUC: 0.0010
Epoch 037: | Train Loss: 0.4519 | Val Loss: 0.4541 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0132 | Val AUC: 0.0010
Epoch 038: | Train Loss: 0.4514 | Val Loss: 0.4535 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0134 | Val AUC: 0.0010
Epoch 039: | Train Loss: 0.4508 | Val Loss: 0.4530 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0134 | Val AUC: 0.0010
Epoch 040: | Train Loss: 0.4503 | Val Loss: 0.4525 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0138 | Val AUC: 0.0010
Epoch 041: | Train Loss: 0.4498 | Val Loss: 0.4519 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0136 | Val AUC: 0.0007
Epoch 042: | Train Loss: 0.4492 | Val Loss: 0.4514 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0130 | Val AUC: 0.0006
Epoch 043: | Train Loss: 0.4487 | Val Loss: 0.4508 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0135 | Val AUC: 0.0006
Epoch 044: | Train Loss: 0.4482 | Val Loss: 0.4503 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0130 | Val AUC: 0.0006
Epoch 045: | Train Loss: 0.4476 | Val Loss: 0.4497 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0129 | Val AUC: 0.0006
Epoch 046: | Train Loss: 0.4471 | Val Loss: 0.4492 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0124 | Val AUC: 0.0000
Epoch 047: | Train Loss: 0.4465 | Val Loss: 0.4486 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0132 | Val AUC: 0.0000
Epoch 048: | Train Loss: 0.4460 | Val Loss: 0.4481 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0124 | Val AUC: 0.0000
Epoch 049: | Train Loss: 0.4454 | Val Loss: 0.4475 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0126 | Val AUC: 0.0000
Epoch 050: | Train Loss: 0.4449 | Val Loss: 0.4470 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0131 | Val AUC: 0.0000
Epoch 051: | Train Loss: 0.4443 | Val Loss: 0.4464 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0131 | Val AUC: 0.0000
Epoch 052: | Train Loss: 0.4438 | Val Loss: 0.4459 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0130 | Val AUC: 0.0000
Epoch 053: | Train Loss: 0.4432 | Val Loss: 0.4453 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0129 | Val AUC: 0.0000
Epoch 054: | Train Loss: 0.4426 | Val Loss: 0.4447 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0127 | Val AUC: 0.0000
Epoch 055: | Train Loss: 0.4421 | Val Loss: 0.4442 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0128 | Val AUC: 0.0000
Epoch 056: | Train Loss: 0.4415 | Val Loss: 0.4436 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0127 | Val AUC: 0.0000
Epoch 057: | Train Loss: 0.4410 | Val Loss: 0.4430 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0130 | Val AUC: 0.0000
Epoch 058: | Train Loss: 0.4404 | Val Loss: 0.4424 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0132 | Val AUC: 0.0000
Epoch 059: | Train Loss: 0.4398 | Val Loss: 0.4419 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0132 | Val AUC: 0.0000
Epoch 060: | Train Loss: 0.4392 | Val Loss: 0.4413 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0126 | Val AUC: 0.0000
Epoch 061: | Train Loss: 0.4387 | Val Loss: 0.4407 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0127 | Val AUC: 0.0000
Epoch 062: | Train Loss: 0.4381 | Val Loss: 0.4401 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0130 | Val AUC: 0.0000
Epoch 063: | Train Loss: 0.4375 | Val Loss: 0.4396 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0126 | Val AUC: 0.0000
Epoch 064: | Train Loss: 0.4370 | Val Loss: 0.4390 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0127 | Val AUC: 0.0000
Epoch 065: | Train Loss: 0.4364 | Val Loss: 0.4384 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0129 | Val AUC: 0.0000
