Epoch 001: | Train Loss: 0.6931 | Val Loss: 0.6930 | Train Acc: 0.5085 | Val Acc: 0.9980 | Train Prec: 0.4973 | Val Prec: 0.9979 | Train Rec: 0.5000 | Val Rec: 1.0000 | Train F1: 0.4986 | Val F1: 0.9990 | Train AUC: 0.5506 | Val AUC: 1.0000
Epoch 002: | Train Loss: 0.6928 | Val Loss: 0.6925 | Train Acc: 0.9954 | Val Acc: 1.0000 | Train Prec: 0.9959 | Val Prec: 1.0000 | Train Rec: 0.9993 | Val Rec: 1.0000 | Train F1: 0.9976 | Val F1: 1.0000 | Train AUC: 0.9932 | Val AUC: 1.0000
Epoch 003: | Train Loss: 0.6923 | Val Loss: 0.6920 | Train Acc: 0.9987 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 0.9993 | Val Rec: 1.0000 | Train F1: 0.9993 | Val F1: 1.0000 | Train AUC: 0.9946 | Val AUC: 1.0000
Epoch 004: | Train Loss: 0.6918 | Val Loss: 0.6915 | Train Acc: 0.9987 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 0.9993 | Val Rec: 1.0000 | Train F1: 0.9993 | Val F1: 1.0000 | Train AUC: 0.9973 | Val AUC: 1.0000
Epoch 005: | Train Loss: 0.6913 | Val Loss: 0.6910 | Train Acc: 0.9987 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 0.9993 | Val Rec: 1.0000 | Train F1: 0.9993 | Val F1: 1.0000 | Train AUC: 0.9952 | Val AUC: 1.0000
Epoch 006: | Train Loss: 0.6908 | Val Loss: 0.6905 | Train Acc: 0.9987 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 0.9993 | Val Rec: 1.0000 | Train F1: 0.9993 | Val F1: 1.0000 | Train AUC: 0.9945 | Val AUC: 1.0000
Epoch 007: | Train Loss: 0.6903 | Val Loss: 0.6900 | Train Acc: 0.9987 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 0.9993 | Val Rec: 1.0000 | Train F1: 0.9993 | Val F1: 1.0000 | Train AUC: 0.9943 | Val AUC: 1.0000
Epoch 008: | Train Loss: 0.6898 | Val Loss: 0.6895 | Train Acc: 0.9987 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 0.9993 | Val Rec: 1.0000 | Train F1: 0.9993 | Val F1: 1.0000 | Train AUC: 0.9941 | Val AUC: 1.0000
Epoch 009: | Train Loss: 0.6893 | Val Loss: 0.6890 | Train Acc: 0.9987 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 0.9993 | Val Rec: 1.0000 | Train F1: 0.9993 | Val F1: 1.0000 | Train AUC: 0.9948 | Val AUC: 1.0000
Epoch 010: | Train Loss: 0.6888 | Val Loss: 0.6885 | Train Acc: 0.9961 | Val Acc: 1.0000 | Train Prec: 0.9965 | Val Prec: 1.0000 | Train Rec: 0.9993 | Val Rec: 1.0000 | Train F1: 0.9979 | Val F1: 1.0000 | Train AUC: 0.9950 | Val AUC: 1.0000
Epoch 011: | Train Loss: 0.6883 | Val Loss: 0.6879 | Train Acc: 0.9961 | Val Acc: 1.0000 | Train Prec: 0.9965 | Val Prec: 1.0000 | Train Rec: 0.9993 | Val Rec: 1.0000 | Train F1: 0.9979 | Val F1: 1.0000 | Train AUC: 0.9913 | Val AUC: 1.0000
Epoch 012: | Train Loss: 0.6877 | Val Loss: 0.6873 | Train Acc: 0.9961 | Val Acc: 1.0000 | Train Prec: 0.9965 | Val Prec: 1.0000 | Train Rec: 0.9993 | Val Rec: 1.0000 | Train F1: 0.9979 | Val F1: 1.0000 | Train AUC: 0.9914 | Val AUC: 1.0000
Epoch 013: | Train Loss: 0.6871 | Val Loss: 0.6868 | Train Acc: 0.9961 | Val Acc: 1.0000 | Train Prec: 0.9965 | Val Prec: 1.0000 | Train Rec: 0.9993 | Val Rec: 1.0000 | Train F1: 0.9979 | Val F1: 1.0000 | Train AUC: 0.9915 | Val AUC: 1.0000
Epoch 014: | Train Loss: 0.6866 | Val Loss: 0.6862 | Train Acc: 0.9961 | Val Acc: 1.0000 | Train Prec: 0.9965 | Val Prec: 1.0000 | Train Rec: 0.9993 | Val Rec: 1.0000 | Train F1: 0.9979 | Val F1: 1.0000 | Train AUC: 0.9914 | Val AUC: 1.0000
Epoch 015: | Train Loss: 0.6860 | Val Loss: 0.6856 | Train Acc: 0.9961 | Val Acc: 1.0000 | Train Prec: 0.9965 | Val Prec: 1.0000 | Train Rec: 0.9993 | Val Rec: 1.0000 | Train F1: 0.9979 | Val F1: 1.0000 | Train AUC: 0.9911 | Val AUC: 1.0000
Epoch 016: | Train Loss: 0.6854 | Val Loss: 0.6850 | Train Acc: 0.9987 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 0.9993 | Val Rec: 1.0000 | Train F1: 0.9993 | Val F1: 1.0000 | Train AUC: 0.9904 | Val AUC: 1.0000
Epoch 017: | Train Loss: 0.6848 | Val Loss: 0.6844 | Train Acc: 0.9987 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 0.9993 | Val Rec: 1.0000 | Train F1: 0.9993 | Val F1: 1.0000 | Train AUC: 0.9892 | Val AUC: 1.0000
Epoch 018: | Train Loss: 0.6842 | Val Loss: 0.6838 | Train Acc: 0.9987 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 0.9993 | Val Rec: 1.0000 | Train F1: 0.9993 | Val F1: 1.0000 | Train AUC: 0.9882 | Val AUC: 1.0000
Epoch 019: | Train Loss: 0.6837 | Val Loss: 0.6832 | Train Acc: 0.9987 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 0.9993 | Val Rec: 1.0000 | Train F1: 0.9993 | Val F1: 1.0000 | Train AUC: 0.9869 | Val AUC: 1.0000
Epoch 020: | Train Loss: 0.6831 | Val Loss: 0.6827 | Train Acc: 0.9987 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 0.9993 | Val Rec: 1.0000 | Train F1: 0.9993 | Val F1: 1.0000 | Train AUC: 0.9869 | Val AUC: 1.0000
Epoch 021: | Train Loss: 0.6825 | Val Loss: 0.6821 | Train Acc: 0.9987 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 0.9993 | Val Rec: 1.0000 | Train F1: 0.9993 | Val F1: 1.0000 | Train AUC: 0.9869 | Val AUC: 1.0000
Epoch 022: | Train Loss: 0.6819 | Val Loss: 0.6815 | Train Acc: 0.9987 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 0.9993 | Val Rec: 1.0000 | Train F1: 0.9993 | Val F1: 1.0000 | Train AUC: 0.9869 | Val AUC: 1.0000
Epoch 023: | Train Loss: 0.6813 | Val Loss: 0.6809 | Train Acc: 0.9987 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 0.9993 | Val Rec: 1.0000 | Train F1: 0.9993 | Val F1: 1.0000 | Train AUC: 0.9869 | Val AUC: 1.0000
Epoch 024: | Train Loss: 0.6808 | Val Loss: 0.6803 | Train Acc: 0.9987 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 0.9993 | Val Rec: 1.0000 | Train F1: 0.9993 | Val F1: 1.0000 | Train AUC: 0.9869 | Val AUC: 1.0000
