Epoch 001: | Train Loss: 0.9404 | Val Loss: 0.9454 | Train Acc: 0.0424 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0974 | Val AUC: 0.0000
Epoch 002: | Train Loss: 0.9400 | Val Loss: 0.9449 | Train Acc: 0.0308 | Val Acc: 0.0441 | Train Prec: 0.1667 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.0091 | Val AUC: 0.0000
Epoch 003: | Train Loss: 0.9395 | Val Loss: 0.9444 | Train Acc: 0.0228 | Val Acc: 0.0441 | Train Prec: 0.0556 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.0091 | Val AUC: 0.0000
Epoch 004: | Train Loss: 0.9391 | Val Loss: 0.9439 | Train Acc: 0.0299 | Val Acc: 0.0363 | Train Prec: 0.0333 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.0100 | Val AUC: 0.0000
Epoch 005: | Train Loss: 0.9386 | Val Loss: 0.9434 | Train Acc: 0.0359 | Val Acc: 0.0465 | Train Prec: 0.0417 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.0096 | Val AUC: 0.0000
Epoch 006: | Train Loss: 0.9381 | Val Loss: 0.9429 | Train Acc: 0.0333 | Val Acc: 0.0242 | Train Prec: 0.0278 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.0092 | Val AUC: 0.0000
Epoch 007: | Train Loss: 0.9375 | Val Loss: 0.9424 | Train Acc: 0.0314 | Val Acc: 0.0324 | Train Prec: 0.0238 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.0091 | Val AUC: 0.0000
Epoch 008: | Train Loss: 0.9370 | Val Loss: 0.9418 | Train Acc: 0.0360 | Val Acc: 0.0082 | Train Prec: 0.0185 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0013 | Val F1: 0.0000 | Train AUC: 0.0091 | Val AUC: 0.0000
Epoch 009: | Train Loss: 0.9365 | Val Loss: 0.9413 | Train Acc: 0.0241 | Val Acc: 0.0203 | Train Prec: 0.0139 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0013 | Val F1: 0.0000 | Train AUC: 0.0092 | Val AUC: 0.0000
Epoch 010: | Train Loss: 0.9360 | Val Loss: 0.9408 | Train Acc: 0.0319 | Val Acc: 0.0082 | Train Prec: 0.0119 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0013 | Val F1: 0.0000 | Train AUC: 0.0092 | Val AUC: 0.0000
Epoch 011: | Train Loss: 0.9354 | Val Loss: 0.9402 | Train Acc: 0.0339 | Val Acc: 0.0102 | Train Prec: 0.0093 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0013 | Val F1: 0.0000 | Train AUC: 0.0093 | Val AUC: 0.0000
Epoch 012: | Train Loss: 0.9349 | Val Loss: 0.9397 | Train Acc: 0.0247 | Val Acc: 0.0441 | Train Prec: 0.0119 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0013 | Val F1: 0.0000 | Train AUC: 0.0097 | Val AUC: 0.0000
Epoch 013: | Train Loss: 0.9344 | Val Loss: 0.9391 | Train Acc: 0.0380 | Val Acc: 0.0305 | Train Prec: 0.0333 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.0107 | Val AUC: 0.0000
Epoch 014: | Train Loss: 0.9338 | Val Loss: 0.9386 | Train Acc: 0.0386 | Val Acc: 0.0441 | Train Prec: 0.0208 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0013 | Val F1: 0.0000 | Train AUC: 0.0107 | Val AUC: 0.0000
Epoch 015: | Train Loss: 0.9333 | Val Loss: 0.9381 | Train Acc: 0.0163 | Val Acc: 0.0441 | Train Prec: 0.0556 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.0107 | Val AUC: 0.0000
Epoch 016: | Train Loss: 0.9328 | Val Loss: 0.9375 | Train Acc: 0.0410 | Val Acc: 0.0082 | Train Prec: 0.0333 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.0105 | Val AUC: 0.0000
Epoch 017: | Train Loss: 0.9323 | Val Loss: 0.9370 | Train Acc: 0.0328 | Val Acc: 0.0281 | Train Prec: 0.0111 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0013 | Val F1: 0.0000 | Train AUC: 0.0105 | Val AUC: 0.0000
Epoch 018: | Train Loss: 0.9317 | Val Loss: 0.9365 | Train Acc: 0.0340 | Val Acc: 0.0082 | Train Prec: 0.0139 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0013 | Val F1: 0.0000 | Train AUC: 0.0105 | Val AUC: 0.0000
Epoch 019: | Train Loss: 0.9312 | Val Loss: 0.9359 | Train Acc: 0.0276 | Val Acc: 0.0441 | Train Prec: 0.0111 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0013 | Val F1: 0.0000 | Train AUC: 0.0105 | Val AUC: 0.0000
Epoch 020: | Train Loss: 0.9307 | Val Loss: 0.9354 | Train Acc: 0.0275 | Val Acc: 0.0441 | Train Prec: 0.0333 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.0105 | Val AUC: 0.0000
Epoch 021: | Train Loss: 0.9301 | Val Loss: 0.9348 | Train Acc: 0.0268 | Val Acc: 0.0523 | Train Prec: 0.0556 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.0104 | Val AUC: 0.0000
Epoch 022: | Train Loss: 0.9296 | Val Loss: 0.9343 | Train Acc: 0.0378 | Val Acc: 0.0160 | Train Prec: 0.0833 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.0102 | Val AUC: 0.0000
Epoch 023: | Train Loss: 0.9291 | Val Loss: 0.9338 | Train Acc: 0.0386 | Val Acc: 0.0102 | Train Prec: 0.0104 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0013 | Val F1: 0.0000 | Train AUC: 0.0101 | Val AUC: 0.0000
Epoch 024: | Train Loss: 0.9285 | Val Loss: 0.9332 | Train Acc: 0.0249 | Val Acc: 0.0441 | Train Prec: 0.0104 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0013 | Val F1: 0.0000 | Train AUC: 0.0100 | Val AUC: 0.0000
Epoch 025: | Train Loss: 0.9280 | Val Loss: 0.9327 | Train Acc: 0.0288 | Val Acc: 0.0441 | Train Prec: 0.0417 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.0099 | Val AUC: 0.0000
Epoch 026: | Train Loss: 0.9275 | Val Loss: 0.9322 | Train Acc: 0.0314 | Val Acc: 0.0422 | Train Prec: 0.0833 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.0097 | Val AUC: 0.0000
Epoch 027: | Train Loss: 0.9270 | Val Loss: 0.9316 | Train Acc: 0.0248 | Val Acc: 0.0543 | Train Prec: 0.0278 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.0097 | Val AUC: 0.0000
Epoch 028: | Train Loss: 0.9264 | Val Loss: 0.9311 | Train Acc: 0.0371 | Val Acc: 0.0160 | Train Prec: 0.1667 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.0096 | Val AUC: 0.0000
Epoch 029: | Train Loss: 0.9259 | Val Loss: 0.9306 | Train Acc: 0.0353 | Val Acc: 0.0141 | Train Prec: 0.0104 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0013 | Val F1: 0.0000 | Train AUC: 0.0095 | Val AUC: 0.0000
Epoch 030: | Train Loss: 0.9254 | Val Loss: 0.9300 | Train Acc: 0.0299 | Val Acc: 0.0102 | Train Prec: 0.0119 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0013 | Val F1: 0.0000 | Train AUC: 0.0095 | Val AUC: 0.0000
Epoch 031: | Train Loss: 0.9248 | Val Loss: 0.9295 | Train Acc: 0.0261 | Val Acc: 0.0441 | Train Prec: 0.0104 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0013 | Val F1: 0.0000 | Train AUC: 0.0095 | Val AUC: 0.0000
Epoch 032: | Train Loss: 0.9243 | Val Loss: 0.9289 | Train Acc: 0.0339 | Val Acc: 0.0082 | Train Prec: 0.0556 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.0094 | Val AUC: 0.0000
Epoch 033: | Train Loss: 0.9238 | Val Loss: 0.9284 | Train Acc: 0.0366 | Val Acc: 0.0203 | Train Prec: 0.0093 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0013 | Val F1: 0.0000 | Train AUC: 0.0093 | Val AUC: 0.0000
Epoch 034: | Train Loss: 0.9232 | Val Loss: 0.9279 | Train Acc: 0.0288 | Val Acc: 0.0301 | Train Prec: 0.0139 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0013 | Val F1: 0.0000 | Train AUC: 0.0092 | Val AUC: 0.0000
