Epoch 001: | Train Loss: 0.4703 | Val Loss: 0.4727 | Train Acc: 0.3661 | Val Acc: 0.0441 | Train Prec: 0.3254 | Val Prec: 0.0000 | Train Rec: 0.3333 | Val Rec: 0.0000 | Train F1: 0.3293 | Val F1: 0.0000 | Train AUC: 0.6309 | Val AUC: 0.6608
Epoch 002: | Train Loss: 0.4699 | Val Loss: 0.4722 | Train Acc: 0.0536 | Val Acc: 0.0441 | Train Prec: 0.0556 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.1324 | Val AUC: 0.0260
Epoch 003: | Train Loss: 0.4695 | Val Loss: 0.4718 | Train Acc: 0.0529 | Val Acc: 0.0441 | Train Prec: 0.0556 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.0118 | Val AUC: 0.0017
Epoch 004: | Train Loss: 0.4690 | Val Loss: 0.4713 | Train Acc: 0.0496 | Val Acc: 0.0543 | Train Prec: 0.0556 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.0115 | Val AUC: 0.0017
Epoch 005: | Train Loss: 0.4686 | Val Loss: 0.4708 | Train Acc: 0.0477 | Val Acc: 0.0480 | Train Prec: 0.1667 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.0098 | Val AUC: 0.0015
Epoch 006: | Train Loss: 0.4681 | Val Loss: 0.4704 | Train Acc: 0.0549 | Val Acc: 0.0543 | Train Prec: 0.0556 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.0095 | Val AUC: 0.0010
Epoch 007: | Train Loss: 0.4676 | Val Loss: 0.4699 | Train Acc: 0.0496 | Val Acc: 0.0543 | Train Prec: 0.1667 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.0089 | Val AUC: 0.0010
Epoch 008: | Train Loss: 0.4671 | Val Loss: 0.4694 | Train Acc: 0.0529 | Val Acc: 0.0504 | Train Prec: 0.1667 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.0092 | Val AUC: 0.0010
Epoch 009: | Train Loss: 0.4666 | Val Loss: 0.4689 | Train Acc: 0.0536 | Val Acc: 0.0543 | Train Prec: 0.1667 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.0105 | Val AUC: 0.0010
Epoch 010: | Train Loss: 0.4661 | Val Loss: 0.4684 | Train Acc: 0.0509 | Val Acc: 0.0543 | Train Prec: 0.1667 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.0136 | Val AUC: 0.0010
Epoch 011: | Train Loss: 0.4656 | Val Loss: 0.4679 | Train Acc: 0.0542 | Val Acc: 0.0480 | Train Prec: 0.0833 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.0113 | Val AUC: 0.0010
Epoch 012: | Train Loss: 0.4651 | Val Loss: 0.4673 | Train Acc: 0.0516 | Val Acc: 0.0480 | Train Prec: 0.0556 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.0104 | Val AUC: 0.0010
Epoch 013: | Train Loss: 0.4646 | Val Loss: 0.4668 | Train Acc: 0.0496 | Val Acc: 0.0543 | Train Prec: 0.0556 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.0104 | Val AUC: 0.0026
Epoch 014: | Train Loss: 0.4640 | Val Loss: 0.4662 | Train Acc: 0.0503 | Val Acc: 0.0543 | Train Prec: 0.1667 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.0111 | Val AUC: 0.0043
Epoch 015: | Train Loss: 0.4635 | Val Loss: 0.4656 | Train Acc: 0.0509 | Val Acc: 0.0523 | Train Prec: 0.1667 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.0119 | Val AUC: 0.0053
Epoch 016: | Train Loss: 0.4629 | Val Loss: 0.4651 | Train Acc: 0.0535 | Val Acc: 0.0504 | Train Prec: 0.1667 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.0141 | Val AUC: 0.0072
Epoch 017: | Train Loss: 0.4624 | Val Loss: 0.4645 | Train Acc: 0.0535 | Val Acc: 0.0504 | Train Prec: 0.1667 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.0162 | Val AUC: 0.0154
Epoch 018: | Train Loss: 0.4618 | Val Loss: 0.4640 | Train Acc: 0.0535 | Val Acc: 0.0523 | Train Prec: 0.1667 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.0169 | Val AUC: 0.0153
Epoch 019: | Train Loss: 0.4612 | Val Loss: 0.4634 | Train Acc: 0.0535 | Val Acc: 0.0523 | Train Prec: 0.1667 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.0172 | Val AUC: 0.0151
Epoch 020: | Train Loss: 0.4607 | Val Loss: 0.4628 | Train Acc: 0.0535 | Val Acc: 0.0523 | Train Prec: 0.1667 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.0173 | Val AUC: 0.0150
Epoch 021: | Train Loss: 0.4601 | Val Loss: 0.4623 | Train Acc: 0.0562 | Val Acc: 0.0523 | Train Prec: 0.1667 | Val Prec: 0.0000 | Train Rec: 0.0007 | Val Rec: 0.0000 | Train F1: 0.0014 | Val F1: 0.0000 | Train AUC: 0.0174 | Val AUC: 0.0148
