Epoch 001: | Train Loss: 0.6929 | Val Loss: 0.6926 | Train Acc: 0.8424 | Val Acc: 0.9918 | Train Prec: 0.8313 | Val Prec: 0.9914 | Train Rec: 0.8333 | Val Rec: 1.0000 | Train F1: 0.8323 | Val F1: 0.9957 | Train AUC: 0.9153 | Val AUC: 1.0000
Epoch 002: | Train Loss: 0.6924 | Val Loss: 0.6921 | Train Acc: 0.9980 | Val Acc: 0.9918 | Train Prec: 0.9980 | Val Prec: 0.9914 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9990 | Val F1: 0.9957 | Train AUC: 0.9986 | Val AUC: 1.0000
Epoch 003: | Train Loss: 0.6919 | Val Loss: 0.6916 | Train Acc: 0.9980 | Val Acc: 0.9918 | Train Prec: 0.9980 | Val Prec: 0.9914 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9990 | Val F1: 0.9957 | Train AUC: 0.9986 | Val AUC: 1.0000
Epoch 004: | Train Loss: 0.6914 | Val Loss: 0.6911 | Train Acc: 0.9980 | Val Acc: 0.9918 | Train Prec: 0.9980 | Val Prec: 0.9914 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9990 | Val F1: 0.9957 | Train AUC: 0.9986 | Val AUC: 1.0000
Epoch 005: | Train Loss: 0.6909 | Val Loss: 0.6906 | Train Acc: 0.9980 | Val Acc: 0.9918 | Train Prec: 0.9980 | Val Prec: 0.9914 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9990 | Val F1: 0.9957 | Train AUC: 0.9986 | Val AUC: 1.0000
Epoch 006: | Train Loss: 0.6903 | Val Loss: 0.6900 | Train Acc: 0.9980 | Val Acc: 0.9918 | Train Prec: 0.9980 | Val Prec: 0.9914 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9990 | Val F1: 0.9957 | Train AUC: 0.9986 | Val AUC: 1.0000
Epoch 007: | Train Loss: 0.6898 | Val Loss: 0.6895 | Train Acc: 0.9980 | Val Acc: 0.9918 | Train Prec: 0.9980 | Val Prec: 0.9914 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9990 | Val F1: 0.9957 | Train AUC: 0.9986 | Val AUC: 1.0000
Epoch 008: | Train Loss: 0.6893 | Val Loss: 0.6890 | Train Acc: 0.9980 | Val Acc: 0.9918 | Train Prec: 0.9980 | Val Prec: 0.9914 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9990 | Val F1: 0.9957 | Train AUC: 0.9986 | Val AUC: 1.0000
Epoch 009: | Train Loss: 0.6888 | Val Loss: 0.6885 | Train Acc: 0.9980 | Val Acc: 0.9918 | Train Prec: 0.9980 | Val Prec: 0.9914 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9990 | Val F1: 0.9957 | Train AUC: 0.9986 | Val AUC: 1.0000
Epoch 010: | Train Loss: 0.6883 | Val Loss: 0.6880 | Train Acc: 0.9980 | Val Acc: 0.9918 | Train Prec: 0.9980 | Val Prec: 0.9914 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9990 | Val F1: 0.9957 | Train AUC: 0.9984 | Val AUC: 1.0000
Epoch 011: | Train Loss: 0.6877 | Val Loss: 0.6874 | Train Acc: 0.9980 | Val Acc: 0.9918 | Train Prec: 0.9980 | Val Prec: 0.9914 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9990 | Val F1: 0.9957 | Train AUC: 0.9986 | Val AUC: 1.0000
Epoch 012: | Train Loss: 0.6872 | Val Loss: 0.6869 | Train Acc: 0.9980 | Val Acc: 0.9918 | Train Prec: 0.9980 | Val Prec: 0.9914 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9990 | Val F1: 0.9957 | Train AUC: 0.9986 | Val AUC: 1.0000
Epoch 013: | Train Loss: 0.6867 | Val Loss: 0.6864 | Train Acc: 0.9980 | Val Acc: 0.9918 | Train Prec: 0.9980 | Val Prec: 0.9914 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9990 | Val F1: 0.9957 | Train AUC: 0.9989 | Val AUC: 1.0000
Epoch 014: | Train Loss: 0.6862 | Val Loss: 0.6859 | Train Acc: 0.9980 | Val Acc: 0.9918 | Train Prec: 0.9980 | Val Prec: 0.9914 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9990 | Val F1: 0.9957 | Train AUC: 0.9986 | Val AUC: 1.0000
Epoch 015: | Train Loss: 0.6857 | Val Loss: 0.6854 | Train Acc: 0.9980 | Val Acc: 0.9918 | Train Prec: 0.9980 | Val Prec: 0.9914 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9990 | Val F1: 0.9957 | Train AUC: 0.9986 | Val AUC: 1.0000
Epoch 016: | Train Loss: 0.6852 | Val Loss: 0.6849 | Train Acc: 0.9980 | Val Acc: 0.9918 | Train Prec: 0.9980 | Val Prec: 0.9914 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9990 | Val F1: 0.9957 | Train AUC: 0.9987 | Val AUC: 1.0000
Epoch 017: | Train Loss: 0.6846 | Val Loss: 0.6843 | Train Acc: 0.9980 | Val Acc: 0.9918 | Train Prec: 0.9980 | Val Prec: 0.9914 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9990 | Val F1: 0.9957 | Train AUC: 0.9986 | Val AUC: 1.0000
Epoch 018: | Train Loss: 0.6841 | Val Loss: 0.6838 | Train Acc: 0.9980 | Val Acc: 0.9918 | Train Prec: 0.9980 | Val Prec: 0.9914 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9990 | Val F1: 0.9957 | Train AUC: 0.9986 | Val AUC: 1.0000
Epoch 019: | Train Loss: 0.6836 | Val Loss: 0.6833 | Train Acc: 0.9980 | Val Acc: 0.9918 | Train Prec: 0.9980 | Val Prec: 0.9914 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9990 | Val F1: 0.9957 | Train AUC: 0.9986 | Val AUC: 1.0000
Epoch 020: | Train Loss: 0.6831 | Val Loss: 0.6828 | Train Acc: 0.9980 | Val Acc: 0.9918 | Train Prec: 0.9980 | Val Prec: 0.9914 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9990 | Val F1: 0.9957 | Train AUC: 0.9982 | Val AUC: 1.0000
Epoch 021: | Train Loss: 0.6826 | Val Loss: 0.6823 | Train Acc: 0.9980 | Val Acc: 0.9918 | Train Prec: 0.9980 | Val Prec: 0.9914 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9990 | Val F1: 0.9957 | Train AUC: 0.9986 | Val AUC: 1.0000
Epoch 022: | Train Loss: 0.6820 | Val Loss: 0.6817 | Train Acc: 0.9980 | Val Acc: 0.9918 | Train Prec: 0.9980 | Val Prec: 0.9914 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9990 | Val F1: 0.9957 | Train AUC: 0.9986 | Val AUC: 1.0000
Epoch 023: | Train Loss: 0.6815 | Val Loss: 0.6812 | Train Acc: 0.9980 | Val Acc: 0.9918 | Train Prec: 0.9980 | Val Prec: 0.9914 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9990 | Val F1: 0.9957 | Train AUC: 0.9986 | Val AUC: 1.0000
Epoch 024: | Train Loss: 0.6810 | Val Loss: 0.6807 | Train Acc: 0.9980 | Val Acc: 0.9918 | Train Prec: 0.9980 | Val Prec: 0.9914 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9990 | Val F1: 0.9957 | Train AUC: 0.9986 | Val AUC: 1.0000
Epoch 025: | Train Loss: 0.6805 | Val Loss: 0.6802 | Train Acc: 0.9980 | Val Acc: 0.9918 | Train Prec: 0.9980 | Val Prec: 0.9914 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9990 | Val F1: 0.9957 | Train AUC: 0.9986 | Val AUC: 1.0000
Epoch 026: | Train Loss: 0.6800 | Val Loss: 0.6797 | Train Acc: 0.9980 | Val Acc: 0.9918 | Train Prec: 0.9980 | Val Prec: 0.9914 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9990 | Val F1: 0.9957 | Train AUC: 0.9986 | Val AUC: 1.0000
Epoch 027: | Train Loss: 0.6794 | Val Loss: 0.6791 | Train Acc: 0.9980 | Val Acc: 0.9918 | Train Prec: 0.9980 | Val Prec: 0.9914 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9990 | Val F1: 0.9957 | Train AUC: 0.9986 | Val AUC: 1.0000
Epoch 028: | Train Loss: 0.6789 | Val Loss: 0.6786 | Train Acc: 0.9980 | Val Acc: 1.0000 | Train Prec: 0.9980 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9990 | Val F1: 1.0000 | Train AUC: 0.9986 | Val AUC: 1.0000
Epoch 029: | Train Loss: 0.6784 | Val Loss: 0.6781 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9986 | Val AUC: 1.0000
Epoch 030: | Train Loss: 0.6779 | Val Loss: 0.6776 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9986 | Val AUC: 1.0000
Epoch 031: | Train Loss: 0.6773 | Val Loss: 0.6770 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9986 | Val AUC: 1.0000
Epoch 032: | Train Loss: 0.6768 | Val Loss: 0.6765 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9991 | Val AUC: 1.0000
Epoch 033: | Train Loss: 0.6763 | Val Loss: 0.6760 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9982 | Val AUC: 1.0000
Epoch 034: | Train Loss: 0.6757 | Val Loss: 0.6754 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9986 | Val AUC: 1.0000
Epoch 035: | Train Loss: 0.6752 | Val Loss: 0.6749 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9986 | Val AUC: 1.0000
Epoch 036: | Train Loss: 0.6747 | Val Loss: 0.6744 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9986 | Val AUC: 1.0000
