Epoch 001: | Train Loss: 0.6930 | Val Loss: 0.6927 | Train Acc: 0.8078 | Val Acc: 0.9559 | Train Prec: 0.7962 | Val Prec: 0.9554 | Train Rec: 0.8333 | Val Rec: 1.0000 | Train F1: 0.8143 | Val F1: 0.9772 | Train AUC: 0.9134 | Val AUC: 0.9999
Epoch 002: | Train Loss: 0.6925 | Val Loss: 0.6922 | Train Acc: 0.9536 | Val Acc: 0.9559 | Train Prec: 0.9530 | Val Prec: 0.9554 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9759 | Val F1: 0.9772 | Train AUC: 0.9985 | Val AUC: 0.9999
Epoch 003: | Train Loss: 0.6920 | Val Loss: 0.6917 | Train Acc: 0.9563 | Val Acc: 0.9559 | Train Prec: 0.9555 | Val Prec: 0.9554 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9772 | Val F1: 0.9772 | Train AUC: 0.9984 | Val AUC: 0.9999
Epoch 004: | Train Loss: 0.6915 | Val Loss: 0.6913 | Train Acc: 0.9563 | Val Acc: 0.9559 | Train Prec: 0.9555 | Val Prec: 0.9554 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9772 | Val F1: 0.9772 | Train AUC: 0.9984 | Val AUC: 0.9997
Epoch 005: | Train Loss: 0.6911 | Val Loss: 0.6908 | Train Acc: 0.9563 | Val Acc: 0.9559 | Train Prec: 0.9555 | Val Prec: 0.9554 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9772 | Val F1: 0.9772 | Train AUC: 0.9979 | Val AUC: 0.9997
Epoch 006: | Train Loss: 0.6906 | Val Loss: 0.6903 | Train Acc: 0.9563 | Val Acc: 0.9559 | Train Prec: 0.9555 | Val Prec: 0.9554 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9772 | Val F1: 0.9772 | Train AUC: 0.9979 | Val AUC: 0.9997
Epoch 007: | Train Loss: 0.6901 | Val Loss: 0.6898 | Train Acc: 0.9563 | Val Acc: 0.9559 | Train Prec: 0.9555 | Val Prec: 0.9554 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9772 | Val F1: 0.9772 | Train AUC: 0.9979 | Val AUC: 0.9997
Epoch 008: | Train Loss: 0.6896 | Val Loss: 0.6894 | Train Acc: 0.9563 | Val Acc: 0.9559 | Train Prec: 0.9555 | Val Prec: 0.9554 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9772 | Val F1: 0.9772 | Train AUC: 0.9979 | Val AUC: 0.9997
Epoch 009: | Train Loss: 0.6892 | Val Loss: 0.6889 | Train Acc: 0.9563 | Val Acc: 0.9559 | Train Prec: 0.9555 | Val Prec: 0.9554 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9772 | Val F1: 0.9772 | Train AUC: 0.9979 | Val AUC: 0.9997
Epoch 010: | Train Loss: 0.6887 | Val Loss: 0.6884 | Train Acc: 0.9536 | Val Acc: 0.9559 | Train Prec: 0.9530 | Val Prec: 0.9554 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9759 | Val F1: 0.9772 | Train AUC: 0.9983 | Val AUC: 0.9997
Epoch 011: | Train Loss: 0.6882 | Val Loss: 0.6879 | Train Acc: 0.9536 | Val Acc: 0.9559 | Train Prec: 0.9530 | Val Prec: 0.9554 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9759 | Val F1: 0.9772 | Train AUC: 0.9983 | Val AUC: 0.9997
