Epoch 001: | Train Loss: 0.9404 | Val Loss: 0.9452 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.1681 | Val AUC: 0.0000
Epoch 002: | Train Loss: 0.9399 | Val Loss: 0.9448 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0016 | Val AUC: 0.0000
Epoch 003: | Train Loss: 0.9394 | Val Loss: 0.9443 | Train Acc: 0.0568 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0021 | Val AUC: 0.0001
Epoch 004: | Train Loss: 0.9389 | Val Loss: 0.9438 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0021 | Val AUC: 0.0001
Epoch 005: | Train Loss: 0.9385 | Val Loss: 0.9433 | Train Acc: 0.0562 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0021 | Val AUC: 0.0001
Epoch 006: | Train Loss: 0.9380 | Val Loss: 0.9429 | Train Acc: 0.0568 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0021 | Val AUC: 0.0001
Epoch 007: | Train Loss: 0.9375 | Val Loss: 0.9424 | Train Acc: 0.0555 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0021 | Val AUC: 0.0001
Epoch 008: | Train Loss: 0.9371 | Val Loss: 0.9419 | Train Acc: 0.0562 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0021 | Val AUC: 0.0001
Epoch 009: | Train Loss: 0.9366 | Val Loss: 0.9414 | Train Acc: 0.0568 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0021 | Val AUC: 0.0001
Epoch 010: | Train Loss: 0.9361 | Val Loss: 0.9410 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0021 | Val AUC: 0.0001
Epoch 011: | Train Loss: 0.9356 | Val Loss: 0.9405 | Train Acc: 0.0581 | Val Acc: 0.0441 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0021 | Val AUC: 0.0001
