Epoch 001: | Train Loss: 0.6929 | Val Loss: 0.6926 | Train Acc: 0.8424 | Val Acc: 1.0000 | Train Prec: 0.8327 | Val Prec: 1.0000 | Train Rec: 0.8319 | Val Rec: 1.0000 | Train F1: 0.8323 | Val F1: 1.0000 | Train AUC: 0.9037 | Val AUC: 1.0000
Epoch 002: | Train Loss: 0.6924 | Val Loss: 0.6921 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 003: | Train Loss: 0.6919 | Val Loss: 0.6916 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 004: | Train Loss: 0.6914 | Val Loss: 0.6910 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 005: | Train Loss: 0.6908 | Val Loss: 0.6905 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 006: | Train Loss: 0.6903 | Val Loss: 0.6900 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 007: | Train Loss: 0.6898 | Val Loss: 0.6895 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 008: | Train Loss: 0.6893 | Val Loss: 0.6889 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 009: | Train Loss: 0.6887 | Val Loss: 0.6884 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 010: | Train Loss: 0.6882 | Val Loss: 0.6879 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 011: | Train Loss: 0.6877 | Val Loss: 0.6874 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 012: | Train Loss: 0.6872 | Val Loss: 0.6868 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 013: | Train Loss: 0.6866 | Val Loss: 0.6863 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 014: | Train Loss: 0.6861 | Val Loss: 0.6858 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 015: | Train Loss: 0.6856 | Val Loss: 0.6853 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 016: | Train Loss: 0.6851 | Val Loss: 0.6848 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 017: | Train Loss: 0.6846 | Val Loss: 0.6842 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 018: | Train Loss: 0.6840 | Val Loss: 0.6837 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 019: | Train Loss: 0.6835 | Val Loss: 0.6832 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 020: | Train Loss: 0.6830 | Val Loss: 0.6827 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 021: | Train Loss: 0.6825 | Val Loss: 0.6822 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 022: | Train Loss: 0.6820 | Val Loss: 0.6816 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 023: | Train Loss: 0.6815 | Val Loss: 0.6811 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 024: | Train Loss: 0.6809 | Val Loss: 0.6806 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 025: | Train Loss: 0.6804 | Val Loss: 0.6801 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 026: | Train Loss: 0.6799 | Val Loss: 0.6796 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 027: | Train Loss: 0.6794 | Val Loss: 0.6791 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 028: | Train Loss: 0.6789 | Val Loss: 0.6785 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 029: | Train Loss: 0.6784 | Val Loss: 0.6780 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 030: | Train Loss: 0.6779 | Val Loss: 0.6775 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 031: | Train Loss: 0.6773 | Val Loss: 0.6770 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 032: | Train Loss: 0.6768 | Val Loss: 0.6765 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 033: | Train Loss: 0.6763 | Val Loss: 0.6760 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 034: | Train Loss: 0.6758 | Val Loss: 0.6755 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 035: | Train Loss: 0.6753 | Val Loss: 0.6749 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 036: | Train Loss: 0.6748 | Val Loss: 0.6744 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 037: | Train Loss: 0.6743 | Val Loss: 0.6739 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 038: | Train Loss: 0.6738 | Val Loss: 0.6734 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 039: | Train Loss: 0.6732 | Val Loss: 0.6729 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 040: | Train Loss: 0.6727 | Val Loss: 0.6724 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 041: | Train Loss: 0.6722 | Val Loss: 0.6719 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 042: | Train Loss: 0.6717 | Val Loss: 0.6714 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 043: | Train Loss: 0.6712 | Val Loss: 0.6708 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 044: | Train Loss: 0.6707 | Val Loss: 0.6703 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 045: | Train Loss: 0.6702 | Val Loss: 0.6698 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 046: | Train Loss: 0.6697 | Val Loss: 0.6693 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 047: | Train Loss: 0.6692 | Val Loss: 0.6688 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 048: | Train Loss: 0.6687 | Val Loss: 0.6683 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 049: | Train Loss: 0.6682 | Val Loss: 0.6678 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 050: | Train Loss: 0.6677 | Val Loss: 0.6673 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 051: | Train Loss: 0.6672 | Val Loss: 0.6668 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 052: | Train Loss: 0.6666 | Val Loss: 0.6663 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 053: | Train Loss: 0.6661 | Val Loss: 0.6658 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 054: | Train Loss: 0.6656 | Val Loss: 0.6653 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 055: | Train Loss: 0.6651 | Val Loss: 0.6648 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 056: | Train Loss: 0.6646 | Val Loss: 0.6643 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 057: | Train Loss: 0.6641 | Val Loss: 0.6637 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 058: | Train Loss: 0.6636 | Val Loss: 0.6632 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 059: | Train Loss: 0.6631 | Val Loss: 0.6627 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 060: | Train Loss: 0.6626 | Val Loss: 0.6622 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 061: | Train Loss: 0.6621 | Val Loss: 0.6617 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 062: | Train Loss: 0.6616 | Val Loss: 0.6612 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 063: | Train Loss: 0.6611 | Val Loss: 0.6607 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 064: | Train Loss: 0.6606 | Val Loss: 0.6602 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 065: | Train Loss: 0.6601 | Val Loss: 0.6597 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
Epoch 066: | Train Loss: 0.6596 | Val Loss: 0.6592 | Train Acc: 0.9993 | Val Acc: 1.0000 | Train Prec: 0.9993 | Val Prec: 1.0000 | Train Rec: 1.0000 | Val Rec: 1.0000 | Train F1: 0.9997 | Val F1: 1.0000 | Train AUC: 0.9871 | Val AUC: 1.0000
