Epoch 001: | Train Loss: 0.4701 | Val Loss: 0.4723 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0970 | Val AUC: 0.0000
Epoch 002: | Train Loss: 0.4696 | Val Loss: 0.4718 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0129 | Val AUC: 0.0000
Epoch 003: | Train Loss: 0.4691 | Val Loss: 0.4713 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0129 | Val AUC: 0.0000
Epoch 004: | Train Loss: 0.4686 | Val Loss: 0.4708 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0129 | Val AUC: 0.0000
Epoch 005: | Train Loss: 0.4681 | Val Loss: 0.4703 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0129 | Val AUC: 0.0000
Epoch 006: | Train Loss: 0.4676 | Val Loss: 0.4698 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0129 | Val AUC: 0.0000
Epoch 007: | Train Loss: 0.4671 | Val Loss: 0.4693 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0129 | Val AUC: 0.0000
Epoch 008: | Train Loss: 0.4666 | Val Loss: 0.4689 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0129 | Val AUC: 0.0000
Epoch 009: | Train Loss: 0.4661 | Val Loss: 0.4684 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0129 | Val AUC: 0.0000
Epoch 010: | Train Loss: 0.4656 | Val Loss: 0.4679 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0129 | Val AUC: 0.0000
Epoch 011: | Train Loss: 0.4651 | Val Loss: 0.4674 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0129 | Val AUC: 0.0000
Epoch 012: | Train Loss: 0.4646 | Val Loss: 0.4669 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0129 | Val AUC: 0.0000
Epoch 013: | Train Loss: 0.4641 | Val Loss: 0.4664 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0129 | Val AUC: 0.0000
Epoch 014: | Train Loss: 0.4636 | Val Loss: 0.4659 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0129 | Val AUC: 0.0000
Epoch 015: | Train Loss: 0.4631 | Val Loss: 0.4654 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0129 | Val AUC: 0.0000
Epoch 016: | Train Loss: 0.4626 | Val Loss: 0.4649 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0129 | Val AUC: 0.0000
Epoch 017: | Train Loss: 0.4622 | Val Loss: 0.4644 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0129 | Val AUC: 0.0000
Epoch 018: | Train Loss: 0.4617 | Val Loss: 0.4639 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0129 | Val AUC: 0.0000
Epoch 019: | Train Loss: 0.4612 | Val Loss: 0.4634 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0129 | Val AUC: 0.0000
Epoch 020: | Train Loss: 0.4607 | Val Loss: 0.4629 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0129 | Val AUC: 0.0000
Epoch 021: | Train Loss: 0.4602 | Val Loss: 0.4624 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0129 | Val AUC: 0.0000
Epoch 022: | Train Loss: 0.4597 | Val Loss: 0.4619 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0129 | Val AUC: 0.0000
Epoch 023: | Train Loss: 0.4592 | Val Loss: 0.4614 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0129 | Val AUC: 0.0000
Epoch 024: | Train Loss: 0.4587 | Val Loss: 0.4609 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0129 | Val AUC: 0.0000
Epoch 025: | Train Loss: 0.4582 | Val Loss: 0.4604 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0129 | Val AUC: 0.0000
Epoch 026: | Train Loss: 0.4577 | Val Loss: 0.4599 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0129 | Val AUC: 0.0000
Epoch 027: | Train Loss: 0.4573 | Val Loss: 0.4595 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0129 | Val AUC: 0.0000
Epoch 028: | Train Loss: 0.4568 | Val Loss: 0.4590 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0129 | Val AUC: 0.0000
Epoch 029: | Train Loss: 0.4563 | Val Loss: 0.4585 | Train Acc: 0.0595 | Val Acc: 0.0543 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.0129 | Val AUC: 0.0000
