Epoch 001: | Train Loss: 0.6073 | Val Loss: 0.5344 | Train Acc: 0.8415 | Val Acc: 0.8428 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5238 | Val AUC: 0.5141
Epoch 002: | Train Loss: 0.4963 | Val Loss: 0.4665 | Train Acc: 0.8415 | Val Acc: 0.8428 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5390 | Val AUC: 0.5314
Epoch 003: | Train Loss: 0.4540 | Val Loss: 0.4434 | Train Acc: 0.8415 | Val Acc: 0.8428 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5632 | Val AUC: 0.5463
Epoch 004: | Train Loss: 0.4401 | Val Loss: 0.4360 | Train Acc: 0.8415 | Val Acc: 0.8428 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5833 | Val AUC: 0.5660
Epoch 005: | Train Loss: 0.4354 | Val Loss: 0.4334 | Train Acc: 0.8415 | Val Acc: 0.8428 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.6025 | Val AUC: 0.5872
Epoch 006: | Train Loss: 0.4335 | Val Loss: 0.4321 | Train Acc: 0.8419 | Val Acc: 0.8433 | Train Prec: 0.0645 | Val Prec: 0.1250 | Train Rec: 0.0026 | Val Rec: 0.0030 | Train F1: 0.0051 | Val F1: 0.0060 | Train AUC: 0.6152 | Val AUC: 0.6075
Epoch 007: | Train Loss: 0.4322 | Val Loss: 0.4310 | Train Acc: 0.8424 | Val Acc: 0.8433 | Train Prec: 0.1935 | Val Prec: 0.1250 | Train Rec: 0.0058 | Val Rec: 0.0030 | Train F1: 0.0112 | Val F1: 0.0060 | Train AUC: 0.6207 | Val AUC: 0.6214
Epoch 008: | Train Loss: 0.4310 | Val Loss: 0.4301 | Train Acc: 0.8424 | Val Acc: 0.8433 | Train Prec: 0.1935 | Val Prec: 0.1250 | Train Rec: 0.0058 | Val Rec: 0.0030 | Train F1: 0.0112 | Val F1: 0.0060 | Train AUC: 0.6248 | Val AUC: 0.6304
Epoch 009: | Train Loss: 0.4299 | Val Loss: 0.4292 | Train Acc: 0.8425 | Val Acc: 0.8433 | Train Prec: 0.1935 | Val Prec: 0.1250 | Train Rec: 0.0066 | Val Rec: 0.0030 | Train F1: 0.0127 | Val F1: 0.0060 | Train AUC: 0.6267 | Val AUC: 0.6344
Epoch 010: | Train Loss: 0.4288 | Val Loss: 0.4283 | Train Acc: 0.8425 | Val Acc: 0.8433 | Train Prec: 0.1935 | Val Prec: 0.1250 | Train Rec: 0.0066 | Val Rec: 0.0030 | Train F1: 0.0127 | Val F1: 0.0060 | Train AUC: 0.6289 | Val AUC: 0.6374
Epoch 011: | Train Loss: 0.4278 | Val Loss: 0.4274 | Train Acc: 0.8425 | Val Acc: 0.8433 | Train Prec: 0.1935 | Val Prec: 0.1250 | Train Rec: 0.0066 | Val Rec: 0.0030 | Train F1: 0.0127 | Val F1: 0.0060 | Train AUC: 0.6307 | Val AUC: 0.6405
Epoch 012: | Train Loss: 0.4268 | Val Loss: 0.4266 | Train Acc: 0.8425 | Val Acc: 0.8433 | Train Prec: 0.1935 | Val Prec: 0.1250 | Train Rec: 0.0066 | Val Rec: 0.0030 | Train F1: 0.0127 | Val F1: 0.0060 | Train AUC: 0.6327 | Val AUC: 0.6438
Epoch 013: | Train Loss: 0.4259 | Val Loss: 0.4258 | Train Acc: 0.8425 | Val Acc: 0.8433 | Train Prec: 0.1935 | Val Prec: 0.1250 | Train Rec: 0.0066 | Val Rec: 0.0030 | Train F1: 0.0127 | Val F1: 0.0060 | Train AUC: 0.6355 | Val AUC: 0.6464
Epoch 014: | Train Loss: 0.4250 | Val Loss: 0.4251 | Train Acc: 0.8425 | Val Acc: 0.8433 | Train Prec: 0.1935 | Val Prec: 0.1250 | Train Rec: 0.0066 | Val Rec: 0.0030 | Train F1: 0.0127 | Val F1: 0.0060 | Train AUC: 0.6385 | Val AUC: 0.6492
