Epoch 001: | Train Loss: 0.6927 | Val Loss: 0.6922 | Train Acc: 0.8425 | Val Acc: 0.8430 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5104 | Val AUC: 0.5111
Epoch 002: | Train Loss: 0.6917 | Val Loss: 0.6912 | Train Acc: 0.8425 | Val Acc: 0.8430 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5102 | Val AUC: 0.5162
Epoch 003: | Train Loss: 0.6908 | Val Loss: 0.6903 | Train Acc: 0.8425 | Val Acc: 0.8430 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5108 | Val AUC: 0.5166
Epoch 004: | Train Loss: 0.6898 | Val Loss: 0.6893 | Train Acc: 0.8425 | Val Acc: 0.8430 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5124 | Val AUC: 0.5176
Epoch 005: | Train Loss: 0.6888 | Val Loss: 0.6883 | Train Acc: 0.8425 | Val Acc: 0.8430 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5137 | Val AUC: 0.5193
Epoch 006: | Train Loss: 0.6879 | Val Loss: 0.6874 | Train Acc: 0.8425 | Val Acc: 0.8430 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5150 | Val AUC: 0.5203
Epoch 007: | Train Loss: 0.6869 | Val Loss: 0.6864 | Train Acc: 0.8425 | Val Acc: 0.8430 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5152 | Val AUC: 0.5211
Epoch 008: | Train Loss: 0.6860 | Val Loss: 0.6855 | Train Acc: 0.8425 | Val Acc: 0.8430 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5150 | Val AUC: 0.5214
Epoch 009: | Train Loss: 0.6851 | Val Loss: 0.6845 | Train Acc: 0.8425 | Val Acc: 0.8430 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5155 | Val AUC: 0.5218
Epoch 010: | Train Loss: 0.6841 | Val Loss: 0.6836 | Train Acc: 0.8425 | Val Acc: 0.8430 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5156 | Val AUC: 0.5222
Epoch 011: | Train Loss: 0.6832 | Val Loss: 0.6827 | Train Acc: 0.8425 | Val Acc: 0.8430 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5157 | Val AUC: 0.5225
Epoch 012: | Train Loss: 0.6822 | Val Loss: 0.6817 | Train Acc: 0.8425 | Val Acc: 0.8430 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5165 | Val AUC: 0.5229
Epoch 013: | Train Loss: 0.6813 | Val Loss: 0.6808 | Train Acc: 0.8425 | Val Acc: 0.8430 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5166 | Val AUC: 0.5236
Epoch 014: | Train Loss: 0.6804 | Val Loss: 0.6799 | Train Acc: 0.8425 | Val Acc: 0.8430 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5167 | Val AUC: 0.5242
Epoch 015: | Train Loss: 0.6795 | Val Loss: 0.6790 | Train Acc: 0.8425 | Val Acc: 0.8430 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5169 | Val AUC: 0.5247
Epoch 016: | Train Loss: 0.6785 | Val Loss: 0.6780 | Train Acc: 0.8425 | Val Acc: 0.8430 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5171 | Val AUC: 0.5251
Epoch 017: | Train Loss: 0.6776 | Val Loss: 0.6771 | Train Acc: 0.8425 | Val Acc: 0.8430 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5185 | Val AUC: 0.5258
Epoch 018: | Train Loss: 0.6767 | Val Loss: 0.6762 | Train Acc: 0.8425 | Val Acc: 0.8430 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5190 | Val AUC: 0.5261
Epoch 019: | Train Loss: 0.6758 | Val Loss: 0.6753 | Train Acc: 0.8425 | Val Acc: 0.8430 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5193 | Val AUC: 0.5266
Epoch 020: | Train Loss: 0.6749 | Val Loss: 0.6744 | Train Acc: 0.8425 | Val Acc: 0.8430 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5195 | Val AUC: 0.5270
Epoch 021: | Train Loss: 0.6740 | Val Loss: 0.6735 | Train Acc: 0.8425 | Val Acc: 0.8430 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5199 | Val AUC: 0.5273
Epoch 022: | Train Loss: 0.6731 | Val Loss: 0.6726 | Train Acc: 0.8425 | Val Acc: 0.8430 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5200 | Val AUC: 0.5275
Epoch 023: | Train Loss: 0.6722 | Val Loss: 0.6717 | Train Acc: 0.8425 | Val Acc: 0.8430 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5193 | Val AUC: 0.5281
Epoch 024: | Train Loss: 0.6713 | Val Loss: 0.6708 | Train Acc: 0.8425 | Val Acc: 0.8430 | Train Prec: 0.0000 | Val Prec: 0.0000 | Train Rec: 0.0000 | Val Rec: 0.0000 | Train F1: 0.0000 | Val F1: 0.0000 | Train AUC: 0.5195 | Val AUC: 0.5284
